,tickers,sector
20,ALB,Basic Materials
37,APD,Basic Materials
83,CF,Basic Materials
117,CTVA,Basic Materials
125,DD,Basic Materials
139,DOW,Basic Materials
149,ECL,Basic Materials
156,EMN,Basic Materials
179,FCX,Basic Materials
237,IFF,Basic Materials
279,LIN,Basic Materials
290,LYB,Basic Materials
308,MLM,Basic Materials
314,MOS,Basic Materials
331,NEM,Basic Materials
341,NUE,Basic Materials
379,PPG,Basic Materials
405,SHW,Basic Materials
417,STLD,Basic Materials
468,VMC,Basic Materials
