,tickers,sector
87,CHTR,Communication Services
92,CMCSA,Communication Services
123,DASH,Communication Services
134,DIS,Communication Services
147,EA,Communication Services
188,FOX,Communication Services
189,FOXA,Communication Services
206,GOOG,Communication Services
207,GOOGL,Communication Services
243,IPG,Communication Services
291,LYV,Communication Services
303,META,Communication Services
324,MTCH,Communication Services
332,NFLX,Communication Services
344,NWS,Communication Services
345,NWSA,Communication Services
350,OMC,Communication Services
357,PARA,Communication Services
427,T,Communication Services
437,TKO,Communication Services
439,TMUS,Communication Services
450,TTWO,Communication Services
475,VZ,Communication Services
479,WBD,Communication Services
