,tickers,sector
3,ABNB,Consumer Cyclical
25,AMCR,Consumer Cyclical
31,AMZN,Consumer Cyclical
40,APTV,Consumer Cyclical
45,AVY,Consumer Cyclical
49,AZO,Consumer Cyclical
52,BALL,Consumer Cyclical
54,BBY,Consumer Cyclical
60,BKNG,Consumer Cyclical
79,CCL,Consumer Cyclical
94,CMG,Consumer Cyclical
120,CZR,Consumer Cyclical
127,DECK,Consumer Cyclical
132,DHI,Consumer Cyclical
140,DPZ,Consumer Cyclical
141,DRI,Consumer Cyclical
148,EBAY,Consumer Cyclical
174,EXPE,Consumer Cyclical
176,F,Consumer Cyclical
204,GM,Consumer Cyclical
208,GPC,Consumer Cyclical
214,HAS,Consumer Cyclical
217,HD,Consumer Cyclical
221,HLT,Consumer Cyclical
242,IP,Consumer Cyclical
269,KMX,Consumer Cyclical
275,LEN,Consumer Cyclical
280,LKQ,Consumer Cyclical
284,LOW,Consumer Cyclical
286,LULU,Consumer Cyclical
288,LVS,Consumer Cyclical
294,MAR,Consumer Cyclical
296,MCD,Consumer Cyclical
304,MGM,Consumer Cyclical
305,MHK,Consumer Cyclical
327,NCLH,Consumer Cyclical
334,NKE,Consumer Cyclical
343,NVR,Consumer Cyclical
353,ORLY,Consumer Cyclical
369,PHM,Consumer Cyclical
370,PKG,Consumer Cyclical
388,RCL,Consumer Cyclical
393,RL,Consumer Cyclical
396,ROL,Consumer Cyclical
398,ROST,Consumer Cyclical
403,SBUX,Consumer Cyclical
421,SW,Consumer Cyclical
436,TJX,Consumer Cyclical
441,TPR,Consumer Cyclical
446,TSCO,Consumer Cyclical
447,TSLA,Consumer Cyclical
458,ULTA,Consumer Cyclical
489,WSM,Consumer Cyclical
493,WYNN,Consumer Cyclical
497,YUM,Consumer Cyclical
