,tickers,sector
9,ADM,Consumer Defensive
57,BG,Consumer Defensive
71,CAG,Consumer Defensive
85,CHD,Consumer Defensive
90,CL,Consumer Defensive
91,CLX,Consumer Defensive
103,COST,Consumer Defensive
105,CPB,Consumer Defensive
130,DG,Consumer Defensive
136,DLTR,Consumer Defensive
154,EL,Consumer Defensive
201,GIS,Consumer Defensive
226,HRL,Consumer Defensive
229,HSY,Consumer Defensive
259,K,Consumer Defensive
260,KDP,Consumer Defensive
263,KHC,Consumer Defensive
267,KMB,Consumer Defensive
270,KO,Consumer Defensive
271,KR,Consumer Defensive
272,KVUE,Consumer Defensive
289,LW,Consumer Defensive
300,MDLZ,Consumer Defensive
306,MKC,Consumer Defensive
311,MNST,Consumer Defensive
312,MO,Consumer Defensive
363,PEP,Consumer Defensive
366,PG,Consumer Defensive
373,PM,Consumer Defensive
406,SJM,Consumer Defensive
420,STZ,Consumer Defensive
426,SYY,Consumer Defensive
428,TAP,Consumer Defensive
435,TGT,Consumer Defensive
448,TSN,Consumer Defensive
487,WMT,Consumer Defensive
