,tickers,sector
5,ACGL,Financial Services
15,AFL,Financial Services
16,AIG,Financial Services
17,AIZ,Financial Services
18,AJG,Financial Services
22,ALL,Financial Services
29,AMP,Financial Services
34,AON,Financial Services
39,APO,Financial Services
48,AXP,Financial Services
51,BAC,Financial Services
56,BEN,Financial Services
59,BK,Financial Services
63,BLK,Financial Services
66,BRO,Financial Services
68,BX,Financial Services
70,C,Financial Services
75,CB,Financial Services
76,CBOE,Financial Services
84,CFG,Financial Services
89,CINF,Financial Services
93,CME,Financial Services
99,COF,Financial Services
129,DFS,Financial Services
152,EG,Financial Services
164,ERIE,Financial Services
180,FDS,Financial Services
187,FITB,Financial Services
202,GL,Financial Services
211,GS,Financial Services
215,HBAN,Financial Services
219,HIG,Financial Services
234,ICE,Financial Services
250,IVZ,Financial Services
258,JPM,Financial Services
261,KEY,Financial Services
265,KKR,Financial Services
273,L,Financial Services
292,MA,Financial Services
299,MCO,Financial Services
302,MET,Financial Services
307,MKTX,Financial Services
309,MMC,Financial Services
319,MS,Financial Services
320,MSCI,Financial Services
323,MTB,Financial Services
328,NDAQ,Financial Services
340,NTRS,Financial Services
365,PFG,Financial Services
367,PGR,Financial Services
374,PNC,Financial Services
381,PRU,Financial Services
386,PYPL,Financial Services
391,RF,Financial Services
392,RJF,Financial Services
404,SCHW,Financial Services
414,SPGI,Financial Services
418,STT,Financial Services
424,SYF,Financial Services
434,TFC,Financial Services
444,TROW,Financial Services
445,TRV,Financial Services
463,USB,Financial Services
464,V,Financial Services
484,WFC,Financial Services
488,WRB,Financial Services
491,WTW,Financial Services
