,tickers,sector
0,A,Healthcare
2,ABBV,Healthcare
4,ABT,Healthcare
21,ALGN,Healthcare
28,AMGN,Healthcare
53,BAX,Healthcare
55,BDX,Healthcare
58,BIIB,Healthcare
64,BMY,Healthcare
67,BSX,Healthcare
72,CAH,Healthcare
88,CI,Healthcare
97,CNC,Healthcare
100,COO,Healthcare
102,COR,Healthcare
108,CRL,Healthcare
118,CVS,Healthcare
131,DGX,Healthcare
133,DHR,Healthcare
144,DVA,Healthcare
146,DXCM,Healthcare
155,ELV,Healthcare
170,EW,Healthcare
197,GEHC,Healthcare
200,GILD,Healthcare
216,HCA,Healthcare
222,HOLX,Healthcare
227,HSIC,Healthcare
231,HUM,Healthcare
235,IDXX,Healthcare
238,INCY,Healthcare
244,IQV,Healthcare
247,ISRG,Healthcare
256,JNJ,Healthcare
276,LH,Healthcare
281,LLY,Healthcare
298,MCK,Healthcare
301,MDT,Healthcare
313,MOH,Healthcare
317,MRK,Healthcare
318,MRNA,Healthcare
325,MTD,Healthcare
364,PFE,Healthcare
377,PODD,Healthcare
390,REGN,Healthcare
394,RMD,Healthcare
401,RVTY,Healthcare
412,SOLV,Healthcare
416,STE,Healthcare
425,SYK,Healthcare
431,TECH,Healthcare
438,TMO,Healthcare
457,UHS,Healthcare
459,UNH,Healthcare
471,VRTX,Healthcare
474,VTRS,Healthcare
477,WAT,Healthcare
478,WBA,Healthcare
490,WST,Healthcare
498,ZBH,Healthcare
500,ZTS,Healthcare
