,tickers,sector
30,AMT,Real Estate
41,ARE,Real Estate
43,AVB,Real Estate
69,BXP,Real Estate
77,CBRE,Real Estate
78,CCI,Real Estate
107,CPT,Real Estate
112,CSGP,Real Estate
135,DLR,Real Estate
137,DOC,Real Estate
161,EQIX,Real Estate
162,EQR,Real Estate
166,ESS,Real Estate
175,EXR,Real Estate
190,FRT,Real Estate
228,HST,Real Estate
241,INVH,Real Estate
246,IRM,Real Estate
264,KIM,Real Estate
293,MAA,Real Estate
347,O,Real Estate
371,PLD,Real Estate
382,PSA,Real Estate
389,REG,Real Estate
402,SBAC,Real Estate
413,SPG,Real Estate
456,UDR,Real Estate
465,VICI,Real Estate
473,VTR,Real Estate
483,WELL,Real Estate
492,WY,Real Estate
