,tickers,sector
1,AAPL,Technology
6,ACN,Technology
7,ADBE,Technology
8,ADI,Technology
10,ADP,Technology
11,ADSK,Technology
19,AKAM,Technology
24,AMAT,Technology
26,AMD,Technology
32,ANET,Technology
33,ANSS,Technology
38,APH,Technology
44,AVGO,Technology
65,BR,Technology
80,CDNS,Technology
81,CDW,Technology
104,CPAY,Technology
109,CRM,Technology
110,CRWD,Technology
111,CSCO,Technology
116,CTSH,Technology
124,DAY,Technology
128,DELL,Technology
158,ENPH,Technology
160,EPAM,Technology
183,FFIV,Technology
184,FI,Technology
185,FICO,Technology
186,FIS,Technology
191,FSLR,Technology
192,FTNT,Technology
193,FTV,Technology
195,GDDY,Technology
198,GEN,Technology
203,GLW,Technology
210,GRMN,Technology
224,HPE,Technology
225,HPQ,Technology
233,IBM,Technology
239,INTC,Technology
240,INTU,Technology
248,IT,Technology
253,JBL,Technology
255,JKHY,Technology
257,JNPR,Technology
262,KEYS,Technology
266,KLAC,Technology
274,LDOS,Technology
285,LRCX,Technology
297,MCHP,Technology
316,MPWR,Technology
321,MSFT,Technology
322,MSI,Technology
326,MU,Technology
336,NOW,Technology
339,NTAP,Technology
342,NVDA,Technology
346,NXPI,Technology
351,ON,Technology
352,ORCL,Technology
356,PANW,Technology
358,PAYC,Technology
359,PAYX,Technology
372,PLTR,Technology
384,PTC,Technology
387,QCOM,Technology
397,ROP,Technology
408,SMCI,Technology
410,SNPS,Technology
419,STX,Technology
423,SWKS,Technology
430,TDY,Technology
432,TEL,Technology
433,TER,Technology
443,TRMB,Technology
451,TXN,Technology
453,TYL,Technology
455,UBER,Technology
470,VRSN,Technology
480,WDAY,Technology
481,WDC,Technology
499,ZBRA,Technology
