,tickers,sector
12,AEE,Utilities
13,AEP,Utilities
14,AES,Utilities
42,ATO,Utilities
46,AWK,Utilities
82,CEG,Utilities
96,CMS,Utilities
98,CNP,Utilities
121,D,Utilities
142,DTE,Utilities
143,DUK,Utilities
150,ED,Utilities
153,EIX,Utilities
165,ES,Utilities
168,ETR,Utilities
169,EVRG,Utilities
171,EXC,Utilities
182,FE,Utilities
283,LNT,Utilities
330,NEE,Utilities
333,NI,Utilities
337,NRG,Utilities
361,PCG,Utilities
362,PEG,Utilities
376,PNW,Utilities
380,PPL,Utilities
411,SO,Utilities
415,SRE,Utilities
472,VST,Utilities
482,WEC,Utilities
494,XEL,Utilities
