date,time,PRICE_ALGN_ALGN_ON_IDXX,PRICE_IDXX_ALGN_ON_IDXX,PRICE_ABNB_ABNB_ON_EBAY,PRICE_EBAY_ABNB_ON_EBAY,PRICE_EBAY_EBAY_ON_SPLK,PRICE_SPLK_EBAY_ON_SPLK,PRICE_CSCO_CSCO_ON_WDAY,PRICE_WDAY_CSCO_ON_WDAY,BETA_CSCO_ON_WDAY,SPREAD_CSCO_ON_WDAY,Z_CSCO_ON_WDAY,BETA_EBAY_ON_SPLK,SPREAD_EBAY_ON_SPLK,Z_EBAY_ON_SPLK,BETA_ABNB_ON_EBAY,SPREAD_ABNB_ON_EBAY,Z_ABNB_ON_EBAY,BETA_ALGN_ON_IDXX,SPREAD_ALGN_ON_IDXX,Z_ALGN_ON_IDXX,market_close,SIGNAL_CSCO_ON_WDAY,SIGNAL_EBAY_ON_SPLK,SIGNAL_ABNB_ON_EBAY,SIGNAL_ALGN_ON_IDXX,POS_CSCO_ON_WDAY,POS_EBAY_ON_SPLK,POS_ABNB_ON_EBAY,POS_ALGN_ON_IDXX,POS_BETA_CSCO_ON_WDAY,POS_BETA_EBAY_ON_SPLK,POS_BETA_ABNB_ON_EBAY,POS_BETA_ALGN_ON_IDXX,PAIR_BASE_CSCO_ON_WDAY,PAIR_BASE_EBAY_ON_SPLK,PAIR_BASE_ABNB_ON_EBAY,PAIR_BASE_ALGN_ON_IDXX,PAIR_RET_CSCO_ON_WDAY,PAIR_RET_EBAY_ON_SPLK,PAIR_RET_ABNB_ON_EBAY,PAIR_RET_ALGN_ON_IDXX,SL_CSCO_ON_WDAY,SL_EBAY_ON_SPLK,SL_ABNB_ON_EBAY,SL_ALGN_ON_IDXX,LOSS_CSCO_ON_WDAY,LOSS_EBAY_ON_SPLK,LOSS_ABNB_ON_EBAY,LOSS_ALGN_ON_IDXX,COOLDOWN_CSCO_ON_WDAY,COOLDOWN_EBAY_ON_SPLK,COOLDOWN_ABNB_ON_EBAY,COOLDOWN_ALGN_ON_IDXX,CAPITAL_CSCO_ON_WDAY,CAPITAL_EBAY_ON_SPLK,CAPITAL_ABNB_ON_EBAY,CAPITAL_ALGN_ON_IDXX,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-09-12,13:29:00.000000000,262.8,374.13,124.1,45.32,45.32,98.4,46.1,170.83,0.14486689326413174,21.352388623688373,-0.8040813579218011,0.11944990923196305,33.56612893157484,-0.5381681320773215,4.171889663911386,-64.97003956846399,-3.546207917462243,0.6354672484569801,25.05263833479006,2.1208331291808036,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-09-12,13:30:00.000000000,264.28,375.1,124.5726,45.43,45.43,98.6976,45.98,172.7025,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-09-12,13:31:00.000000000,265.0,375.1,124.73,45.635,45.635,98.22,46.02,172.015,0.1453903632740706,21.010676661410752,-0.8443612375054362,,,,,,,0.6343082354968365,27.07098086513662,2.181063813776338,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.9290191348634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.44999999999999996,1.0,0.0
2022-09-12,13:32:00.000000000,265.0,375.43,125.04,45.64,45.64,98.53,46.08,172.18,,,,0.12001236806536617,33.81518137451947,-0.4508147705266321,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.6343082354968365,0.0,0.0,0.0,503.13834085257736,0.0,0.0,0.0,0.00041620528891735527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5502289129089046,0.44999999999999996,1.0002289129089046,0.00022891290890458826
2022-09-12,13:33:00.000000000,266.67,375.43,125.4985,45.77,45.77,98.3,46.09,172.56,0.1458359505227058,20.92454837780189,-0.8530899895707859,,,,4.2295626268302335,-68.08858143001979,-3.5683395354928824,0.6341776627144923,28.580680087098187,2.2206705579780794,0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.6343082354968365,0.0,0.0,0.0,504.8083408525773,0.0,0.0,0.0,-0.003319166647427762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.000222851110023,1.000222851110023,-6.060411575075334e-6
2022-09-12,13:34:00.000000000,267.18,376.0,125.6,45.737,45.737,98.18,46.105,172.9,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.6343082354968365,0.0,0.0,0.0,505.6798965468105,0.0,0.0,0.0,-0.0002940607231570429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003319166647427818,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.000222851110023,1.000222851110023,0.0
2022-09-12,13:35:00.000000000,266.64,376.55,124.57,45.51,45.51,97.4663,46.166,172.32,0.14639403662847422,20.93937960818132,-0.8493489405150553,0.12046844178733816,33.768386712222764,-0.46543966347792826,,,,0.6336659999180447,28.03306773086024,2.1830586256138758,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.6343082354968365,0.0,0.0,0.0,505.4887660763338,0.0,0.0,0.0,0.001757771142561177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.000222851110023,1.000222851110023,0.0
2022-09-12,13:36:00.000000000,267.34,375.66,124.78,45.56,45.56,97.835,46.13,172.11,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.6343082354968365,0.0,0.0,0.0,505.62423174674154,0.0,0.0,0.0,-0.0025016071858681493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.000222851110023,1.000222851110023,0.0
2022-09-12,13:37:00.000000000,267.07,375.66,124.35,45.5,45.5,97.18,46.12,171.87,0.14696866908063397,20.860494845111436,-0.8572024072422554,,,,4.283087978791164,-70.53050303499796,-3.5668268704469765,0.6344875817897075,28.718395024878447,2.1915416929120726,0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.6343082354968365,0.0,0.0,0.0,505.35423174674156,0.0,0.0,0.0,0.0005339933947928749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.000222851110023,1.000222851110023,0.0
2022-09-12,13:38:00.000000000,266.8,374.7,124.46,45.525,45.525,97.42,46.17,171.75,,,,0.12095127371004934,33.74192691516699,-0.4730449294569755,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.6343082354968365,0.0,0.0,0.0,504.4752958406646,0.0,0.0,0.0,-0.0006706897553929453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.000222851110023,1.000222851110023,0.0
