date,time,PRICE_CSX_CSX_ON_ILMN,PRICE_ILMN_CSX_ON_ILMN,PRICE_CSGP_CSGP_ON_ILMN,PRICE_ILMN_CSGP_ON_ILMN,PRICE_AMZN_AMZN_ON_LRCX,PRICE_LRCX_AMZN_ON_LRCX,BETA_AMZN_ON_LRCX,SPREAD_AMZN_ON_LRCX,Z_AMZN_ON_LRCX,BETA_CSGP_ON_ILMN,SPREAD_CSGP_ON_ILMN,Z_CSGP_ON_ILMN,BETA_CSX_ON_ILMN,SPREAD_CSX_ON_ILMN,Z_CSX_ON_ILMN,market_close,SIGNAL_AMZN_ON_LRCX,SIGNAL_CSGP_ON_ILMN,SIGNAL_CSX_ON_ILMN,POS_AMZN_ON_LRCX,POS_CSGP_ON_ILMN,POS_CSX_ON_ILMN,POS_BETA_AMZN_ON_LRCX,POS_BETA_CSGP_ON_ILMN,POS_BETA_CSX_ON_ILMN,PAIR_BASE_AMZN_ON_LRCX,PAIR_BASE_CSGP_ON_ILMN,PAIR_BASE_CSX_ON_ILMN,PAIR_RET_AMZN_ON_LRCX,PAIR_RET_CSGP_ON_ILMN,PAIR_RET_CSX_ON_ILMN,SL_AMZN_ON_LRCX,SL_CSGP_ON_ILMN,SL_CSX_ON_ILMN,LOSS_AMZN_ON_LRCX,LOSS_CSGP_ON_ILMN,LOSS_CSX_ON_ILMN,COOLDOWN_AMZN_ON_LRCX,COOLDOWN_CSGP_ON_ILMN,COOLDOWN_CSX_ON_ILMN,CAPITAL_AMZN_ON_LRCX,CAPITAL_CSGP_ON_ILMN,CAPITAL_CSX_ON_ILMN,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-07-14,13:29:00.000000000,33.61,188.83,88.13,188.83,134.01,63.6961,1.7770564258470214,20.818436193605535,-1.4683818705301872,0.14848954020605315,60.09072012289098,-0.33289301578847724,-0.003260045150740154,34.225594325814264,-1.6652111430383014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:30:00.000000000,33.47,188.18,88.11,188.18,134.58,64.181,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:31:00.000000000,33.53,188.66,88.335,188.66,134.715,64.2615,,,,,,,-0.003270045207394628,34.14692672882707,-2.1879474507979144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:32:00.000000000,33.57,188.67,88.31,188.67,134.968,64.228,1.7845318751102792,20.35108672541699,-1.4748034238783743,0.14879150334098348,60.237507064656654,-0.3316064756873224,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:33:00.000000000,33.58,188.67,88.04,188.67,134.96,64.122,,,,,,,-0.0032888443284259158,34.20050625944412,-1.8058887012669036,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:34:00.000000000,33.59,188.88,87.98,188.88,135.1974,64.013,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:35:00.000000000,33.6,189.2499,88.39,189.2499,135.2,64.0545,1.7929019479445458,20.356562175386074,-1.448254787162014,0.14903310583496068,60.185499624044276,-0.34401307920843766,-0.003305028313692891,34.22547627786355,-1.627771927105101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:36:00.000000000,33.6,189.165,88.46,189.165,135.01,64.217,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:37:00.000000000,33.6,188.75,88.4,188.75,135.02,64.286,,,,,,,-0.0033341981651127455,34.22932990366503,-1.595620782699134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:38:00.000000000,33.56,188.42,88.18,188.42,135.22,64.415,1.8001366445627507,19.2641980404904,-1.5012743045193704,0.1492838786855844,60.051931578062195,-0.362284725420986,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:39:00.000000000,33.5835,188.06,88.375,188.06,135.18,64.4055,,,,,,,-0.0033522538922011046,34.21392486696734,-1.6904219523907944,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:40:00.000000000,33.605,188.5347,88.38,188.5347,135.145,64.344,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:41:00.000000000,33.61,188.04,88.29,188.04,135.0,64.44,1.806450741257746,18.592314233350848,-1.5231668018897597,0.1495459256018003,60.169384149837484,-0.3632061280888451,-0.003373370209531461,34.24432853420029,-1.4773478669441975,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:42:00.000000000,33.66,188.04,88.23,188.04,135.015,64.194,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:43:00.000000000,33.67,187.79,88.34,187.79,134.97,64.1215,,,,,,,-0.003398496725769978,34.308203700132346,-1.0436643981143603,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:44:00.000000000,33.6995,187.59,88.3025,187.59,134.76,64.0585,1.8127452828220412,18.63825630034428,-1.492571251130996,0.14979146208933058,60.20311962666247,-0.37010685774874785,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:45:00.000000000,33.71,187.52,88.465,187.52,134.8526,64.15,,,,,,,-0.0034241770956041223,34.352101688967686,-0.7472625682780947,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:46:00.000000000,33.67,187.33,88.565,187.33,134.7199,64.197,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:47:00.000000000,33.69,187.25,88.635,187.25,134.8729,64.115,1.8189758313236275,18.249264574685625,-1.4948056779347845,0.15001046286741215,60.54554082807708,-0.35493305166422634,-0.0034474439834319376,34.335533885897625,-0.8606461403251091,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:48:00.000000000,33.7,187.12,88.63,187.12,134.9361,64.173,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:49:00.000000000,33.635,186.77,88.7,186.77,134.7399,64.294,,,,,,,-0.00344699196245961,34.278794688828576,-1.2407593166202502,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:50:00.000000000,33.605,187.42,88.79,187.42,134.86,64.3715,1.8241000080086855,17.439946334468914,-1.5282870251371576,0.15027426442568956,60.62559736133727,-0.3585438904107894,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:51:00.000000000,33.63,187.23,88.88,187.23,134.96,64.414,,,,,,,-0.0034725945618792405,34.28017387982065,-1.2234945278659104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:52:00.000000000,33.6192,187.03,88.7275,187.03,134.96,64.291,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:53:00.000000000,33.635,186.8549,88.68,186.8549,134.93,64.38,1.8296715158851788,17.1357478073122,-1.5235393759966314,0.15053883224697498,60.55108155437472,-0.3735983424177773,-0.0034902501348528644,34.287170339922916,-1.1691965011494625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-07-14,13:54:00.000000000,33.625,186.63,88.715,186.63,134.9372,64.449,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
