,number,value,datetime_start,datetime_complete,duration,params_ADSK_AMD_beta_win,params_ADSK_AMD_stop_loss,params_ADSK_AMD_trade_freq,params_ADSK_AMD_z_entry,params_ADSK_AMD_z_exit,params_ADSK_AMD_z_stop_scaler,params_ADSK_AMD_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ALXN_PTON_beta_win,params_ALXN_PTON_stop_loss,params_ALXN_PTON_trade_freq,params_ALXN_PTON_z_entry,params_ALXN_PTON_z_exit,params_ALXN_PTON_z_stop_scaler,params_ALXN_PTON_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_MAR_TMUS_beta_win,params_MAR_TMUS_stop_loss,params_MAR_TMUS_trade_freq,params_MAR_TMUS_z_entry,params_MAR_TMUS_z_exit,params_MAR_TMUS_z_stop_scaler,params_MAR_TMUS_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_ROST_TMUS_beta_win,params_ROST_TMUS_stop_loss,params_ROST_TMUS_trade_freq,params_ROST_TMUS_z_entry,params_ROST_TMUS_z_exit,params_ROST_TMUS_z_stop_scaler,params_ROST_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,3.076061443560641,2025-06-15 00:09:21.909861,2025-06-15 00:09:34.609170,0 days 00:00:12.699309,876.0,0.003,3m,1.0,3.0,1.3,394.0,546,0.002,4m,1.0,4.0,1.0,522,102.0,0.007,3m,2.5,2.5,1.8,562.0,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.7000000000000002,502,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,1.3,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-1.1564262567030805,2025-06-15 00:09:34.666759,2025-06-15 00:09:38.593994,0 days 00:00:03.927235,366.0,0.008,4m,3.5,1.5,1.8,578.0,382,0.008,4m,1.5,4.0,0.8,492,1008.0,0.009000000000000001,1m,1.5,3.0,1.6,1006.0,,,,,,,,536,0.009000000000000001,4m,2.5,1.0,1.3,700,964.0,0.005,3m,3.0,2.5,1.5,808.0,,,,,,,,366.0,0.007,4m,3.5,4.0,1.3,916.0,,,,,,,,512.0,0.001,3m,2.0,1.0,1.4,38.0,140.0,0.009000000000000001,3m,3.5,1.0,1.7000000000000002,514.0,,,,,,,,0.15000000000000002,6,COMPLETE
2,2,0.4461678378554197,2025-06-15 00:09:38.670573,2025-06-15 00:09:42.811413,0 days 00:00:04.140840,120.0,0.003,1m,1.0,1.0,1.7000000000000002,34.0,462,0.003,1m,2.0,3.0,1.9000000000000001,444,528.0,0.006,2m,3.0,4.0,1.3,524.0,,,,,,,,1014,0.007,1m,1.0,2.0,1.0,100,156.0,0.003,4m,2.5,3.5,1.4,490.0,,,,,,,,40.0,0.009000000000000001,4m,2.0,2.5,0.6,126.0,,,,,,,,,,,,,,,472.0,0.002,4m,3.5,4.0,1.3,240.0,,,,,,,,0.3,5,COMPLETE
3,3,1.959666060059488,2025-06-15 00:09:42.908689,2025-06-15 00:09:45.097489,0 days 00:00:02.188800,536.0,0.006,1m,1.0,1.5,2.0,864.0,900,0.006,3m,3.5,4.0,1.8,630,406.0,0.005,3m,4.0,3.0,1.1,886.0,,,,,,,,46,0.003,4m,4.0,3.0,0.9,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
4,4,0.7476034247083091,2025-06-15 00:09:45.173762,2025-06-15 00:09:49.011542,0 days 00:00:03.837780,420.0,0.002,3m,3.5,2.0,2.0,382.0,558,0.003,3m,2.5,1.0,0.9,248,132.0,0.003,1m,2.5,4.0,0.5,132.0,,,,,,,,118,0.01,2m,3.5,3.0,0.8,742,624.0,0.003,4m,2.0,3.5,0.9,384.0,,,,,,,,614.0,0.008,3m,1.0,1.5,1.6,770.0,,,,,,,,,,,,,,,636.0,0.001,2m,3.5,3.0,1.5,110.0,,,,,,,,0.1,5,COMPLETE
5,5,1.7007597778087986,2025-06-15 00:09:49.085706,2025-06-15 00:09:52.891646,0 days 00:00:03.805940,610.0,0.009000000000000001,3m,3.0,1.5,1.5,478.0,928,0.001,3m,1.0,3.0,0.6,680,148.0,0.006,2m,1.5,3.5,0.8,966.0,,,,,,,,250,0.003,4m,3.0,2.0,1.8,974,258.0,0.008,2m,2.0,3.5,1.7000000000000002,372.0,,,,,,,,878.0,0.006,3m,1.5,2.0,1.1,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
6,6,0.5722746716347905,2025-06-15 00:09:53.024713,2025-06-15 00:09:59.202899,0 days 00:00:06.178186,222.0,0.01,4m,3.5,2.5,1.4,410.0,324,0.005,3m,3.0,1.5,1.8,164,170.0,0.007,1m,1.0,3.5,1.4,670.0,,,,,,,,896,0.006,2m,4.0,3.0,1.0,226,480.0,0.001,1m,1.5,3.0,1.2000000000000002,740.0,966.0,0.009000000000000001,2m,2.5,4.0,1.3,622.0,662.0,0.003,1m,4.0,3.5,0.6,996.0,,,,,,,,474.0,0.005,2m,1.5,4.0,0.7,974.0,612.0,0.009000000000000001,3m,2.5,1.0,1.8,634.0,632.0,0.003,2m,4.0,1.5,1.2000000000000002,656.0,0.45,8,COMPLETE
7,7,3.9252284214613367,2025-06-15 00:09:59.306938,2025-06-15 00:10:03.237801,0 days 00:00:03.930863,496.0,0.003,4m,1.5,2.0,0.6,374.0,954,0.006,4m,2.5,3.0,1.0,756,786.0,0.002,1m,4.0,2.5,0.9,524.0,,,,,,,,588,0.003,3m,1.0,4.0,1.6,474,516.0,0.008,1m,2.0,3.0,1.0,694.0,,,,,,,,124.0,0.003,1m,3.5,4.0,1.2000000000000002,206.0,,,,,,,,,,,,,,,390.0,0.004,3m,4.0,2.0,1.3,150.0,,,,,,,,0.4,5,COMPLETE
8,8,0.2628077860556628,2025-06-15 00:10:03.316831,2025-06-15 00:10:07.469489,0 days 00:00:04.152658,468.0,0.007,3m,3.5,4.0,1.2000000000000002,326.0,998,0.01,3m,2.5,3.0,1.5,100,972.0,0.007,1m,3.0,3.0,1.0,108.0,,,,,,,,366,0.007,3m,1.0,1.5,1.6,220,796.0,0.001,2m,1.5,4.0,1.2000000000000002,768.0,,,,,,,,164.0,0.01,1m,4.0,3.0,0.8,32.0,,,,,,,,258.0,0.002,4m,4.0,2.0,0.9,288.0,288.0,0.006,4m,2.0,2.0,1.4,132.0,,,,,,,,0.3,6,COMPLETE
9,9,3.2555515959316446,2025-06-15 00:10:07.542041,2025-06-15 00:10:11.051640,0 days 00:00:03.509599,336.0,0.002,4m,1.0,3.5,1.0,204.0,134,0.008,4m,3.5,2.5,0.6,228,766.0,0.008,1m,3.0,2.0,0.7,776.0,,,,,,,,856,0.01,1m,1.5,1.5,1.0,942,726.0,0.007,3m,3.0,3.0,0.7,368.0,,,,,,,,152.0,0.005,1m,1.0,3.5,0.6,328.0,,,,,,,,,,,,,,,254.0,0.004,2m,4.0,3.5,1.5,948.0,,,,,,,,0.05,5,COMPLETE
