,number,value,datetime_start,datetime_complete,duration,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_AMD_DLTR_beta_win,params_AMD_DLTR_stop_loss,params_AMD_DLTR_trade_freq,params_AMD_DLTR_z_entry,params_AMD_DLTR_z_exit,params_AMD_DLTR_z_stop_scaler,params_AMD_DLTR_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_CDW_NVDA_beta_win,params_CDW_NVDA_stop_loss,params_CDW_NVDA_trade_freq,params_CDW_NVDA_z_entry,params_CDW_NVDA_z_exit,params_CDW_NVDA_z_stop_scaler,params_CDW_NVDA_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CSCO_MNST_beta_win,params_CSCO_MNST_stop_loss,params_CSCO_MNST_trade_freq,params_CSCO_MNST_z_entry,params_CSCO_MNST_z_exit,params_CSCO_MNST_z_stop_scaler,params_CSCO_MNST_z_win,params_CSCO_SBUX_beta_win,params_CSCO_SBUX_stop_loss,params_CSCO_SBUX_trade_freq,params_CSCO_SBUX_z_entry,params_CSCO_SBUX_z_exit,params_CSCO_SBUX_z_stop_scaler,params_CSCO_SBUX_z_win,params_CSCO_TSLA_beta_win,params_CSCO_TSLA_stop_loss,params_CSCO_TSLA_trade_freq,params_CSCO_TSLA_z_entry,params_CSCO_TSLA_z_exit,params_CSCO_TSLA_z_stop_scaler,params_CSCO_TSLA_z_win,params_CSCO_XEL_beta_win,params_CSCO_XEL_stop_loss,params_CSCO_XEL_trade_freq,params_CSCO_XEL_z_entry,params_CSCO_XEL_z_exit,params_CSCO_XEL_z_stop_scaler,params_CSCO_XEL_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.49172281144888524,2025-06-15 00:09:23.399764,2025-06-15 00:09:35.210194,0 days 00:00:11.810430,546,0.002,4m,1.0,4.0,1.1,522,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,1000.0,0.002,1m,2.5,2.0,1.2000000000000002,468.0,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,0.6,502,,,,,,,,0.45,3,COMPLETE
1,1,4.37250513737201,2025-06-15 00:09:35.287443,2025-06-15 00:09:36.762433,0 days 00:00:01.474990,916,0.007,4m,2.5,3.5,1.9000000000000001,366,,,,,,,,,,,,,,,,,,,,,,592.0,0.009000000000000001,2m,3.0,2.5,1.0,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,0.01,4m,3.0,3.5,1.6,702,,,,,,,,0.4,2,COMPLETE
2,2,4.826463584573946,2025-06-15 00:09:36.839232,2025-06-15 00:09:43.291565,0 days 00:00:06.452333,876,0.008,1m,2.5,3.5,1.9000000000000001,844,464.0,0.005,1m,2.0,1.5,1.5,544.0,146.0,0.009000000000000001,3m,4.0,1.5,0.7,58.0,156.0,0.004,1m,1.5,3.5,1.0,1014.0,386.0,0.001,4m,3.5,1.0,1.0,210.0,230.0,0.001,1m,3.5,3.0,1.8,666.0,828.0,0.001,3m,1.5,3.0,1.2000000000000002,612.0,360.0,0.007,2m,1.0,4.0,1.8,580.0,388.0,0.001,2m,2.5,1.5,1.1,562.0,698,0.006,2m,4.0,4.0,2.0,284,548.0,0.007,3m,2.5,1.0,0.7,330.0,0.15000000000000002,10,COMPLETE
3,3,-0.4158123942975574,2025-06-15 00:09:43.387203,2025-06-15 00:09:47.142035,0 days 00:00:03.754832,638,0.002,1m,1.5,4.0,1.1,462,,,,,,,,380.0,0.006,3m,2.5,3.5,0.9,274.0,,,,,,,,852.0,0.006,4m,2.0,3.5,1.6,582.0,580.0,0.004,1m,1.0,2.0,1.6,176.0,,,,,,,,268.0,0.01,2m,4.0,3.0,1.9000000000000001,604.0,,,,,,,,180,0.006,2m,2.5,2.5,1.6,282,574.0,0.01,1m,2.0,4.0,1.7000000000000002,588.0,0.5,6,COMPLETE
4,4,1.0299413185691983,2025-06-15 00:09:47.220618,2025-06-15 00:09:50.842490,0 days 00:00:03.621872,132,0.002,2m,4.0,4.0,0.5,550,,,,,,,,110.0,0.006,1m,3.0,1.0,1.5,746.0,,,,,,,,770.0,0.007,4m,1.5,1.0,1.6,18.0,384.0,0.007,3m,3.5,2.5,0.9,388.0,,,,,,,,248.0,0.002,2m,1.0,1.5,0.9,558.0,,,,,,,,382,0.006,2m,2.0,1.5,2.0,754,,,,,,,,0.1,5,COMPLETE
5,5,0.7234293721628585,2025-06-15 00:09:50.959527,2025-06-15 00:09:54.246699,0 days 00:00:03.287172,928,0.001,3m,1.0,3.0,0.8,680,,,,,,,,258.0,0.008,2m,2.0,3.5,1.7000000000000002,372.0,,,,,,,,610.0,0.009000000000000001,3m,3.0,1.5,2.0,478.0,878.0,0.006,3m,1.5,2.0,0.8,630.0,,,,,,,,,,,,,,,,,,,,,,250,0.003,4m,3.0,2.0,0.7,974,,,,,,,,0.45,4,COMPLETE
6,6,-0.394112177578284,2025-06-15 00:09:54.350167,2025-06-15 00:09:57.581438,0 days 00:00:03.231271,222,0.002,2m,3.5,1.5,0.6,480,,,,,,,,954.0,0.008,2m,4.0,4.0,1.3,662.0,,,,,,,,754.0,0.004,1m,1.5,4.0,1.4,896.0,600.0,0.01,2m,2.0,3.5,1.4,222.0,,,,,,,,,,,,,,,,,,,,,,758,0.005,2m,3.5,3.0,0.5,608,,,,,,,,0.4,4,COMPLETE
7,7,-6.147039366122134,2025-06-15 00:09:57.681078,2025-06-15 00:09:59.082713,0 days 00:00:01.401635,84,0.003,3m,2.0,4.0,0.6,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,0.01,3m,4.0,2.5,0.7,172,,,,,,,,0.45,1,COMPLETE
8,8,-0.6078842462148001,2025-06-15 00:09:59.191900,2025-06-15 00:10:03.661508,0 days 00:00:04.469608,164,0.01,3m,2.5,3.0,0.9,304,,,,,,,,600.0,0.006,4m,2.5,3.5,0.7,118.0,,,,,,,,164.0,0.002,2m,1.5,1.0,1.6,656.0,670.0,0.004,4m,3.5,3.5,1.0,112.0,832.0,0.01,3m,1.0,1.5,0.5,234.0,824.0,0.01,2m,2.5,2.5,1.9000000000000001,510.0,,,,,,,,656,0.004,1m,1.5,2.5,0.8,894,258.0,0.005,4m,2.5,2.0,1.0,314.0,0.35000000000000003,7,COMPLETE
9,9,-1.8961997329146179,2025-06-15 00:10:03.737863,2025-06-15 00:10:05.353832,0 days 00:00:01.615969,178,0.008,2m,1.0,2.5,0.8,734,,,,,,,,,,,,,,,,,,,,,,538.0,0.002,2m,2.5,4.0,1.0,786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.008,3m,3.5,2.5,1.3,954,,,,,,,,0.1,2,COMPLETE
