,number,value,datetime_start,datetime_complete,duration,params_AEP_FB_beta_win,params_AEP_FB_stop_loss,params_AEP_FB_trade_freq,params_AEP_FB_z_entry,params_AEP_FB_z_exit,params_AEP_FB_z_stop_scaler,params_AEP_FB_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_BKNG_ZM_beta_win,params_BKNG_ZM_stop_loss,params_BKNG_ZM_trade_freq,params_BKNG_ZM_z_entry,params_BKNG_ZM_z_exit,params_BKNG_ZM_z_stop_scaler,params_BKNG_ZM_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_REGN_ZM_beta_win,params_REGN_ZM_stop_loss,params_REGN_ZM_trade_freq,params_REGN_ZM_z_entry,params_REGN_ZM_z_exit,params_REGN_ZM_z_stop_scaler,params_REGN_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.412754714915277,2025-06-15 00:09:21.010200,2025-06-15 00:09:34.053610,0 days 00:00:13.043410,,,,,,,,546,0.002,4m,1.0,4.0,1.1,522,342,0.009000000000000001,3m,3.5,2.0,0.6,502,1000.0,0.002,1m,2.5,2.0,1.2000000000000002,468.0,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
1,1,5.191173842775979,2025-06-15 00:09:34.081084,2025-06-15 00:09:35.229226,0 days 00:00:01.148142,,,,,,,,916,0.007,4m,2.5,3.5,1.9000000000000001,366,948,0.01,4m,3.0,3.5,1.6,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.0,0.009000000000000001,2m,3.0,2.5,1.0,536.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
2,2,2.519444647563208,2025-06-15 00:09:35.286657,2025-06-15 00:09:41.366545,0 days 00:00:06.079888,156.0,0.004,1m,1.5,3.5,1.0,1014.0,876,0.008,1m,2.5,3.5,1.9000000000000001,844,698,0.006,2m,4.0,4.0,2.0,284,230.0,0.001,1m,3.5,3.0,1.8,666.0,548.0,0.007,3m,2.5,1.0,0.7,330.0,360.0,0.007,2m,1.0,4.0,1.8,580.0,388.0,0.001,2m,2.5,1.5,1.1,562.0,386.0,0.001,4m,3.5,1.0,1.0,210.0,828.0,0.001,3m,1.5,3.0,1.2000000000000002,612.0,146.0,0.009000000000000001,3m,4.0,1.5,0.7,58.0,464.0,0.005,1m,2.0,1.5,1.5,544.0,0.15000000000000002,10,COMPLETE
3,3,-2.141411066382561,2025-06-15 00:09:41.470685,2025-06-15 00:09:45.362511,0 days 00:00:03.891826,,,,,,,,638,0.002,1m,1.5,4.0,1.1,462,180,0.006,2m,2.5,2.5,1.6,282,580.0,0.004,1m,1.0,2.0,1.6,176.0,574.0,0.01,1m,2.0,4.0,1.7000000000000002,588.0,268.0,0.01,2m,4.0,3.0,1.9000000000000001,604.0,,,,,,,,852.0,0.006,4m,2.0,3.5,1.6,582.0,,,,,,,,380.0,0.006,3m,2.5,3.5,0.9,274.0,,,,,,,,0.5,6,COMPLETE
4,4,3.773597637369897,2025-06-15 00:09:45.424216,2025-06-15 00:09:48.757091,0 days 00:00:03.332875,,,,,,,,132,0.002,2m,4.0,4.0,0.5,550,382,0.006,2m,2.0,1.5,2.0,754,384.0,0.007,3m,3.5,2.5,0.9,388.0,,,,,,,,248.0,0.002,2m,1.0,1.5,0.9,558.0,,,,,,,,770.0,0.007,4m,1.5,1.0,1.6,18.0,,,,,,,,110.0,0.006,1m,3.0,1.0,1.5,746.0,,,,,,,,0.1,5,COMPLETE
5,5,-1.8055638236180802,2025-06-15 00:09:48.838154,2025-06-15 00:09:52.059499,0 days 00:00:03.221345,,,,,,,,928,0.001,3m,1.0,3.0,0.8,680,250,0.003,4m,3.0,2.0,0.7,974,878.0,0.006,3m,1.5,2.0,0.8,630.0,,,,,,,,,,,,,,,,,,,,,,610.0,0.009000000000000001,3m,3.0,1.5,2.0,478.0,,,,,,,,258.0,0.008,2m,2.0,3.5,1.7000000000000002,372.0,,,,,,,,0.45,4,COMPLETE
6,6,0.6875394790268416,2025-06-15 00:09:52.159092,2025-06-15 00:09:55.479386,0 days 00:00:03.320294,,,,,,,,222,0.002,2m,3.5,1.5,0.6,480,758,0.005,2m,3.5,3.0,0.5,608,600.0,0.01,2m,2.0,3.5,1.4,222.0,,,,,,,,,,,,,,,,,,,,,,754.0,0.004,1m,1.5,4.0,1.4,896.0,,,,,,,,954.0,0.008,2m,4.0,4.0,1.3,662.0,,,,,,,,0.4,4,COMPLETE
7,7,0.3000297977979884,2025-06-15 00:09:55.560007,2025-06-15 00:09:56.954559,0 days 00:00:01.394552,,,,,,,,84,0.003,3m,2.0,4.0,0.6,150,862,0.01,3m,4.0,2.5,0.7,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
8,8,-0.9952570562845652,2025-06-15 00:09:57.059079,2025-06-15 00:10:01.722428,0 days 00:00:04.663349,,,,,,,,164,0.01,3m,2.5,3.0,0.9,304,656,0.004,1m,1.5,2.5,0.8,894,670.0,0.004,4m,3.5,3.5,1.0,112.0,258.0,0.005,4m,2.5,2.0,1.0,314.0,824.0,0.01,2m,2.5,2.5,1.9000000000000001,510.0,,,,,,,,164.0,0.002,2m,1.5,1.0,1.6,656.0,832.0,0.01,3m,1.0,1.5,0.5,234.0,600.0,0.006,4m,2.5,3.5,0.7,118.0,,,,,,,,0.35000000000000003,7,COMPLETE
9,9,-2.792621541532262,2025-06-15 00:10:01.791155,2025-06-15 00:10:03.658766,0 days 00:00:01.867611,,,,,,,,178,0.008,2m,1.0,2.5,0.8,734,344,0.008,3m,3.5,2.5,1.3,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.0,0.002,2m,2.5,4.0,1.0,786.0,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
