,number,value,datetime_start,datetime_complete,duration,params_ADP_BIIB_beta_win,params_ADP_BIIB_stop_loss,params_ADP_BIIB_trade_freq,params_ADP_BIIB_z_entry,params_ADP_BIIB_z_exit,params_ADP_BIIB_z_stop_scaler,params_ADP_BIIB_z_win,params_AMD_BIIB_beta_win,params_AMD_BIIB_stop_loss,params_AMD_BIIB_trade_freq,params_AMD_BIIB_z_entry,params_AMD_BIIB_z_exit,params_AMD_BIIB_z_stop_scaler,params_AMD_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_ATVI_ILMN_beta_win,params_ATVI_ILMN_stop_loss,params_ATVI_ILMN_trade_freq,params_ATVI_ILMN_z_entry,params_ATVI_ILMN_z_exit,params_ATVI_ILMN_z_stop_scaler,params_ATVI_ILMN_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_BIDU_BIIB_beta_win,params_BIDU_BIIB_stop_loss,params_BIDU_BIIB_trade_freq,params_BIDU_BIIB_z_entry,params_BIDU_BIIB_z_exit,params_BIDU_BIIB_z_stop_scaler,params_BIDU_BIIB_z_win,params_BIIB_SIRI_beta_win,params_BIIB_SIRI_stop_loss,params_BIIB_SIRI_trade_freq,params_BIIB_SIRI_z_entry,params_BIIB_SIRI_z_exit,params_BIIB_SIRI_z_stop_scaler,params_BIIB_SIRI_z_win,params_CTSH_TMUS_beta_win,params_CTSH_TMUS_stop_loss,params_CTSH_TMUS_trade_freq,params_CTSH_TMUS_z_entry,params_CTSH_TMUS_z_exit,params_CTSH_TMUS_z_stop_scaler,params_CTSH_TMUS_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.5911935902904417,2025-06-15 00:09:22.292223,2025-06-15 00:09:34.422988,0 days 00:00:12.130765,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,0.5,3,COMPLETE
1,1,-3.034004776068247,2025-06-15 00:09:34.484378,2025-06-15 00:09:35.861947,0 days 00:00:01.377569,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,0.3,3,COMPLETE
2,2,1.3523761422882923,2025-06-15 00:09:35.919107,2025-06-15 00:09:40.843220,0 days 00:00:04.924113,652.0,0.001,4m,3.0,1.5,0.5,828.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,,,,,,,,76.0,0.001,3m,2.5,2.5,0.6,388.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,270,0.008,4m,1.0,1.5,0.5,50,0.2,9,COMPLETE
3,3,4.500969714426077,2025-06-15 00:09:40.927397,2025-06-15 00:09:43.838968,0 days 00:00:02.911571,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,0.05,5,COMPLETE
4,4,0.3803120767086183,2025-06-15 00:09:43.895035,2025-06-15 00:09:46.695616,0 days 00:00:02.800581,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,0.2,5,COMPLETE
5,5,-4.432888091166496,2025-06-15 00:09:46.785069,2025-06-15 00:09:51.627892,0 days 00:00:04.842823,370.0,0.007,1m,2.0,1.0,1.4,490.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,430,0.001,4m,2.5,4.0,0.8,278,0.15000000000000002,8,COMPLETE
6,6,-5.420246507865761,2025-06-15 00:09:51.714237,2025-06-15 00:09:54.461015,0 days 00:00:02.746778,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,0.45,4,COMPLETE
7,7,1.9969065650882856,2025-06-15 00:09:54.542974,2025-06-15 00:09:56.526604,0 days 00:00:01.983630,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,0.1,3,COMPLETE
8,8,-0.032360580611299754,2025-06-15 00:09:56.645132,2025-06-15 00:10:00.802142,0 days 00:00:04.157010,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,0.05,7,COMPLETE
9,9,-3.7531192558303417,2025-06-15 00:10:00.868364,2025-06-15 00:10:06.218109,0 days 00:00:05.349745,552.0,0.003,1m,2.0,3.5,0.7,384.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,90,0.004,2m,4.0,1.5,0.9,844,0.45,10,COMPLETE
10,10,2.2813944191129876,2025-06-15 00:10:06.284499,2025-06-15 00:10:16.542702,0 days 00:00:10.258203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,0.006,1m,1.0,4.0,1.5,968,0.35000000000000003,1,COMPLETE
11,11,-0.9665517562555962,2025-06-15 00:10:16.622785,2025-06-15 00:10:17.245366,0 days 00:00:00.622581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,0.006,1m,1.0,4.0,1.5,978,0.35000000000000003,1,COMPLETE
12,12,-1.2009959488050177,2025-06-15 00:10:17.311292,2025-06-15 00:10:17.868199,0 days 00:00:00.556907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,0.006,1m,1.5,3.5,1.5,392,0.35000000000000003,1,COMPLETE
13,13,-0.3271311247547376,2025-06-15 00:10:17.938809,2025-06-15 00:10:21.725028,0 days 00:00:03.786219,,,,,,,,306.0,0.004,2m,1.0,4.0,1.7000000000000002,76.0,500.0,0.005,4m,4.0,1.0,2.0,382.0,698.0,0.001,4m,1.0,2.5,1.2000000000000002,490.0,,,,,,,,,,,,,,,,,,,,,,48.0,0.01,1m,4.0,1.5,0.5,42.0,452.0,0.01,3m,2.0,3.0,0.5,1024.0,640,0.004,1m,2.0,3.5,1.6,992,0.25,6,COMPLETE
14,14,0.46836984673412557,2025-06-15 00:10:21.828726,2025-06-15 00:10:22.564973,0 days 00:00:00.736247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,0.007,1m,1.5,3.5,1.2000000000000002,518,0.35000000000000003,1,COMPLETE
15,15,-1.8962200980554265,2025-06-15 00:10:22.629418,2025-06-15 00:10:25.807753,0 days 00:00:03.178335,,,,,,,,396.0,0.004,4m,1.5,4.0,1.4,1024.0,454.0,0.008,1m,4.0,1.5,1.1,270.0,800.0,0.008,3m,3.0,1.0,1.2000000000000002,466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,0.001,3m,4.0,2.5,0.6,944.0,506,0.001,1m,1.0,3.0,1.7000000000000002,188,0.05,5,COMPLETE
16,16,-0.339175357896949,2025-06-15 00:10:25.898659,2025-06-15 00:10:30.436054,0 days 00:00:04.537395,,,,,,,,546.0,0.01,2m,1.0,1.0,2.0,812.0,1020.0,0.001,4m,3.0,2.0,1.2000000000000002,1016.0,404.0,0.003,4m,2.0,1.0,0.9,640.0,1002.0,0.001,1m,4.0,4.0,0.5,1024.0,,,,,,,,,,,,,,,722.0,0.001,3m,4.0,2.0,0.6,118.0,726.0,0.004,2m,1.0,4.0,0.9,724.0,786,0.01,1m,2.0,4.0,1.0,420,0.4,7,COMPLETE
17,17,-4.376422624140801,2025-06-15 00:10:30.497425,2025-06-15 00:10:33.099792,0 days 00:00:02.602367,,,,,,,,270.0,0.005,2m,1.5,2.5,1.7000000000000002,876.0,726.0,0.003,4m,2.0,4.0,0.5,794.0,450.0,0.01,3m,2.5,2.5,1.4,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,0.005,1m,2.5,3.0,1.3,186,0.25,4,COMPLETE
18,18,0.0903052985361584,2025-06-15 00:10:33.195377,2025-06-15 00:10:34.449535,0 days 00:00:01.254158,,,,,,,,,,,,,,,378.0,0.006,1m,3.5,3.5,1.4,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,0.002,2m,1.5,3.5,1.7000000000000002,850,0.15000000000000002,2,COMPLETE
19,19,-0.036223478596563045,2025-06-15 00:10:34.539209,2025-06-15 00:10:35.982441,0 days 00:00:01.443232,,,,,,,,,,,,,,,656.0,0.009000000000000001,4m,3.0,2.0,1.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,0.007,1m,1.0,4.0,1.1,602,0.3,2,COMPLETE
20,20,-4.659233773780811,2025-06-15 00:10:36.056446,2025-06-15 00:10:39.707296,0 days 00:00:03.650850,,,,,,,,406.0,0.006,4m,3.5,2.5,0.9,648.0,808.0,0.005,4m,4.0,3.5,2.0,670.0,808.0,0.008,4m,3.5,4.0,0.9,320.0,,,,,,,,,,,,,,,,,,,,,,30.0,0.01,1m,2.5,2.5,0.9,714.0,270.0,0.008,1m,2.0,2.0,0.8,732.0,22,0.01,1m,2.5,2.5,1.4,850,0.4,6,COMPLETE
