,number,value,datetime_start,datetime_complete,duration,params_AMD_VRTX_beta_win,params_AMD_VRTX_stop_loss,params_AMD_VRTX_trade_freq,params_AMD_VRTX_z_entry,params_AMD_VRTX_z_exit,params_AMD_VRTX_z_stop_scaler,params_AMD_VRTX_z_win,params_CERN_VRTX_beta_win,params_CERN_VRTX_stop_loss,params_CERN_VRTX_trade_freq,params_CERN_VRTX_z_entry,params_CERN_VRTX_z_exit,params_CERN_VRTX_z_stop_scaler,params_CERN_VRTX_z_win,params_CHKP_VRTX_beta_win,params_CHKP_VRTX_stop_loss,params_CHKP_VRTX_trade_freq,params_CHKP_VRTX_z_entry,params_CHKP_VRTX_z_exit,params_CHKP_VRTX_z_stop_scaler,params_CHKP_VRTX_z_win,params_CHTR_VRTX_beta_win,params_CHTR_VRTX_stop_loss,params_CHTR_VRTX_trade_freq,params_CHTR_VRTX_z_entry,params_CHTR_VRTX_z_exit,params_CHTR_VRTX_z_stop_scaler,params_CHTR_VRTX_z_win,params_CTSH_VRTX_beta_win,params_CTSH_VRTX_stop_loss,params_CTSH_VRTX_trade_freq,params_CTSH_VRTX_z_entry,params_CTSH_VRTX_z_exit,params_CTSH_VRTX_z_stop_scaler,params_CTSH_VRTX_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_PTON_VRTX_beta_win,params_PTON_VRTX_stop_loss,params_PTON_VRTX_trade_freq,params_PTON_VRTX_z_entry,params_PTON_VRTX_z_exit,params_PTON_VRTX_z_stop_scaler,params_PTON_VRTX_z_win,params_QCOM_VRTX_beta_win,params_QCOM_VRTX_stop_loss,params_QCOM_VRTX_trade_freq,params_QCOM_VRTX_z_entry,params_QCOM_VRTX_z_exit,params_QCOM_VRTX_z_stop_scaler,params_QCOM_VRTX_z_win,params_TMUS_VRTX_beta_win,params_TMUS_VRTX_stop_loss,params_TMUS_VRTX_trade_freq,params_TMUS_VRTX_z_entry,params_TMUS_VRTX_z_exit,params_TMUS_VRTX_z_stop_scaler,params_TMUS_VRTX_z_win,params_VRSK_VRTX_beta_win,params_VRSK_VRTX_stop_loss,params_VRSK_VRTX_trade_freq,params_VRSK_VRTX_z_entry,params_VRSK_VRTX_z_exit,params_VRSK_VRTX_z_stop_scaler,params_VRSK_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,3.206581114282327,2025-06-15 00:09:24.776533,2025-06-15 00:09:36.645359,0 days 00:00:11.868826,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,3.7353342543022565,2025-06-15 00:09:36.747066,2025-06-15 00:09:38.570740,0 days 00:00:01.823674,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-5.780657197979114,2025-06-15 00:09:38.643025,2025-06-15 00:09:43.976115,0 days 00:00:05.333090,110.0,0.003,4m,1.0,4.0,1.6,146.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,,,,,,,,34.0,0.005,2m,3.0,3.5,0.8,230.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,270,0.008,4m,1.0,1.5,0.5,50,652.0,0.001,4m,3.0,1.5,0.5,828.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,0.2,9,COMPLETE
3,3,-1.6752067150791323,2025-06-15 00:09:44.045066,2025-06-15 00:09:46.996090,0 days 00:00:02.951024,434.0,0.006,3m,2.5,3.5,0.7,974.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,2.4241819849270474,2025-06-15 00:09:47.069004,2025-06-15 00:09:50.127208,0 days 00:00:03.058204,886.0,0.003,3m,3.5,2.5,1.1,452.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,6.7775984171781545,2025-06-15 00:09:50.226608,2025-06-15 00:09:55.525348,0 days 00:00:05.298740,32.0,0.006,1m,3.0,3.5,1.5,220.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,370.0,0.007,1m,2.0,1.0,1.4,490.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,0.15000000000000002,8,COMPLETE
6,6,-0.2523642477158136,2025-06-15 00:09:55.626368,2025-06-15 00:09:58.263124,0 days 00:00:02.636756,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-2.575650616168148,2025-06-15 00:09:58.385251,2025-06-15 00:10:00.284559,0 days 00:00:01.899308,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-2.301755437669652,2025-06-15 00:10:00.400374,2025-06-15 00:10:04.351874,0 days 00:00:03.951500,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,0.05,7,COMPLETE
9,9,-2.241982734381183,2025-06-15 00:10:04.452767,2025-06-15 00:10:09.717019,0 days 00:00:05.264252,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,90,0.004,2m,4.0,1.5,0.9,844,552.0,0.003,1m,2.0,3.5,0.7,384.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,0.45,10,COMPLETE
10,10,-6.047811759880734,2025-06-15 00:10:09.816987,2025-06-15 00:10:19.570685,0 days 00:00:09.753698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.001,4m,2.5,4.0,1.6,336,,,,,,,,,,,,,,,0.3,1,COMPLETE
11,11,-2.049243131607174,2025-06-15 00:10:19.658077,2025-06-15 00:10:24.243933,0 days 00:00:04.585856,334.0,0.01,1m,4.0,3.0,1.6,768.0,752.0,0.005,3m,3.0,4.0,0.5,32.0,336.0,0.004,1m,1.5,1.5,2.0,90.0,,,,,,,,600.0,0.001,3m,4.0,2.5,2.0,22.0,1006.0,0.01,4m,4.0,4.0,0.5,988.0,,,,,,,,436,0.001,2m,3.0,4.0,2.0,280,,,,,,,,90.0,0.01,4m,4.0,1.0,2.0,926.0,0.3,7,COMPLETE
12,12,-5.534373634596,2025-06-15 00:10:24.328412,2025-06-15 00:10:29.622379,0 days 00:00:05.293967,782.0,0.001,1m,1.5,2.5,0.5,34.0,780.0,0.005,1m,2.0,2.5,0.8,632.0,354.0,0.005,1m,2.0,1.5,1.5,1004.0,,,,,,,,586.0,0.002,1m,3.5,2.5,1.2000000000000002,590.0,698.0,0.01,1m,3.5,2.0,2.0,54.0,,,,,,,,642,0.006,2m,2.5,3.0,1.7000000000000002,220,20.0,0.009000000000000001,2m,1.0,1.0,1.9000000000000001,102.0,1022.0,0.001,1m,1.0,4.0,2.0,172.0,0.2,8,COMPLETE
13,13,-100.0,2025-06-15 00:10:29.735400,2025-06-15 00:10:30.415544,0 days 00:00:00.680144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,0.006,4m,3.0,1.0,1.0,484,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
