,number,value,datetime_start,datetime_complete,duration,params_AMAT_BIIB_beta_win,params_AMAT_BIIB_stop_loss,params_AMAT_BIIB_trade_freq,params_AMAT_BIIB_z_entry,params_AMAT_BIIB_z_exit,params_AMAT_BIIB_z_stop_scaler,params_AMAT_BIIB_z_win,params_AMD_BIIB_beta_win,params_AMD_BIIB_stop_loss,params_AMD_BIIB_trade_freq,params_AMD_BIIB_z_entry,params_AMD_BIIB_z_exit,params_AMD_BIIB_z_stop_scaler,params_AMD_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_stop_loss,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_stop_scaler,params_ASML_BIIB_z_win,params_ATVI_BIIB_beta_win,params_ATVI_BIIB_stop_loss,params_ATVI_BIIB_trade_freq,params_ATVI_BIIB_z_entry,params_ATVI_BIIB_z_exit,params_ATVI_BIIB_z_stop_scaler,params_ATVI_BIIB_z_win,params_BIIB_SIRI_beta_win,params_BIIB_SIRI_stop_loss,params_BIIB_SIRI_trade_freq,params_BIIB_SIRI_z_entry,params_BIIB_SIRI_z_exit,params_BIIB_SIRI_z_stop_scaler,params_BIIB_SIRI_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_JD_TMUS_beta_win,params_JD_TMUS_stop_loss,params_JD_TMUS_trade_freq,params_JD_TMUS_z_entry,params_JD_TMUS_z_exit,params_JD_TMUS_z_stop_scaler,params_JD_TMUS_z_win,params_PEP_TMUS_beta_win,params_PEP_TMUS_stop_loss,params_PEP_TMUS_trade_freq,params_PEP_TMUS_z_entry,params_PEP_TMUS_z_exit,params_PEP_TMUS_z_stop_scaler,params_PEP_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.5259047498875828,2025-06-15 00:18:54.148815,2025-06-15 00:18:57.078401,0 days 00:00:02.929586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,0.5,3,COMPLETE
1,1,0.42812191128232835,2025-06-15 00:18:57.203913,2025-06-15 00:18:59.441879,0 days 00:00:02.237966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,0.3,3,COMPLETE
2,2,-1.1071932410112664,2025-06-15 00:18:59.517390,2025-06-15 00:19:04.208256,0 days 00:00:04.690866,652.0,0.001,4m,3.0,1.5,0.5,828.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,,,,,,,,920.0,0.003,3m,2.5,1.0,1.3,360.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,270,0.008,4m,1.0,1.5,0.5,50,670.0,0.006,4m,2.0,2.5,0.8,548.0,0.2,9,COMPLETE
3,3,-1.3147335828119213,2025-06-15 00:19:04.297290,2025-06-15 00:19:06.792512,0 days 00:00:02.495222,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,0.05,5,COMPLETE
4,4,3.253320564255999,2025-06-15 00:19:06.882044,2025-06-15 00:19:09.326059,0 days 00:00:02.444015,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,0.2,5,COMPLETE
5,5,-5.507765128243895,2025-06-15 00:19:09.405580,2025-06-15 00:19:13.438585,0 days 00:00:04.033005,370.0,0.007,1m,2.0,1.0,1.4,490.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,218.0,0.004,2m,1.5,3.0,1.6,72.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,430,0.001,4m,2.5,4.0,0.8,278,304.0,0.007,4m,1.5,1.0,1.8,648.0,0.15000000000000002,8,COMPLETE
6,6,4.1583538048033795,2025-06-15 00:19:13.505102,2025-06-15 00:19:16.359961,0 days 00:00:02.854859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,0.45,4,COMPLETE
7,7,1.8605665184683533,2025-06-15 00:19:16.470981,2025-06-15 00:19:19.341509,0 days 00:00:02.870528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,0.1,3,COMPLETE
8,8,-0.42163908452476984,2025-06-15 00:19:19.453030,2025-06-15 00:19:25.382292,0 days 00:00:05.929262,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,0.05,7,COMPLETE
9,9,1.9207649414546906,2025-06-15 00:19:25.475812,2025-06-15 00:19:30.357524,0 days 00:00:04.881712,552.0,0.003,1m,2.0,3.5,0.7,384.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,90,0.004,2m,4.0,1.5,0.9,844,612.0,0.004,2m,1.0,1.5,1.6,82.0,0.45,10,COMPLETE
