,number,value,datetime_start,datetime_complete,duration,params_AMD_FOX_beta_win,params_AMD_FOX_stop_loss,params_AMD_FOX_trade_freq,params_AMD_FOX_z_entry,params_AMD_FOX_z_exit,params_AMD_FOX_z_stop_scaler,params_AMD_FOX_z_win,params_CMCSA_SPLK_beta_win,params_CMCSA_SPLK_stop_loss,params_CMCSA_SPLK_trade_freq,params_CMCSA_SPLK_z_entry,params_CMCSA_SPLK_z_exit,params_CMCSA_SPLK_z_stop_scaler,params_CMCSA_SPLK_z_win,params_FOXA_XLNX_beta_win,params_FOXA_XLNX_stop_loss,params_FOXA_XLNX_trade_freq,params_FOXA_XLNX_z_entry,params_FOXA_XLNX_z_exit,params_FOXA_XLNX_z_stop_scaler,params_FOXA_XLNX_z_win,params_FOX_XLNX_beta_win,params_FOX_XLNX_stop_loss,params_FOX_XLNX_trade_freq,params_FOX_XLNX_z_entry,params_FOX_XLNX_z_exit,params_FOX_XLNX_z_stop_scaler,params_FOX_XLNX_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MTCH_TEAM_beta_win,params_MTCH_TEAM_stop_loss,params_MTCH_TEAM_trade_freq,params_MTCH_TEAM_z_entry,params_MTCH_TEAM_z_exit,params_MTCH_TEAM_z_stop_scaler,params_MTCH_TEAM_z_win,params_NFLX_CHTR_beta_win,params_NFLX_CHTR_stop_loss,params_NFLX_CHTR_trade_freq,params_NFLX_CHTR_z_entry,params_NFLX_CHTR_z_exit,params_NFLX_CHTR_z_stop_scaler,params_NFLX_CHTR_z_win,params_NFLX_CTAS_beta_win,params_NFLX_CTAS_stop_loss,params_NFLX_CTAS_trade_freq,params_NFLX_CTAS_z_entry,params_NFLX_CTAS_z_exit,params_NFLX_CTAS_z_stop_scaler,params_NFLX_CTAS_z_win,params_QCOM_CMCSA_beta_win,params_QCOM_CMCSA_stop_loss,params_QCOM_CMCSA_trade_freq,params_QCOM_CMCSA_z_entry,params_QCOM_CMCSA_z_exit,params_QCOM_CMCSA_z_stop_scaler,params_QCOM_CMCSA_z_win,params_TSLA_CTAS_beta_win,params_TSLA_CTAS_stop_loss,params_TSLA_CTAS_trade_freq,params_TSLA_CTAS_z_entry,params_TSLA_CTAS_z_exit,params_TSLA_CTAS_z_stop_scaler,params_TSLA_CTAS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.0001686145766153,2025-06-15 00:19:39.475235,2025-06-15 00:19:41.077686,0 days 00:00:01.602451,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,0.5,3,COMPLETE
1,1,6.220891807489052,2025-06-15 00:19:41.155686,2025-06-15 00:19:42.687265,0 days 00:00:01.531579,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,0.3,3,COMPLETE
2,2,-2.4633724411521247,2025-06-15 00:19:42.761781,2025-06-15 00:19:46.981044,0 days 00:00:04.219263,76.0,0.001,3m,2.5,2.5,0.6,388.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,,,,,,,,652.0,0.001,4m,3.0,1.5,0.5,828.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,270,0.008,4m,1.0,1.5,0.5,50,34.0,0.005,2m,3.0,3.5,0.8,230.0,0.2,9,COMPLETE
3,3,1.1082881138647958,2025-06-15 00:19:47.039043,2025-06-15 00:19:49.514130,0 days 00:00:02.475087,,,,,,,,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,960.0,0.01,4m,2.5,1.5,1.3,260.0,0.05,5,COMPLETE
4,4,2.718985480125274,2025-06-15 00:19:49.571137,2025-06-15 00:19:52.026192,0 days 00:00:02.455055,,,,,,,,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,0.2,5,COMPLETE
5,5,-2.8439397010659144,2025-06-15 00:19:52.091727,2025-06-15 00:19:55.833653,0 days 00:00:03.741926,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,370.0,0.007,1m,2.0,1.0,1.4,490.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,430,0.001,4m,2.5,4.0,0.8,278,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,0.15000000000000002,8,COMPLETE
6,6,-0.7309369337043987,2025-06-15 00:19:55.914171,2025-06-15 00:19:57.800616,0 days 00:00:01.886445,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,0.45,4,COMPLETE
7,7,2.4531570912095333,2025-06-15 00:19:57.856621,2025-06-15 00:19:59.213117,0 days 00:00:01.356496,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,0.1,3,COMPLETE
8,8,4.437949141035144,2025-06-15 00:19:59.284149,2025-06-15 00:20:02.409107,0 days 00:00:03.124958,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,0.05,7,COMPLETE
9,9,-2.8010642458833526,2025-06-15 00:20:02.465100,2025-06-15 00:20:06.652824,0 days 00:00:04.187724,678.0,0.01,4m,4.0,4.0,2.0,420.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,90,0.004,2m,4.0,1.5,0.9,844,1012.0,0.004,4m,4.0,1.5,0.5,248.0,0.45,10,COMPLETE
10,10,-100.0,2025-06-15 00:20:06.730335,2025-06-15 00:20:15.920447,0 days 00:00:09.190112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-10.769153497785695,2025-06-15 00:20:15.987969,2025-06-15 00:20:19.527965,0 days 00:00:03.539996,,,,,,,,46.0,0.001,2m,1.0,2.5,0.5,76.0,32.0,0.003,3m,3.5,2.5,1.5,32.0,344.0,0.001,1m,2.5,1.0,2.0,968.0,704.0,0.01,4m,1.5,1.0,0.9,768.0,,,,,,,,,,,,,,,106.0,0.01,3m,4.0,4.0,1.0,926.0,68,0.01,3m,3.0,3.0,1.6,90,430.0,0.001,3m,3.0,3.0,1.3,992.0,0.3,7,COMPLETE
12,12,-4.876356398236602,2025-06-15 00:20:19.620498,2025-06-15 00:20:23.160518,0 days 00:00:03.540020,,,,,,,,364.0,0.005,2m,2.0,2.5,0.9,474.0,312.0,0.004,2m,3.5,4.0,0.9,598.0,348.0,0.001,1m,3.0,1.5,2.0,1010.0,442.0,0.009000000000000001,4m,2.0,2.0,1.3,34.0,,,,,,,,,,,,,,,1022.0,0.001,1m,3.0,3.5,0.5,172.0,178,0.006,2m,3.5,3.0,1.6,244,64.0,0.007,1m,3.0,4.0,1.6,736.0,0.35000000000000003,7,COMPLETE
13,13,-1.7996785507634352,2025-06-15 00:20:23.245031,2025-06-15 00:20:23.897689,0 days 00:00:00.652658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,0.007,2m,3.0,2.5,1.1,454,,,,,,,,0.25,1,COMPLETE
14,14,-4.481706755918576,2025-06-15 00:20:23.986695,2025-06-15 00:20:27.074871,0 days 00:00:03.088176,,,,,,,,130.0,0.01,1m,4.0,1.5,1.3,188.0,308.0,0.005,4m,1.5,2.5,1.6,246.0,36.0,0.005,1m,2.0,2.0,1.1,892.0,650.0,0.008,2m,4.0,2.0,0.6,644.0,,,,,,,,,,,,,,,,,,,,,,448,0.01,3m,3.5,3.0,1.6,170,648.0,0.003,3m,1.0,2.5,1.0,542.0,0.05,6,COMPLETE
15,15,3.3518318434258574,2025-06-15 00:20:27.123387,2025-06-15 00:20:28.547246,0 days 00:00:01.423859,,,,,,,,,,,,,,,540.0,0.002,3m,3.0,3.0,1.9000000000000001,636.0,234.0,0.003,2m,4.0,3.5,1.8,828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,0.004,2m,2.5,4.0,1.1,380,,,,,,,,0.35000000000000003,3,COMPLETE
