,number,value,datetime_start,datetime_complete,duration,params_ADSK_XLNX_beta_win,params_ADSK_XLNX_stop_loss,params_ADSK_XLNX_trade_freq,params_ADSK_XLNX_z_entry,params_ADSK_XLNX_z_exit,params_ADSK_XLNX_z_stop_scaler,params_ADSK_XLNX_z_win,params_ALXN_CHTR_beta_win,params_ALXN_CHTR_stop_loss,params_ALXN_CHTR_trade_freq,params_ALXN_CHTR_z_entry,params_ALXN_CHTR_z_exit,params_ALXN_CHTR_z_stop_scaler,params_ALXN_CHTR_z_win,params_BIDU_PEP_beta_win,params_BIDU_PEP_stop_loss,params_BIDU_PEP_trade_freq,params_BIDU_PEP_z_entry,params_BIDU_PEP_z_exit,params_BIDU_PEP_z_stop_scaler,params_BIDU_PEP_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CPRT_ISRG_beta_win,params_CPRT_ISRG_stop_loss,params_CPRT_ISRG_trade_freq,params_CPRT_ISRG_z_entry,params_CPRT_ISRG_z_exit,params_CPRT_ISRG_z_stop_scaler,params_CPRT_ISRG_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_MAR_INCY_beta_win,params_MAR_INCY_stop_loss,params_MAR_INCY_trade_freq,params_MAR_INCY_z_entry,params_MAR_INCY_z_exit,params_MAR_INCY_z_stop_scaler,params_MAR_INCY_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_stop_loss,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_stop_scaler,params_PTON_SGEN_z_win,params_PTON_XLNX_beta_win,params_PTON_XLNX_stop_loss,params_PTON_XLNX_trade_freq,params_PTON_XLNX_z_entry,params_PTON_XLNX_z_exit,params_PTON_XLNX_z_stop_scaler,params_PTON_XLNX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-4.729339608154278,2025-06-15 00:20:03.030387,2025-06-15 00:20:04.259919,0 days 00:00:01.229532,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,1.789136160693432,2025-06-15 00:20:04.357441,2025-06-15 00:20:05.593606,0 days 00:00:01.236165,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-6.896035361586211,2025-06-15 00:20:05.652606,2025-06-15 00:20:09.104808,0 days 00:00:03.452202,76.0,0.001,3m,2.5,2.5,0.6,388.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,,,,,,,,270,0.008,4m,1.0,1.5,0.5,50,652.0,0.001,4m,3.0,1.5,0.5,828.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,0.2,9,COMPLETE
3,3,-1.4514355087121313,2025-06-15 00:20:09.175817,2025-06-15 00:20:11.028334,0 days 00:00:01.852517,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,0.05,5,COMPLETE
4,4,-0.9708176125404236,2025-06-15 00:20:11.073338,2025-06-15 00:20:12.818710,0 days 00:00:01.745372,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,0.2,5,COMPLETE
5,5,-3.3284012756911023,2025-06-15 00:20:12.862709,2025-06-15 00:20:15.692108,0 days 00:00:02.829399,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,370.0,0.007,1m,2.0,1.0,1.4,490.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,0.15000000000000002,8,COMPLETE
6,6,3.417417257138382,2025-06-15 00:20:15.750112,2025-06-15 00:20:17.393708,0 days 00:00:01.643596,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,0.45,4,COMPLETE
7,7,-0.3013871087008186,2025-06-15 00:20:17.477720,2025-06-15 00:20:18.778701,0 days 00:00:01.300981,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,0.06028931115469917,2025-06-15 00:20:18.856212,2025-06-15 00:20:21.774702,0 days 00:00:02.918490,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,0.05,7,COMPLETE
9,9,-0.9636708353371924,2025-06-15 00:20:21.844216,2025-06-15 00:20:25.950085,0 days 00:00:04.105869,678.0,0.01,4m,4.0,4.0,2.0,420.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,90,0.004,2m,4.0,1.5,0.9,844,552.0,0.003,1m,2.0,3.5,0.7,384.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,0.45,10,COMPLETE
