,number,value,datetime_start,datetime_complete,duration,params_ADSK_QCOM_beta_win,params_ADSK_QCOM_stop_loss,params_ADSK_QCOM_trade_freq,params_ADSK_QCOM_z_entry,params_ADSK_QCOM_z_exit,params_ADSK_QCOM_z_stop_scaler,params_ADSK_QCOM_z_win,params_ALGN_CHKP_beta_win,params_ALGN_CHKP_stop_loss,params_ALGN_CHKP_trade_freq,params_ALGN_CHKP_z_entry,params_ALGN_CHKP_z_exit,params_ALGN_CHKP_z_stop_scaler,params_ALGN_CHKP_z_win,params_COST_CHKP_beta_win,params_COST_CHKP_stop_loss,params_COST_CHKP_trade_freq,params_COST_CHKP_z_entry,params_COST_CHKP_z_exit,params_COST_CHKP_z_stop_scaler,params_COST_CHKP_z_win,params_CPRT_CHKP_beta_win,params_CPRT_CHKP_stop_loss,params_CPRT_CHKP_trade_freq,params_CPRT_CHKP_z_entry,params_CPRT_CHKP_z_exit,params_CPRT_CHKP_z_stop_scaler,params_CPRT_CHKP_z_win,params_GOOGL_CHKP_beta_win,params_GOOGL_CHKP_stop_loss,params_GOOGL_CHKP_trade_freq,params_GOOGL_CHKP_z_entry,params_GOOGL_CHKP_z_exit,params_GOOGL_CHKP_z_stop_scaler,params_GOOGL_CHKP_z_win,params_GOOG_CHKP_beta_win,params_GOOG_CHKP_stop_loss,params_GOOG_CHKP_trade_freq,params_GOOG_CHKP_z_entry,params_GOOG_CHKP_z_exit,params_GOOG_CHKP_z_stop_scaler,params_GOOG_CHKP_z_win,params_ISRG_CHKP_beta_win,params_ISRG_CHKP_stop_loss,params_ISRG_CHKP_trade_freq,params_ISRG_CHKP_z_entry,params_ISRG_CHKP_z_exit,params_ISRG_CHKP_z_stop_scaler,params_ISRG_CHKP_z_win,params_LULU_CHKP_beta_win,params_LULU_CHKP_stop_loss,params_LULU_CHKP_trade_freq,params_LULU_CHKP_z_entry,params_LULU_CHKP_z_exit,params_LULU_CHKP_z_stop_scaler,params_LULU_CHKP_z_win,params_MSFT_CHKP_beta_win,params_MSFT_CHKP_stop_loss,params_MSFT_CHKP_trade_freq,params_MSFT_CHKP_z_entry,params_MSFT_CHKP_z_exit,params_MSFT_CHKP_z_stop_scaler,params_MSFT_CHKP_z_win,params_PEP_CHKP_beta_win,params_PEP_CHKP_stop_loss,params_PEP_CHKP_trade_freq,params_PEP_CHKP_z_entry,params_PEP_CHKP_z_exit,params_PEP_CHKP_z_stop_scaler,params_PEP_CHKP_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.234836875933867,2025-06-15 00:22:11.892814,2025-06-15 00:22:13.335471,0 days 00:00:01.442657,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-10.402762320377267,2025-06-15 00:22:13.419977,2025-06-15 00:22:14.899282,0 days 00:00:01.479305,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,5.265370189052964,2025-06-15 00:22:14.981806,2025-06-15 00:22:19.136614,0 days 00:00:04.154808,652.0,0.001,4m,3.0,1.5,0.5,828.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,270,0.008,4m,1.0,1.5,0.5,50,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,,,,,,,,0.2,9,COMPLETE
3,3,5.623278649753535,2025-06-15 00:22:19.216133,2025-06-15 00:22:21.584859,0 days 00:00:02.368726,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,-4.613788306391774,2025-06-15 00:22:21.669368,2025-06-15 00:22:24.100302,0 days 00:00:02.430934,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,0.6700806241691476,2025-06-15 00:22:24.160816,2025-06-15 00:22:27.917760,0 days 00:00:03.756944,370.0,0.007,1m,2.0,1.0,1.4,490.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,430,0.001,4m,2.5,4.0,0.8,278,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,,,,,,,,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,0.15000000000000002,8,COMPLETE
6,6,0.9587310077210857,2025-06-15 00:22:27.990271,2025-06-15 00:22:29.947288,0 days 00:00:01.957017,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-0.6856127129614713,2025-06-15 00:22:30.013288,2025-06-15 00:22:31.685665,0 days 00:00:01.672377,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,6.359061802121301,2025-06-15 00:22:31.758179,2025-06-15 00:22:35.231529,0 days 00:00:03.473350,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,0.05,7,COMPLETE
9,9,-0.37127201083683037,2025-06-15 00:22:35.304045,2025-06-15 00:22:39.824884,0 days 00:00:04.520839,552.0,0.003,1m,2.0,3.5,0.7,384.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,90,0.004,2m,4.0,1.5,0.9,844,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,0.45,10,COMPLETE
