,number,value,datetime_start,datetime_complete,duration,params_BIDU_PEP_beta_win,params_BIDU_PEP_stop_loss,params_BIDU_PEP_trade_freq,params_BIDU_PEP_z_entry,params_BIDU_PEP_z_exit,params_BIDU_PEP_z_stop_scaler,params_BIDU_PEP_z_win,params_CDW_VRSK_beta_win,params_CDW_VRSK_stop_loss,params_CDW_VRSK_trade_freq,params_CDW_VRSK_z_entry,params_CDW_VRSK_z_exit,params_CDW_VRSK_z_stop_scaler,params_CDW_VRSK_z_win,params_COST_MAR_beta_win,params_COST_MAR_stop_loss,params_COST_MAR_trade_freq,params_COST_MAR_z_entry,params_COST_MAR_z_exit,params_COST_MAR_z_stop_scaler,params_COST_MAR_z_win,params_CSCO_EXC_beta_win,params_CSCO_EXC_stop_loss,params_CSCO_EXC_trade_freq,params_CSCO_EXC_z_entry,params_CSCO_EXC_z_exit,params_CSCO_EXC_z_stop_scaler,params_CSCO_EXC_z_win,params_DXCM_XLNX_beta_win,params_DXCM_XLNX_stop_loss,params_DXCM_XLNX_trade_freq,params_DXCM_XLNX_z_entry,params_DXCM_XLNX_z_exit,params_DXCM_XLNX_z_stop_scaler,params_DXCM_XLNX_z_win,params_GILD_MAR_beta_win,params_GILD_MAR_stop_loss,params_GILD_MAR_trade_freq,params_GILD_MAR_z_entry,params_GILD_MAR_z_exit,params_GILD_MAR_z_stop_scaler,params_GILD_MAR_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_GOOG_MAR_beta_win,params_GOOG_MAR_stop_loss,params_GOOG_MAR_trade_freq,params_GOOG_MAR_z_entry,params_GOOG_MAR_z_exit,params_GOOG_MAR_z_stop_scaler,params_GOOG_MAR_z_win,params_MAR_MU_beta_win,params_MAR_MU_stop_loss,params_MAR_MU_trade_freq,params_MAR_MU_z_entry,params_MAR_MU_z_exit,params_MAR_MU_z_stop_scaler,params_MAR_MU_z_win,params_PDD_ADP_beta_win,params_PDD_ADP_stop_loss,params_PDD_ADP_trade_freq,params_PDD_ADP_z_entry,params_PDD_ADP_z_exit,params_PDD_ADP_z_stop_scaler,params_PDD_ADP_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-5.518452648282483,2025-06-15 00:24:42.332077,2025-06-15 00:24:43.744869,0 days 00:00:01.412792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,876.0,0.003,3m,1.0,3.0,1.3,394.0,0.5,3,COMPLETE
1,1,-2.8280488936056005,2025-06-15 00:24:43.829383,2025-06-15 00:24:45.303644,0 days 00:00:01.474261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,0.3,3,COMPLETE
2,2,-2.231095328334157,2025-06-15 00:24:45.365165,2025-06-15 00:24:49.445618,0 days 00:00:04.080453,670.0,0.006,4m,2.0,2.5,0.8,548.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,,,,,,,,270,0.008,4m,1.0,1.5,0.5,50,110.0,0.003,4m,1.0,4.0,1.6,146.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,0.2,9,COMPLETE
3,3,-2.227825061934428,2025-06-15 00:24:49.543130,2025-06-15 00:24:52.041344,0 days 00:00:02.498214,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,0.05,5,COMPLETE
4,4,-2.4927484253615417,2025-06-15 00:24:52.121855,2025-06-15 00:24:54.449389,0 days 00:00:02.327534,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,0.2,5,COMPLETE
5,5,-8.663649645734223,2025-06-15 00:24:54.534915,2025-06-15 00:24:58.188149,0 days 00:00:03.653234,304.0,0.007,4m,1.5,1.0,1.8,648.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,804.0,0.008,1m,2.5,3.5,0.6,550.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,0.15000000000000002,8,COMPLETE
6,6,-0.6441628936858488,2025-06-15 00:24:58.268660,2025-06-15 00:25:00.113499,0 days 00:00:01.844839,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,0.45,4,COMPLETE
7,7,1.2496942171119747,2025-06-15 00:25:00.178500,2025-06-15 00:25:01.773296,0 days 00:00:01.594796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,832.0,0.01,3m,3.5,2.5,1.5,514.0,0.1,3,COMPLETE
8,8,-8.487653847232815,2025-06-15 00:25:01.821806,2025-06-15 00:25:04.938255,0 days 00:00:03.116449,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,0.05,7,COMPLETE
9,9,5.966088930133276,2025-06-15 00:25:05.001779,2025-06-15 00:25:09.410195,0 days 00:00:04.408416,612.0,0.004,2m,1.0,1.5,1.6,82.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,90,0.004,2m,4.0,1.5,0.9,844,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,0.45,10,COMPLETE
