,number,value,datetime_start,datetime_complete,duration,params_AMGN_TXN_beta_win,params_AMGN_TXN_stop_loss,params_AMGN_TXN_trade_freq,params_AMGN_TXN_z_entry,params_AMGN_TXN_z_exit,params_AMGN_TXN_z_stop_scaler,params_AMGN_TXN_z_win,params_CDW_MELI_beta_win,params_CDW_MELI_stop_loss,params_CDW_MELI_trade_freq,params_CDW_MELI_z_entry,params_CDW_MELI_z_exit,params_CDW_MELI_z_stop_scaler,params_CDW_MELI_z_win,params_DXCM_KHC_beta_win,params_DXCM_KHC_stop_loss,params_DXCM_KHC_trade_freq,params_DXCM_KHC_z_entry,params_DXCM_KHC_z_exit,params_DXCM_KHC_z_stop_scaler,params_DXCM_KHC_z_win,params_DXCM_TXN_beta_win,params_DXCM_TXN_stop_loss,params_DXCM_TXN_trade_freq,params_DXCM_TXN_z_entry,params_DXCM_TXN_z_exit,params_DXCM_TXN_z_stop_scaler,params_DXCM_TXN_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_stop_loss,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_stop_scaler,params_ISRG_PCAR_z_win,params_KHC_MSFT_beta_win,params_KHC_MSFT_stop_loss,params_KHC_MSFT_trade_freq,params_KHC_MSFT_z_entry,params_KHC_MSFT_z_exit,params_KHC_MSFT_z_stop_scaler,params_KHC_MSFT_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_ROST_TXN_beta_win,params_ROST_TXN_stop_loss,params_ROST_TXN_trade_freq,params_ROST_TXN_z_entry,params_ROST_TXN_z_exit,params_ROST_TXN_z_stop_scaler,params_ROST_TXN_z_win,params_TEAM_TXN_beta_win,params_TEAM_TXN_stop_loss,params_TEAM_TXN_trade_freq,params_TEAM_TXN_z_entry,params_TEAM_TXN_z_exit,params_TEAM_TXN_z_stop_scaler,params_TEAM_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.29932273626401135,2025-06-15 00:27:58.233251,2025-06-15 00:27:59.548448,0 days 00:00:01.315197,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,0.5,3,COMPLETE
1,1,3.7433934009491763,2025-06-15 00:27:59.616955,2025-06-15 00:28:01.182782,0 days 00:00:01.565827,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,0.3,3,COMPLETE
2,2,-0.30094608138015866,2025-06-15 00:28:01.262294,2025-06-15 00:28:05.128929,0 days 00:00:03.866635,76.0,0.001,3m,2.5,2.5,0.6,388.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,,,,,,,,34.0,0.005,2m,3.0,3.5,0.8,230.0,270,0.008,4m,1.0,1.5,0.5,50,670.0,0.006,4m,2.0,2.5,0.8,548.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,0.2,9,COMPLETE
3,3,-0.9169207841121633,2025-06-15 00:28:05.217466,2025-06-15 00:28:07.467923,0 days 00:00:02.250457,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,0.05,5,COMPLETE
4,4,-0.47182910231618014,2025-06-15 00:28:07.533922,2025-06-15 00:28:09.871374,0 days 00:00:02.337452,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,0.2,5,COMPLETE
5,5,-1.2617297532702036,2025-06-15 00:28:09.947892,2025-06-15 00:28:13.328159,0 days 00:00:03.380267,,,,,,,,804.0,0.008,1m,2.5,3.5,0.6,550.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,430,0.001,4m,2.5,4.0,0.8,278,304.0,0.007,4m,1.5,1.0,1.8,648.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,0.15000000000000002,8,COMPLETE
6,6,2.3164797677503373,2025-06-15 00:28:13.415673,2025-06-15 00:28:15.320441,0 days 00:00:01.904768,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,0.45,4,COMPLETE
7,7,-3.2200654465633765,2025-06-15 00:28:15.393952,2025-06-15 00:28:16.723167,0 days 00:00:01.329215,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,0.1,3,COMPLETE
8,8,2.7597334505207196,2025-06-15 00:28:16.774680,2025-06-15 00:28:19.998722,0 days 00:00:03.224042,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,0.05,7,COMPLETE
9,9,4.698810801289891,2025-06-15 00:28:20.112235,2025-06-15 00:28:24.556278,0 days 00:00:04.444043,678.0,0.01,4m,4.0,4.0,2.0,420.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,90,0.004,2m,4.0,1.5,0.9,844,612.0,0.004,2m,1.0,1.5,1.6,82.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,0.45,10,COMPLETE
10,10,3.1146003893341643,2025-06-15 00:28:24.637786,2025-06-15 00:28:29.565486,0 days 00:00:04.927700,910.0,0.01,4m,4.0,4.0,2.0,884.0,550.0,0.004,3m,3.5,1.0,0.7,60.0,348.0,0.01,2m,4.0,1.0,2.0,808.0,430.0,0.007,4m,4.0,1.5,0.9,172.0,642.0,0.003,3m,4.0,1.0,0.5,468.0,26,0.004,2m,3.0,1.0,1.1,1016,852.0,0.001,2m,4.0,1.0,2.0,64.0,98.0,0.01,4m,1.0,4.0,0.7,918.0,526.0,0.005,4m,2.0,1.0,1.0,802.0,998.0,0.002,2m,1.0,4.0,0.6,58.0,0.35000000000000003,10,COMPLETE
11,11,-100.0,2025-06-15 00:28:29.665997,2025-06-15 00:28:30.268598,0 days 00:00:00.602601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.006,2m,4.0,1.5,2.0,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,-2.0222558897828256,2025-06-15 00:28:30.336598,2025-06-15 00:28:30.869205,0 days 00:00:00.532607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.006,2m,4.0,2.0,1.7000000000000002,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
