,number,value,datetime_start,datetime_complete,duration,params_AAPL_OKTA_beta_win,params_AAPL_OKTA_stop_loss,params_AAPL_OKTA_trade_freq,params_AAPL_OKTA_z_entry,params_AAPL_OKTA_z_exit,params_AAPL_OKTA_z_stop_scaler,params_AAPL_OKTA_z_win,params_ADBE_OKTA_beta_win,params_ADBE_OKTA_stop_loss,params_ADBE_OKTA_trade_freq,params_ADBE_OKTA_z_entry,params_ADBE_OKTA_z_exit,params_ADBE_OKTA_z_stop_scaler,params_ADBE_OKTA_z_win,params_ANSS_PEP_beta_win,params_ANSS_PEP_stop_loss,params_ANSS_PEP_trade_freq,params_ANSS_PEP_z_entry,params_ANSS_PEP_z_exit,params_ANSS_PEP_z_stop_scaler,params_ANSS_PEP_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CPRT_OKTA_beta_win,params_CPRT_OKTA_stop_loss,params_CPRT_OKTA_trade_freq,params_CPRT_OKTA_z_entry,params_CPRT_OKTA_z_exit,params_CPRT_OKTA_z_stop_scaler,params_CPRT_OKTA_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_CTAS_SPLK_beta_win,params_CTAS_SPLK_stop_loss,params_CTAS_SPLK_trade_freq,params_CTAS_SPLK_z_entry,params_CTAS_SPLK_z_exit,params_CTAS_SPLK_z_stop_scaler,params_CTAS_SPLK_z_win,params_FOX_SWKS_beta_win,params_FOX_SWKS_stop_loss,params_FOX_SWKS_trade_freq,params_FOX_SWKS_z_entry,params_FOX_SWKS_z_exit,params_FOX_SWKS_z_stop_scaler,params_FOX_SWKS_z_win,params_ISRG_KHC_beta_win,params_ISRG_KHC_stop_loss,params_ISRG_KHC_trade_freq,params_ISRG_KHC_z_entry,params_ISRG_KHC_z_exit,params_ISRG_KHC_z_stop_scaler,params_ISRG_KHC_z_win,params_ROST_TXN_beta_win,params_ROST_TXN_stop_loss,params_ROST_TXN_trade_freq,params_ROST_TXN_z_entry,params_ROST_TXN_z_exit,params_ROST_TXN_z_stop_scaler,params_ROST_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,4.274185832713026,2025-06-15 00:31:05.565850,2025-06-15 00:31:07.035130,0 days 00:00:01.469280,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,0.5,3,COMPLETE
1,1,1.2910319154645085,2025-06-15 00:31:07.109137,2025-06-15 00:31:08.425022,0 days 00:00:01.315885,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,0.3,3,COMPLETE
2,2,6.239709140051785,2025-06-15 00:31:08.497549,2025-06-15 00:31:12.388390,0 days 00:00:03.890841,652.0,0.001,4m,3.0,1.5,0.5,828.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,270,0.008,4m,1.0,1.5,0.5,50,110.0,0.003,4m,1.0,4.0,1.6,146.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,,,,,,,,978.0,0.007,3m,1.5,4.0,0.7,698.0,0.2,9,COMPLETE
3,3,-0.5403232645490784,2025-06-15 00:31:12.469916,2025-06-15 00:31:14.696379,0 days 00:00:02.226463,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,0.05,5,COMPLETE
4,4,2.010862429740194,2025-06-15 00:31:14.777891,2025-06-15 00:31:16.997255,0 days 00:00:02.219364,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,0.2,5,COMPLETE
5,5,-3.1735305698511067,2025-06-15 00:31:17.074765,2025-06-15 00:31:20.551172,0 days 00:00:03.476407,370.0,0.007,1m,2.0,1.0,1.4,490.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,32.0,0.006,1m,3.0,3.5,1.5,220.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,,,,,,,,218.0,0.004,2m,1.5,3.0,1.6,72.0,0.15000000000000002,8,COMPLETE
6,6,-4.79145297165397,2025-06-15 00:31:20.640683,2025-06-15 00:31:22.635654,0 days 00:00:01.994971,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,0.45,4,COMPLETE
7,7,-5.139682450378871,2025-06-15 00:31:22.702654,2025-06-15 00:31:23.997963,0 days 00:00:01.295309,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,0.1,3,COMPLETE
8,8,-0.7815097801919821,2025-06-15 00:31:24.091505,2025-06-15 00:31:27.392435,0 days 00:00:03.300930,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,0.05,7,COMPLETE
9,9,-1.67172195013836,2025-06-15 00:31:27.463945,2025-06-15 00:31:31.999383,0 days 00:00:04.535438,552.0,0.003,1m,2.0,3.5,0.7,384.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,90,0.004,2m,4.0,1.5,0.9,844,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,0.45,10,COMPLETE
10,10,0.3642454137277889,2025-06-15 00:31:32.081899,2025-06-15 00:31:36.820954,0 days 00:00:04.739055,1008.0,0.001,4m,4.0,1.5,0.5,1022.0,852.0,0.01,4m,4.0,4.0,0.5,1006.0,142.0,0.001,3m,1.5,1.5,0.5,52.0,640,0.006,4m,1.0,1.0,0.5,52,340.0,0.001,4m,1.0,4.0,2.0,24.0,982.0,0.001,3m,4.0,1.0,0.7,148.0,454.0,0.003,3m,3.0,4.0,0.6,498.0,542.0,0.004,4m,1.0,4.0,2.0,56.0,990.0,0.001,1m,1.0,4.0,2.0,1012.0,990.0,0.006,3m,1.5,1.0,0.5,746.0,0.3,10,COMPLETE
11,11,-100.0,2025-06-15 00:31:36.899465,2025-06-15 00:31:37.503592,0 days 00:00:00.604127,,,,,,,,,,,,,,,,,,,,,,706,0.007,3m,3.0,2.0,1.5,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,-100.0,2025-06-15 00:31:37.588104,2025-06-15 00:31:38.198717,0 days 00:00:00.610613,,,,,,,,,,,,,,,,,,,,,,38,0.01,4m,3.0,2.5,1.4,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
13,13,-0.19856261023289093,2025-06-15 00:31:38.292247,2025-06-15 00:31:41.570416,0 days 00:00:03.278169,,,,,,,,970.0,0.001,1m,3.0,2.5,0.7,248.0,,,,,,,,398,0.007,3m,3.5,2.0,1.1,200,230.0,0.003,4m,1.0,2.5,1.6,746.0,702.0,0.001,1m,2.5,1.0,0.9,244.0,34.0,0.001,2m,1.0,3.0,0.9,48.0,524.0,0.001,4m,1.5,2.0,2.0,276.0,,,,,,,,1022.0,0.003,3m,1.0,1.5,1.2000000000000002,348.0,0.2,7,COMPLETE
14,14,0.6144681901135247,2025-06-15 00:31:41.648926,2025-06-15 00:31:45.579570,0 days 00:00:03.930644,768.0,0.01,4m,3.5,2.5,1.8,922.0,50.0,0.009000000000000001,4m,3.0,2.5,1.0,408.0,,,,,,,,174,0.005,4m,1.0,1.5,1.6,528,784.0,0.003,2m,1.5,4.0,0.5,72.0,16.0,0.004,3m,2.5,2.0,1.2000000000000002,448.0,404.0,0.004,2m,3.0,4.0,1.0,496.0,726.0,0.004,1m,1.5,1.0,0.5,362.0,,,,,,,,426.0,0.004,3m,1.0,2.0,1.2000000000000002,386.0,0.4,8,COMPLETE
15,15,4.737126573120524,2025-06-15 00:31:45.653082,2025-06-15 00:31:47.273877,0 days 00:00:01.620795,,,,,,,,,,,,,,,,,,,,,,542,0.007,3m,2.0,3.0,1.7000000000000002,468,,,,,,,,,,,,,,,,,,,,,,264.0,0.004,4m,2.0,2.0,1.6,102.0,,,,,,,,838.0,0.001,3m,1.5,3.5,1.0,412.0,0.25,3,COMPLETE
16,16,6.098629334789513,2025-06-15 00:31:47.341393,2025-06-15 00:31:50.210975,0 days 00:00:02.869582,,,,,,,,,,,,,,,,,,,,,,772,0.007,2m,2.0,3.0,1.7000000000000002,186,586.0,0.001,1m,4.0,3.0,1.5,650.0,676.0,0.01,3m,3.5,2.0,1.2000000000000002,326.0,722.0,0.007,3m,3.5,2.5,0.9,292.0,314.0,0.004,4m,1.5,2.5,1.7000000000000002,32.0,,,,,,,,698.0,0.001,1m,2.0,4.0,0.8,696.0,0.25,6,COMPLETE
17,17,3.1936724646972228,2025-06-15 00:31:50.298489,2025-06-15 00:31:54.658437,0 days 00:00:04.359948,46.0,0.004,2m,1.0,2.0,1.0,70.0,656.0,0.003,3m,2.5,3.5,0.9,928.0,32.0,0.001,3m,3.0,3.0,0.6,880.0,828,0.002,2m,1.5,4.0,2.0,158,644.0,0.001,1m,4.0,3.0,1.6,656.0,716.0,0.01,3m,3.5,2.0,1.2000000000000002,308.0,700.0,0.007,3m,3.5,2.5,0.9,306.0,402.0,0.01,4m,1.5,4.0,1.8,210.0,,,,,,,,500.0,0.008,1m,2.0,4.0,0.5,744.0,0.2,9,COMPLETE
18,18,-0.971696902220817,2025-06-15 00:31:54.754949,2025-06-15 00:31:57.762857,0 days 00:00:03.007908,,,,,,,,,,,,,,,,,,,,,,784,0.006,2m,2.0,3.0,1.0,152,1024.0,0.004,1m,4.0,2.0,1.4,576.0,674.0,0.003,3m,2.0,2.0,1.4,58.0,774.0,0.008,3m,3.5,2.5,1.2000000000000002,376.0,652.0,0.005,4m,2.0,2.5,1.7000000000000002,26.0,,,,,,,,668.0,0.005,1m,2.0,3.5,0.8,840.0,0.25,6,COMPLETE
19,19,0.25426621861916504,2025-06-15 00:31:57.827862,2025-06-15 00:32:02.224633,0 days 00:00:04.396771,542.0,0.001,3m,3.0,4.0,1.2000000000000002,730.0,760.0,0.008,1m,4.0,2.0,1.4,466.0,994.0,0.005,1m,2.0,2.0,1.4,402.0,878,0.005,2m,1.0,3.5,1.7000000000000002,52,270.0,0.001,4m,2.0,3.0,1.0,848.0,858.0,0.01,3m,3.5,1.5,1.0,642.0,348.0,0.005,2m,2.5,3.0,0.7,682.0,306.0,0.006,4m,3.5,2.5,1.8,644.0,,,,,,,,712.0,0.002,1m,2.0,4.0,0.7,1022.0,0.15000000000000002,9,COMPLETE
20,20,2.7052502373583294,2025-06-15 00:32:02.292908,2025-06-15 00:32:05.251627,0 days 00:00:02.958719,,,,,,,,,,,,,,,,,,,,,,654,0.008,1m,2.5,3.5,0.7,220,640.0,0.004,1m,3.0,3.5,1.7000000000000002,504.0,538.0,0.007,2m,3.0,2.5,1.6,348.0,766.0,0.006,3m,3.5,3.5,1.2000000000000002,160.0,410.0,0.003,4m,2.0,3.5,1.5,166.0,,,,,,,,402.0,0.006,1m,3.0,3.5,1.0,650.0,0.35000000000000003,6,COMPLETE
21,21,2.561926825609568,2025-06-15 00:32:05.343141,2025-06-15 00:32:06.384420,0 days 00:00:01.041279,,,,,,,,,,,,,,,,,,,,,,516,0.007,2m,2.0,3.0,1.7000000000000002,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.0,0.002,3m,1.5,3.5,1.0,476.0,0.25,2,COMPLETE
22,22,0.20096221947087325,2025-06-15 00:32:06.466943,2025-06-15 00:32:08.473271,0 days 00:00:02.006328,,,,,,,,,,,,,,,,,,,,,,550,0.008,3m,2.5,3.0,1.7000000000000002,22,,,,,,,,,,,,,,,596.0,0.002,2m,2.0,1.0,0.8,370.0,226.0,0.004,4m,2.0,2.0,1.9000000000000001,104.0,,,,,,,,780.0,0.001,3m,1.5,4.0,1.0,684.0,0.25,4,COMPLETE
23,23,-4.4936103810130135,2025-06-15 00:32:08.548298,2025-06-15 00:32:11.852252,0 days 00:00:03.303954,,,,,,,,440.0,0.004,2m,1.0,2.0,0.5,766.0,,,,,,,,724,0.007,4m,1.5,2.5,1.5,382,468.0,0.002,1m,2.0,3.0,1.8,388.0,840.0,0.003,1m,4.0,1.5,1.0,620.0,236.0,0.005,3m,3.5,2.0,1.1,180.0,190.0,0.005,4m,1.5,2.5,1.6,146.0,,,,,,,,924.0,0.001,3m,2.0,3.5,0.6,244.0,0.15000000000000002,7,COMPLETE
