,number,value,datetime_start,datetime_complete,duration,params_ADP_INTC_beta_win,params_ADP_INTC_stop_loss,params_ADP_INTC_trade_freq,params_ADP_INTC_z_entry,params_ADP_INTC_z_exit,params_ADP_INTC_z_stop_scaler,params_ADP_INTC_z_win,params_AMD_INTC_beta_win,params_AMD_INTC_stop_loss,params_AMD_INTC_trade_freq,params_AMD_INTC_z_entry,params_AMD_INTC_z_exit,params_AMD_INTC_z_stop_scaler,params_AMD_INTC_z_win,params_ANSS_INTC_beta_win,params_ANSS_INTC_stop_loss,params_ANSS_INTC_trade_freq,params_ANSS_INTC_z_entry,params_ANSS_INTC_z_exit,params_ANSS_INTC_z_stop_scaler,params_ANSS_INTC_z_win,params_CDNS_INTC_beta_win,params_CDNS_INTC_stop_loss,params_CDNS_INTC_trade_freq,params_CDNS_INTC_z_entry,params_CDNS_INTC_z_exit,params_CDNS_INTC_z_stop_scaler,params_CDNS_INTC_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_EXC_INTC_beta_win,params_EXC_INTC_stop_loss,params_EXC_INTC_trade_freq,params_EXC_INTC_z_entry,params_EXC_INTC_z_exit,params_EXC_INTC_z_stop_scaler,params_EXC_INTC_z_win,params_INTC_INTU_beta_win,params_INTC_INTU_stop_loss,params_INTC_INTU_trade_freq,params_INTC_INTU_z_entry,params_INTC_INTU_z_exit,params_INTC_INTU_z_stop_scaler,params_INTC_INTU_z_win,params_INTC_MSFT_beta_win,params_INTC_MSFT_stop_loss,params_INTC_MSFT_trade_freq,params_INTC_MSFT_z_entry,params_INTC_MSFT_z_exit,params_INTC_MSFT_z_stop_scaler,params_INTC_MSFT_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.12795722297837134,2025-06-15 00:34:22.947392,2025-06-15 00:34:24.548734,0 days 00:00:01.601342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,342,0.009000000000000001,3m,3.5,2.0,1.3,502,0.5,3,COMPLETE
1,1,4.556339677677874,2025-06-15 00:34:24.642251,2025-06-15 00:34:26.127210,0 days 00:00:01.484959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,0.3,3,COMPLETE
2,2,-1.7406354251994882,2025-06-15 00:34:26.201745,2025-06-15 00:34:30.484880,0 days 00:00:04.283135,652.0,0.001,4m,3.0,1.5,0.5,828.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,,,,,,,,920.0,0.003,3m,2.5,1.0,1.3,360.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,270,0.008,4m,1.0,1.5,0.5,50,0.2,9,COMPLETE
3,3,-0.6618754622419678,2025-06-15 00:34:30.544482,2025-06-15 00:34:32.873315,0 days 00:00:02.328833,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,0.05,5,COMPLETE
4,4,-4.149448399240904,2025-06-15 00:34:32.963834,2025-06-15 00:34:35.332439,0 days 00:00:02.368605,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,0.2,5,COMPLETE
5,5,0.1590232828042458,2025-06-15 00:34:35.399497,2025-06-15 00:34:39.320425,0 days 00:00:03.920928,370.0,0.007,1m,2.0,1.0,1.4,490.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,,,,,,,,218.0,0.004,2m,1.5,3.0,1.6,72.0,430,0.001,4m,2.5,4.0,0.8,278,0.15000000000000002,8,COMPLETE
6,6,1.7368970557365522,2025-06-15 00:34:39.390431,2025-06-15 00:34:41.198311,0 days 00:00:01.807880,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,264,0.008,1m,4.0,1.0,0.6,718,0.45,4,COMPLETE
7,7,-2.1917707268834943,2025-06-15 00:34:41.269317,2025-06-15 00:34:42.777645,0 days 00:00:01.508328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,952,0.004,3m,2.0,2.5,0.8,652,0.1,3,COMPLETE
8,8,-1.7104293814230038,2025-06-15 00:34:42.859166,2025-06-15 00:34:45.957420,0 days 00:00:03.098254,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,0.05,7,COMPLETE
9,9,0.6215778734596903,2025-06-15 00:34:46.050453,2025-06-15 00:34:50.586345,0 days 00:00:04.535892,552.0,0.003,1m,2.0,3.5,0.7,384.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,90,0.004,2m,4.0,1.5,0.9,844,0.45,10,COMPLETE
