,number,value,datetime_start,datetime_complete,duration,params_ADI_INTC_beta_win,params_ADI_INTC_stop_loss,params_ADI_INTC_trade_freq,params_ADI_INTC_z_entry,params_ADI_INTC_z_exit,params_ADI_INTC_z_stop_scaler,params_ADI_INTC_z_win,params_AEP_TXN_beta_win,params_AEP_TXN_stop_loss,params_AEP_TXN_trade_freq,params_AEP_TXN_z_entry,params_AEP_TXN_z_exit,params_AEP_TXN_z_stop_scaler,params_AEP_TXN_z_win,params_AMGN_TXN_beta_win,params_AMGN_TXN_stop_loss,params_AMGN_TXN_trade_freq,params_AMGN_TXN_z_entry,params_AMGN_TXN_z_exit,params_AMGN_TXN_z_stop_scaler,params_AMGN_TXN_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_GOOG_INTC_beta_win,params_GOOG_INTC_stop_loss,params_GOOG_INTC_trade_freq,params_GOOG_INTC_z_entry,params_GOOG_INTC_z_exit,params_GOOG_INTC_z_stop_scaler,params_GOOG_INTC_z_win,params_ILMN_PANW_beta_win,params_ILMN_PANW_stop_loss,params_ILMN_PANW_trade_freq,params_ILMN_PANW_z_entry,params_ILMN_PANW_z_exit,params_ILMN_PANW_z_stop_scaler,params_ILMN_PANW_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_MNST_TXN_beta_win,params_MNST_TXN_stop_loss,params_MNST_TXN_trade_freq,params_MNST_TXN_z_entry,params_MNST_TXN_z_exit,params_MNST_TXN_z_stop_scaler,params_MNST_TXN_z_win,params_SIRI_TXN_beta_win,params_SIRI_TXN_stop_loss,params_SIRI_TXN_trade_freq,params_SIRI_TXN_z_entry,params_SIRI_TXN_z_exit,params_SIRI_TXN_z_stop_scaler,params_SIRI_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,6.1197025719162275,2025-06-15 00:35:55.887286,2025-06-15 00:35:57.366538,0 days 00:00:01.479252,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-2.4629902845621037,2025-06-15 00:35:57.479052,2025-06-15 00:35:58.974917,0 days 00:00:01.495865,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,0.36474327492014136,2025-06-15 00:35:59.044431,2025-06-15 00:36:03.345480,0 days 00:00:04.301049,,,,,,,,572.0,0.008,4m,1.5,3.5,2.0,386.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,270,0.008,4m,1.0,1.5,0.5,50,110.0,0.003,4m,1.0,4.0,1.6,146.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,0.2,9,COMPLETE
3,3,5.548309732806359,2025-06-15 00:36:03.437990,2025-06-15 00:36:05.904086,0 days 00:00:02.466096,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,0.05,5,COMPLETE
4,4,0.4094785367767068,2025-06-15 00:36:05.967602,2025-06-15 00:36:08.371120,0 days 00:00:02.403518,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,0.2,5,COMPLETE
5,5,2.1173471862515587,2025-06-15 00:36:08.459630,2025-06-15 00:36:12.168136,0 days 00:00:03.708506,,,,,,,,804.0,0.008,1m,2.5,3.5,0.6,550.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,,,,,,,,304.0,0.007,4m,1.5,1.0,1.8,648.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,430,0.001,4m,2.5,4.0,0.8,278,32.0,0.006,1m,3.0,3.5,1.5,220.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,0.15000000000000002,8,COMPLETE
6,6,0.2926926456439672,2025-06-15 00:36:12.246664,2025-06-15 00:36:14.240987,0 days 00:00:01.994323,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,1.930988910408671,2025-06-15 00:36:14.273985,2025-06-15 00:36:15.606589,0 days 00:00:01.332604,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,2.098867672357267,2025-06-15 00:36:15.674107,2025-06-15 00:36:20.289226,0 days 00:00:04.615119,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,0.05,7,COMPLETE
9,9,2.747449225177307,2025-06-15 00:36:20.394745,2025-06-15 00:36:28.160081,0 days 00:00:07.765336,432.0,0.007,4m,4.0,1.5,0.9,224.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,90,0.004,2m,4.0,1.5,0.9,844,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,0.45,10,COMPLETE
