,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_TXN_beta_win,params_AMZN_TXN_stop_loss,params_AMZN_TXN_trade_freq,params_AMZN_TXN_z_entry,params_AMZN_TXN_z_exit,params_AMZN_TXN_z_stop_scaler,params_AMZN_TXN_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_CDNS_GOOGL_beta_win,params_CDNS_GOOGL_stop_loss,params_CDNS_GOOGL_trade_freq,params_CDNS_GOOGL_z_entry,params_CDNS_GOOGL_z_exit,params_CDNS_GOOGL_z_stop_scaler,params_CDNS_GOOGL_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,3.2569345004463495,2025-06-15 00:37:05.824335,2025-06-15 00:37:07.338260,0 days 00:00:01.513925,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,0.5,3,COMPLETE
1,1,-1.278031182261758,2025-06-15 00:37:07.447776,2025-06-15 00:37:09.009629,0 days 00:00:01.561853,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,0.3,3,COMPLETE
2,2,8.182116648824401,2025-06-15 00:37:09.085141,2025-06-15 00:37:13.182556,0 days 00:00:04.097415,572.0,0.008,4m,1.5,3.5,2.0,386.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,,,,,,,,652.0,0.001,4m,3.0,1.5,0.5,828.0,270,0.008,4m,1.0,1.5,0.5,50,34.0,0.005,2m,3.0,3.5,0.8,230.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,0.2,9,COMPLETE
3,3,4.492425995426353,2025-06-15 00:37:13.304080,2025-06-15 00:37:15.718111,0 days 00:00:02.414031,352.0,0.007,2m,1.0,3.5,1.3,856.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,960.0,0.01,4m,2.5,1.5,1.3,260.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,0.05,5,COMPLETE
4,4,-1.0949152841627907,2025-06-15 00:37:15.789627,2025-06-15 00:37:18.111753,0 days 00:00:02.322126,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,0.2,5,COMPLETE
5,5,1.9327825872494588,2025-06-15 00:37:18.195262,2025-06-15 00:37:21.780218,0 days 00:00:03.584956,804.0,0.008,1m,2.5,3.5,0.6,550.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,370.0,0.007,1m,2.0,1.0,1.4,490.0,430,0.001,4m,2.5,4.0,0.8,278,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,0.15000000000000002,8,COMPLETE
6,6,-7.120356538050795,2025-06-15 00:37:21.858731,2025-06-15 00:37:23.862747,0 days 00:00:02.004016,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,0.45,4,COMPLETE
7,7,1.8058358270708599,2025-06-15 00:37:23.929747,2025-06-15 00:37:25.319313,0 days 00:00:01.389566,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,0.1,3,COMPLETE
8,8,4.879645839451512,2025-06-15 00:37:25.398826,2025-06-15 00:37:28.488540,0 days 00:00:03.089714,150.0,0.002,2m,4.0,3.0,1.4,444.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,0.05,7,COMPLETE
9,9,-2.275635725111254,2025-06-15 00:37:28.571067,2025-06-15 00:37:32.986828,0 days 00:00:04.415761,1010.0,0.007,3m,4.0,1.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,90,0.004,2m,4.0,1.5,0.9,844,1012.0,0.004,4m,4.0,1.5,0.5,248.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,0.45,10,COMPLETE
