,number,value,datetime_start,datetime_complete,duration,params_ADI_AMZN_beta_win,params_ADI_AMZN_stop_loss,params_ADI_AMZN_trade_freq,params_ADI_AMZN_z_entry,params_ADI_AMZN_z_exit,params_ADI_AMZN_z_stop_scaler,params_ADI_AMZN_z_win,params_ANSS_GOOGL_beta_win,params_ANSS_GOOGL_stop_loss,params_ANSS_GOOGL_trade_freq,params_ANSS_GOOGL_z_entry,params_ANSS_GOOGL_z_exit,params_ANSS_GOOGL_z_stop_scaler,params_ANSS_GOOGL_z_win,params_ASML_ROST_beta_win,params_ASML_ROST_stop_loss,params_ASML_ROST_trade_freq,params_ASML_ROST_z_entry,params_ASML_ROST_z_exit,params_ASML_ROST_z_stop_scaler,params_ASML_ROST_z_win,params_BIIB_CMCSA_beta_win,params_BIIB_CMCSA_stop_loss,params_BIIB_CMCSA_trade_freq,params_BIIB_CMCSA_z_entry,params_BIIB_CMCSA_z_exit,params_BIIB_CMCSA_z_stop_scaler,params_BIIB_CMCSA_z_win,params_BIIB_MTCH_beta_win,params_BIIB_MTCH_stop_loss,params_BIIB_MTCH_trade_freq,params_BIIB_MTCH_z_entry,params_BIIB_MTCH_z_exit,params_BIIB_MTCH_z_stop_scaler,params_BIIB_MTCH_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MTCH_OKTA_beta_win,params_MTCH_OKTA_stop_loss,params_MTCH_OKTA_trade_freq,params_MTCH_OKTA_z_entry,params_MTCH_OKTA_z_exit,params_MTCH_OKTA_z_stop_scaler,params_MTCH_OKTA_z_win,params_MTCH_SWKS_beta_win,params_MTCH_SWKS_stop_loss,params_MTCH_SWKS_trade_freq,params_MTCH_SWKS_z_entry,params_MTCH_SWKS_z_exit,params_MTCH_SWKS_z_stop_scaler,params_MTCH_SWKS_z_win,params_MTCH_ZM_beta_win,params_MTCH_ZM_stop_loss,params_MTCH_ZM_trade_freq,params_MTCH_ZM_z_entry,params_MTCH_ZM_z_exit,params_MTCH_ZM_z_stop_scaler,params_MTCH_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.176804482192505,2025-06-15 00:41:38.454333,2025-06-15 00:41:39.920111,0 days 00:00:01.465778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,0.5,3,COMPLETE
1,1,4.9180937594988725,2025-06-15 00:41:39.980621,2025-06-15 00:41:41.385959,0 days 00:00:01.405338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,0.3,3,COMPLETE
2,2,-3.9602112248379897,2025-06-15 00:41:41.449469,2025-06-15 00:41:45.529574,0 days 00:00:04.080105,34.0,0.005,2m,3.0,3.5,0.8,230.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,,,,,,,,572.0,0.008,4m,1.5,3.5,2.0,386.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,270,0.008,4m,1.0,1.5,0.5,50,0.2,9,COMPLETE
3,3,-1.2149381702483073,2025-06-15 00:41:45.609081,2025-06-15 00:41:48.133064,0 days 00:00:02.523983,960.0,0.01,4m,2.5,1.5,1.3,260.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,0.05,5,COMPLETE
4,4,-2.9559696351871603,2025-06-15 00:41:48.221086,2025-06-15 00:41:50.500000,0 days 00:00:02.278914,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,0.2,5,COMPLETE
5,5,-2.515121199506814,2025-06-15 00:41:50.579509,2025-06-15 00:41:54.288096,0 days 00:00:03.708587,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,370.0,0.007,1m,2.0,1.0,1.4,490.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,,,,,,,,804.0,0.008,1m,2.5,3.5,0.6,550.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,430,0.001,4m,2.5,4.0,0.8,278,0.15000000000000002,8,COMPLETE
6,6,-0.7849239561454869,2025-06-15 00:41:54.372631,2025-06-15 00:41:56.405979,0 days 00:00:02.033348,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,0.45,4,COMPLETE
7,7,0.8741998472690752,2025-06-15 00:41:56.478505,2025-06-15 00:41:57.852308,0 days 00:00:01.373803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,0.1,3,COMPLETE
8,8,-2.164076282804994,2025-06-15 00:41:57.918308,2025-06-15 00:42:01.285102,0 days 00:00:03.366794,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,0.05,7,COMPLETE
9,9,1.2880142173055007,2025-06-15 00:42:01.365624,2025-06-15 00:42:05.956828,0 days 00:00:04.591204,1012.0,0.004,4m,4.0,1.5,0.5,248.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,90,0.004,2m,4.0,1.5,0.9,844,0.45,10,COMPLETE
10,10,3.3544405331664118,2025-06-15 00:42:06.021830,2025-06-15 00:42:06.672969,0 days 00:00:00.651139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,0.35000000000000003,1,COMPLETE
11,11,3.2291813308423793,2025-06-15 00:42:06.746989,2025-06-15 00:42:07.410605,0 days 00:00:00.663616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,0.006,2m,3.0,1.0,1.9000000000000001,978,0.35000000000000003,1,COMPLETE
