,number,value,datetime_start,datetime_complete,duration,params_ADI_AMZN_beta_win,params_ADI_AMZN_stop_loss,params_ADI_AMZN_trade_freq,params_ADI_AMZN_z_entry,params_ADI_AMZN_z_exit,params_ADI_AMZN_z_stop_scaler,params_ADI_AMZN_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_ROST_beta_win,params_ASML_ROST_stop_loss,params_ASML_ROST_trade_freq,params_ASML_ROST_z_entry,params_ASML_ROST_z_exit,params_ASML_ROST_z_stop_scaler,params_ASML_ROST_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_BIIB_CMCSA_beta_win,params_BIIB_CMCSA_stop_loss,params_BIIB_CMCSA_trade_freq,params_BIIB_CMCSA_z_entry,params_BIIB_CMCSA_z_exit,params_BIIB_CMCSA_z_stop_scaler,params_BIIB_CMCSA_z_win,params_CPRT_ROST_beta_win,params_CPRT_ROST_stop_loss,params_CPRT_ROST_trade_freq,params_CPRT_ROST_z_entry,params_CPRT_ROST_z_exit,params_CPRT_ROST_z_stop_scaler,params_CPRT_ROST_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_MRNA_beta_win,params_KDP_MRNA_stop_loss,params_KDP_MRNA_trade_freq,params_KDP_MRNA_z_entry,params_KDP_MRNA_z_exit,params_KDP_MRNA_z_stop_scaler,params_KDP_MRNA_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.8158364968776963,2025-06-15 00:46:49.206028,2025-06-15 00:46:50.692888,0 days 00:00:01.486860,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,4.869043277967366,2025-06-15 00:46:50.781934,2025-06-15 00:46:52.367564,0 days 00:00:01.585630,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,7.950679932601449,2025-06-15 00:46:52.428563,2025-06-15 00:46:56.292649,0 days 00:00:03.864086,572.0,0.008,4m,1.5,3.5,2.0,386.0,,,,,,,,270,0.008,4m,1.0,1.5,0.5,50,76.0,0.001,3m,2.5,2.5,0.6,388.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,0.2,9,COMPLETE
3,3,2.441125392638424,2025-06-15 00:46:56.361172,2025-06-15 00:46:58.729058,0 days 00:00:02.367886,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,0.05,5,COMPLETE
4,4,0.3043773438206746,2025-06-15 00:46:58.808083,2025-06-15 00:47:00.912406,0 days 00:00:02.104323,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,0.2,5,COMPLETE
5,5,4.201920563124165,2025-06-15 00:47:00.987923,2025-06-15 00:47:04.625707,0 days 00:00:03.637784,804.0,0.008,1m,2.5,3.5,0.6,550.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,,,,,,,,370.0,0.007,1m,2.0,1.0,1.4,490.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,0.15000000000000002,8,COMPLETE
6,6,3.344636387041508,2025-06-15 00:47:04.705222,2025-06-15 00:47:06.389910,0 days 00:00:01.684688,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,0.45,4,COMPLETE
7,7,3.851218551204393,2025-06-15 00:47:06.470419,2025-06-15 00:47:07.863202,0 days 00:00:01.392783,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,0.6040757714528197,2025-06-15 00:47:07.956709,2025-06-15 00:47:10.998194,0 days 00:00:03.041485,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,0.05,7,COMPLETE
9,9,-3.820115530869094,2025-06-15 00:47:11.068713,2025-06-15 00:47:15.421524,0 days 00:00:04.352811,1010.0,0.007,3m,4.0,1.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,90,0.004,2m,4.0,1.5,0.9,844,678.0,0.01,4m,4.0,4.0,2.0,420.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,0.45,10,COMPLETE
