,number,value,datetime_start,datetime_complete,duration,params_ADSK_BIIB_beta_win,params_ADSK_BIIB_stop_loss,params_ADSK_BIIB_trade_freq,params_ADSK_BIIB_z_entry,params_ADSK_BIIB_z_exit,params_ADSK_BIIB_z_stop_scaler,params_ADSK_BIIB_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_BIIB_EBAY_beta_win,params_BIIB_EBAY_stop_loss,params_BIIB_EBAY_trade_freq,params_BIIB_EBAY_z_entry,params_BIIB_EBAY_z_exit,params_BIIB_EBAY_z_stop_scaler,params_BIIB_EBAY_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CPRT_PYPL_beta_win,params_CPRT_PYPL_stop_loss,params_CPRT_PYPL_trade_freq,params_CPRT_PYPL_z_entry,params_CPRT_PYPL_z_exit,params_CPRT_PYPL_z_stop_scaler,params_CPRT_PYPL_z_win,params_EBAY_ZM_beta_win,params_EBAY_ZM_stop_loss,params_EBAY_ZM_trade_freq,params_EBAY_ZM_z_entry,params_EBAY_ZM_z_exit,params_EBAY_ZM_z_stop_scaler,params_EBAY_ZM_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,6.205798787648503,2025-06-15 00:49:05.069327,2025-06-15 00:49:06.584296,0 days 00:00:01.514969,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,1.69146795571014,2025-06-15 00:49:06.656806,2025-06-15 00:49:08.111734,0 days 00:00:01.454928,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,4.922624170765053,2025-06-15 00:49:08.198250,2025-06-15 00:49:12.411117,0 days 00:00:04.212867,110.0,0.003,4m,1.0,4.0,1.6,146.0,270,0.008,4m,1.0,1.5,0.5,50,652.0,0.001,4m,3.0,1.5,0.5,828.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,,,,,,,,670.0,0.006,4m,2.0,2.5,0.8,548.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,0.2,9,COMPLETE
3,3,5.297209775491388,2025-06-15 00:49:12.488122,2025-06-15 00:49:14.690154,0 days 00:00:02.202032,434.0,0.006,3m,2.5,3.5,0.7,974.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,-3.8578758195625205,2025-06-15 00:49:14.786668,2025-06-15 00:49:17.212984,0 days 00:00:02.426316,886.0,0.003,3m,3.5,2.5,1.1,452.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,3.8492722768399923,2025-06-15 00:49:17.294991,2025-06-15 00:49:20.947007,0 days 00:00:03.652016,32.0,0.006,1m,3.0,3.5,1.5,220.0,430,0.001,4m,2.5,4.0,0.8,278,370.0,0.007,1m,2.0,1.0,1.4,490.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,,,,,,,,304.0,0.007,4m,1.5,1.0,1.8,648.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,0.15000000000000002,8,COMPLETE
6,6,0.14824305157623527,2025-06-15 00:49:21.023516,2025-06-15 00:49:22.981384,0 days 00:00:01.957868,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,0.9322482851049008,2025-06-15 00:49:23.057894,2025-06-15 00:49:24.497215,0 days 00:00:01.439321,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-3.545959111224741,2025-06-15 00:49:24.579724,2025-06-15 00:49:27.715336,0 days 00:00:03.135612,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,0.05,7,COMPLETE
9,9,-0.719595536602596,2025-06-15 00:49:27.786336,2025-06-15 00:49:32.210216,0 days 00:00:04.423880,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,90,0.004,2m,4.0,1.5,0.9,844,552.0,0.003,1m,2.0,3.5,0.7,384.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,0.45,10,COMPLETE
