,number,value,datetime_start,datetime_complete,duration,params_ADSK_BIIB_beta_win,params_ADSK_BIIB_stop_loss,params_ADSK_BIIB_trade_freq,params_ADSK_BIIB_z_entry,params_ADSK_BIIB_z_exit,params_ADSK_BIIB_z_stop_scaler,params_ADSK_BIIB_z_win,params_ADSK_ZM_beta_win,params_ADSK_ZM_stop_loss,params_ADSK_ZM_trade_freq,params_ADSK_ZM_z_entry,params_ADSK_ZM_z_exit,params_ADSK_ZM_z_stop_scaler,params_ADSK_ZM_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_FAST_TXN_beta_win,params_FAST_TXN_stop_loss,params_FAST_TXN_trade_freq,params_FAST_TXN_z_entry,params_FAST_TXN_z_exit,params_FAST_TXN_z_stop_scaler,params_FAST_TXN_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MRNA_TXN_beta_win,params_MRNA_TXN_stop_loss,params_MRNA_TXN_trade_freq,params_MRNA_TXN_z_entry,params_MRNA_TXN_z_exit,params_MRNA_TXN_z_stop_scaler,params_MRNA_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,3.263723655929052,2025-06-15 00:50:50.613776,2025-06-15 00:50:51.914076,0 days 00:00:01.300300,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,0.5,3,COMPLETE
1,1,-6.697889894332584,2025-06-15 00:50:51.986601,2025-06-15 00:50:53.472848,0 days 00:00:01.486247,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,0.3,3,COMPLETE
2,2,0.3740562713692645,2025-06-15 00:50:53.544366,2025-06-15 00:50:57.565993,0 days 00:00:04.021627,572.0,0.008,4m,1.5,3.5,2.0,386.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,270,0.008,4m,1.0,1.5,0.5,50,920.0,0.003,3m,2.5,1.0,1.3,360.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,,,,,,,,978.0,0.007,3m,1.5,4.0,0.7,698.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,0.2,9,COMPLETE
3,3,-0.3951086344547689,2025-06-15 00:50:57.654522,2025-06-15 00:50:59.951997,0 days 00:00:02.297475,352.0,0.007,2m,1.0,3.5,1.3,856.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,0.05,5,COMPLETE
4,4,-2.465572279943243,2025-06-15 00:51:00.037510,2025-06-15 00:51:02.207987,0 days 00:00:02.170477,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,0.2,5,COMPLETE
5,5,1.121816928956833,2025-06-15 00:51:02.274501,2025-06-15 00:51:05.810244,0 days 00:00:03.535743,804.0,0.008,1m,2.5,3.5,0.6,550.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,430,0.001,4m,2.5,4.0,0.8,278,974.0,0.008,4m,3.0,4.0,1.8,922.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,,,,,,,,,,,,,,,218.0,0.004,2m,1.5,3.0,1.6,72.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,0.15000000000000002,8,COMPLETE
6,6,2.1738927373221792,2025-06-15 00:51:05.892278,2025-06-15 00:51:07.775532,0 days 00:00:01.883254,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,0.45,4,COMPLETE
7,7,1.0312615065446118,2025-06-15 00:51:07.872584,2025-06-15 00:51:09.235466,0 days 00:00:01.362882,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,0.1,3,COMPLETE
8,8,2.285043027275876,2025-06-15 00:51:09.303470,2025-06-15 00:51:12.293303,0 days 00:00:02.989833,150.0,0.002,2m,4.0,3.0,1.4,444.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,338.0,0.005,2m,1.5,3.0,1.4,492.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,,,,,,,,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,0.05,7,COMPLETE
9,9,6.665380336486274,2025-06-15 00:51:12.353329,2025-06-15 00:51:16.537243,0 days 00:00:04.183914,1010.0,0.007,3m,4.0,1.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,90,0.004,2m,4.0,1.5,0.9,844,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,0.45,10,COMPLETE
10,10,4.262743189067964,2025-06-15 00:51:16.633767,2025-06-15 00:51:21.427173,0 days 00:00:04.793406,550.0,0.004,3m,3.5,1.0,0.7,60.0,642.0,0.003,3m,4.0,1.0,0.5,468.0,26,0.004,2m,3.0,1.0,1.1,1016,98.0,0.01,4m,1.0,4.0,0.7,918.0,348.0,0.01,2m,4.0,1.0,2.0,808.0,998.0,0.002,2m,1.0,4.0,0.6,58.0,910.0,0.01,4m,4.0,4.0,2.0,884.0,430.0,0.007,4m,4.0,1.5,0.9,172.0,526.0,0.005,4m,2.0,1.0,1.0,802.0,852.0,0.001,2m,4.0,1.0,2.0,64.0,0.35000000000000003,10,COMPLETE
