,number,value,datetime_start,datetime_complete,duration,params_ADSK_DOCU_beta_win,params_ADSK_DOCU_stop_loss,params_ADSK_DOCU_trade_freq,params_ADSK_DOCU_z_entry,params_ADSK_DOCU_z_exit,params_ADSK_DOCU_z_stop_scaler,params_ADSK_DOCU_z_win,params_ALGN_DOCU_beta_win,params_ALGN_DOCU_stop_loss,params_ALGN_DOCU_trade_freq,params_ALGN_DOCU_z_entry,params_ALGN_DOCU_z_exit,params_ALGN_DOCU_z_stop_scaler,params_ALGN_DOCU_z_win,params_AMAT_DOCU_beta_win,params_AMAT_DOCU_stop_loss,params_AMAT_DOCU_trade_freq,params_AMAT_DOCU_z_entry,params_AMAT_DOCU_z_exit,params_AMAT_DOCU_z_stop_scaler,params_AMAT_DOCU_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_DOCU_beta_win,params_ASML_DOCU_stop_loss,params_ASML_DOCU_trade_freq,params_ASML_DOCU_z_entry,params_ASML_DOCU_z_exit,params_ASML_DOCU_z_stop_scaler,params_ASML_DOCU_z_win,params_BIIB_DOCU_beta_win,params_BIIB_DOCU_stop_loss,params_BIIB_DOCU_trade_freq,params_BIIB_DOCU_z_entry,params_BIIB_DOCU_z_exit,params_BIIB_DOCU_z_stop_scaler,params_BIIB_DOCU_z_win,params_CPRT_DOCU_beta_win,params_CPRT_DOCU_stop_loss,params_CPRT_DOCU_trade_freq,params_CPRT_DOCU_z_entry,params_CPRT_DOCU_z_exit,params_CPRT_DOCU_z_stop_scaler,params_CPRT_DOCU_z_win,params_EBAY_DOCU_beta_win,params_EBAY_DOCU_stop_loss,params_EBAY_DOCU_trade_freq,params_EBAY_DOCU_z_entry,params_EBAY_DOCU_z_exit,params_EBAY_DOCU_z_stop_scaler,params_EBAY_DOCU_z_win,params_MTCH_DOCU_beta_win,params_MTCH_DOCU_stop_loss,params_MTCH_DOCU_trade_freq,params_MTCH_DOCU_z_entry,params_MTCH_DOCU_z_exit,params_MTCH_DOCU_z_stop_scaler,params_MTCH_DOCU_z_win,params_SBUX_DOCU_beta_win,params_SBUX_DOCU_stop_loss,params_SBUX_DOCU_trade_freq,params_SBUX_DOCU_z_entry,params_SBUX_DOCU_z_exit,params_SBUX_DOCU_z_stop_scaler,params_SBUX_DOCU_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,3.086347141766207,2025-06-15 00:52:25.488113,2025-06-15 00:52:26.893625,0 days 00:00:01.405512,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,1000.0,0.002,1m,2.5,2.0,0.6,468.0,0.5,3,COMPLETE
1,1,-2.8412547260225254,2025-06-15 00:52:27.002140,2025-06-15 00:52:28.537785,0 days 00:00:01.535645,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,984.0,0.006,3m,2.5,3.0,1.0,592.0,0.3,3,COMPLETE
2,2,7.864192728561332,2025-06-15 00:52:28.617304,2025-06-15 00:52:35.538183,0 days 00:00:06.920879,270,0.008,4m,1.0,1.5,0.5,50,110.0,0.003,4m,1.0,4.0,1.6,146.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,,,,,,,,978.0,0.007,3m,1.5,4.0,0.7,698.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,0.2,9,COMPLETE
3,3,4.646423439343108,2025-06-15 00:52:35.658208,2025-06-15 00:52:39.859000,0 days 00:00:04.200792,544,0.009000000000000001,1m,1.5,3.5,1.3,326,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,0.05,5,COMPLETE
4,4,5.184886520199877,2025-06-15 00:52:39.970511,2025-06-15 00:52:43.078154,0 days 00:00:03.107643,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,0.2,5,COMPLETE
5,5,5.307520792594186,2025-06-15 00:52:43.169197,2025-06-15 00:52:46.835255,0 days 00:00:03.666058,430,0.001,4m,2.5,4.0,0.8,278,32.0,0.006,1m,3.0,3.5,1.5,220.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,,,,,,,,,,,,,,,218.0,0.004,2m,1.5,3.0,1.6,72.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,0.15000000000000002,8,COMPLETE
6,6,1.5596583130915977,2025-06-15 00:52:46.919258,2025-06-15 00:52:48.856645,0 days 00:00:01.937387,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,0.45,4,COMPLETE
7,7,4.996621920638244,2025-06-15 00:52:48.924167,2025-06-15 00:52:50.313389,0 days 00:00:01.389222,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,948.0,0.008,2m,4.0,3.0,1.6,760.0,0.1,3,COMPLETE
8,8,2.3337061785957287,2025-06-15 00:52:50.394899,2025-06-15 00:52:53.651337,0 days 00:00:03.256438,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,,,,,,,,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,0.05,7,COMPLETE
9,9,-2.8876157186465923,2025-06-15 00:52:53.721843,2025-06-15 00:52:58.173052,0 days 00:00:04.451209,90,0.004,2m,4.0,1.5,0.9,844,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,0.45,10,COMPLETE
