,number,value,datetime_start,datetime_complete,duration,params_ABNB_KDP_beta_win,params_ABNB_KDP_stop_loss,params_ABNB_KDP_trade_freq,params_ABNB_KDP_z_entry,params_ABNB_KDP_z_exit,params_ABNB_KDP_z_stop_scaler,params_ABNB_KDP_z_win,params_ADSK_KLAC_beta_win,params_ADSK_KLAC_stop_loss,params_ADSK_KLAC_trade_freq,params_ADSK_KLAC_z_entry,params_ADSK_KLAC_z_exit,params_ADSK_KLAC_z_stop_scaler,params_ADSK_KLAC_z_win,params_CTAS_PAYX_beta_win,params_CTAS_PAYX_stop_loss,params_CTAS_PAYX_trade_freq,params_CTAS_PAYX_z_entry,params_CTAS_PAYX_z_exit,params_CTAS_PAYX_z_stop_scaler,params_CTAS_PAYX_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ILMN_KDP_beta_win,params_ILMN_KDP_stop_loss,params_ILMN_KDP_trade_freq,params_ILMN_KDP_z_entry,params_ILMN_KDP_z_exit,params_ILMN_KDP_z_stop_scaler,params_ILMN_KDP_z_win,params_NTES_EA_beta_win,params_NTES_EA_stop_loss,params_NTES_EA_trade_freq,params_NTES_EA_z_entry,params_NTES_EA_z_exit,params_NTES_EA_z_stop_scaler,params_NTES_EA_z_win,params_TSLA_DXCM_beta_win,params_TSLA_DXCM_stop_loss,params_TSLA_DXCM_trade_freq,params_TSLA_DXCM_z_entry,params_TSLA_DXCM_z_exit,params_TSLA_DXCM_z_stop_scaler,params_TSLA_DXCM_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_WDAY_KDP_beta_win,params_WDAY_KDP_stop_loss,params_WDAY_KDP_trade_freq,params_WDAY_KDP_z_entry,params_WDAY_KDP_z_exit,params_WDAY_KDP_z_stop_scaler,params_WDAY_KDP_z_win,params_ZM_BIIB_beta_win,params_ZM_BIIB_stop_loss,params_ZM_BIIB_trade_freq,params_ZM_BIIB_z_entry,params_ZM_BIIB_z_exit,params_ZM_BIIB_z_stop_scaler,params_ZM_BIIB_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.2699000182980837,2025-06-15 00:53:21.111327,2025-06-15 00:53:22.463084,0 days 00:00:01.351757,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,0.6820534321239843,2025-06-15 00:53:22.520090,2025-06-15 00:53:23.776066,0 days 00:00:01.255976,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-3.660192382107377,2025-06-15 00:53:23.851579,2025-06-15 00:53:27.470406,0 days 00:00:03.618827,652.0,0.001,4m,3.0,1.5,0.5,828.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,270,0.008,4m,1.0,1.5,0.5,50,76.0,0.001,3m,2.5,2.5,0.6,388.0,,,,,,,,978.0,0.007,3m,1.5,4.0,0.7,698.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,0.2,9,COMPLETE
3,3,-4.272645408008824,2025-06-15 00:53:27.553915,2025-06-15 00:53:29.837891,0 days 00:00:02.283976,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,0.05,5,COMPLETE
4,4,-4.180824140635168,2025-06-15 00:53:29.905892,2025-06-15 00:53:32.053706,0 days 00:00:02.147814,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,0.2,5,COMPLETE
5,5,2.4233917605528164,2025-06-15 00:53:32.127713,2025-06-15 00:53:35.627670,0 days 00:00:03.499957,370.0,0.007,1m,2.0,1.0,1.4,490.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,430,0.001,4m,2.5,4.0,0.8,278,,,,,,,,,,,,,,,218.0,0.004,2m,1.5,3.0,1.6,72.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,0.15000000000000002,8,COMPLETE
6,6,-11.520274987155172,2025-06-15 00:53:35.717691,2025-06-15 00:53:37.490137,0 days 00:00:01.772446,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,0.45,4,COMPLETE
7,7,-0.17367161864989755,2025-06-15 00:53:37.593666,2025-06-15 00:53:39.003441,0 days 00:00:01.409775,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-9.120974372809979,2025-06-15 00:53:39.062577,2025-06-15 00:53:42.038052,0 days 00:00:02.975475,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,0.05,7,COMPLETE
9,9,-5.49211673531103,2025-06-15 00:53:42.133575,2025-06-15 00:53:46.564141,0 days 00:00:04.430566,552.0,0.003,1m,2.0,3.5,0.7,384.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,90,0.004,2m,4.0,1.5,0.9,844,678.0,0.01,4m,4.0,4.0,2.0,420.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,0.45,10,COMPLETE
