,number,value,datetime_start,datetime_complete,duration,params_AAPL_KDP_beta_win,params_AAPL_KDP_stop_loss,params_AAPL_KDP_trade_freq,params_AAPL_KDP_z_entry,params_AAPL_KDP_z_exit,params_AAPL_KDP_z_stop_scaler,params_AAPL_KDP_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ANSS_KDP_beta_win,params_ANSS_KDP_stop_loss,params_ANSS_KDP_trade_freq,params_ANSS_KDP_z_entry,params_ANSS_KDP_z_exit,params_ANSS_KDP_z_stop_scaler,params_ANSS_KDP_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_EA_NTES_beta_win,params_EA_NTES_stop_loss,params_EA_NTES_trade_freq,params_EA_NTES_z_entry,params_EA_NTES_z_exit,params_EA_NTES_z_stop_scaler,params_EA_NTES_z_win,params_EBAY_KDP_beta_win,params_EBAY_KDP_stop_loss,params_EBAY_KDP_trade_freq,params_EBAY_KDP_z_entry,params_EBAY_KDP_z_exit,params_EBAY_KDP_z_stop_scaler,params_EBAY_KDP_z_win,params_IDXX_ISRG_beta_win,params_IDXX_ISRG_stop_loss,params_IDXX_ISRG_trade_freq,params_IDXX_ISRG_z_entry,params_IDXX_ISRG_z_exit,params_IDXX_ISRG_z_stop_scaler,params_IDXX_ISRG_z_win,params_OKTA_KDP_beta_win,params_OKTA_KDP_stop_loss,params_OKTA_KDP_trade_freq,params_OKTA_KDP_z_entry,params_OKTA_KDP_z_exit,params_OKTA_KDP_z_stop_scaler,params_OKTA_KDP_z_win,params_SWKS_ANSS_beta_win,params_SWKS_ANSS_stop_loss,params_SWKS_ANSS_trade_freq,params_SWKS_ANSS_z_entry,params_SWKS_ANSS_z_exit,params_SWKS_ANSS_z_stop_scaler,params_SWKS_ANSS_z_win,params_ZS_KDP_beta_win,params_ZS_KDP_stop_loss,params_ZS_KDP_trade_freq,params_ZS_KDP_z_entry,params_ZS_KDP_z_exit,params_ZS_KDP_z_stop_scaler,params_ZS_KDP_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,6.921457099889043,2025-06-15 00:54:55.569411,2025-06-15 00:54:57.096719,0 days 00:00:01.527308,876.0,0.003,3m,1.0,3.0,1.3,394.0,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,4.654014389027888,2025-06-15 00:54:57.155724,2025-06-15 00:54:58.354231,0 days 00:00:01.198507,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-3.5702914458076873,2025-06-15 00:54:58.440327,2025-06-15 00:55:02.396146,0 days 00:00:03.955819,978.0,0.007,3m,1.5,4.0,0.7,698.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,270,0.008,4m,1.0,1.5,0.5,50,670.0,0.006,4m,2.0,2.5,0.8,548.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,,,,,,,,920.0,0.003,3m,2.5,1.0,1.3,360.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,0.2,9,COMPLETE
3,3,3.828370582617165,2025-06-15 00:55:02.472670,2025-06-15 00:55:04.757570,0 days 00:00:02.284900,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,0.05,5,COMPLETE
4,4,8.62334729307611,2025-06-15 00:55:04.828080,2025-06-15 00:55:07.106550,0 days 00:00:02.278470,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,0.2,5,COMPLETE
5,5,2.1292833951313135,2025-06-15 00:55:07.183060,2025-06-15 00:55:10.650256,0 days 00:00:03.467196,218.0,0.004,2m,1.5,3.0,1.6,72.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,304.0,0.007,4m,1.5,1.0,1.8,648.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,0.15000000000000002,8,COMPLETE
6,6,0.14663243455146152,2025-06-15 00:55:10.746277,2025-06-15 00:55:12.626186,0 days 00:00:01.879909,588.0,0.007,2m,2.5,2.5,0.8,598.0,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,0.45,4,COMPLETE
7,7,0.031174297342351987,2025-06-15 00:55:12.683233,2025-06-15 00:55:14.148911,0 days 00:00:01.465678,832.0,0.01,3m,3.5,2.5,1.5,514.0,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,2.8120418917887253,2025-06-15 00:55:14.229929,2025-06-15 00:55:17.321037,0 days 00:00:03.091108,172.0,0.001,2m,2.5,4.0,1.8,892.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,0.05,7,COMPLETE
9,9,0.2513602648682035,2025-06-15 00:55:17.393546,2025-06-15 00:55:21.810631,0 days 00:00:04.417085,698.0,0.01,4m,2.5,3.5,0.8,766.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,90,0.004,2m,4.0,1.5,0.9,844,612.0,0.004,2m,1.0,1.5,1.6,82.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,0.45,10,COMPLETE
