,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ALGN_DDOG_beta_win,params_ALGN_DDOG_stop_loss,params_ALGN_DDOG_trade_freq,params_ALGN_DDOG_z_entry,params_ALGN_DDOG_z_exit,params_ALGN_DDOG_z_stop_scaler,params_ALGN_DDOG_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_AMZN_MSFT_beta_win,params_AMZN_MSFT_stop_loss,params_AMZN_MSFT_trade_freq,params_AMZN_MSFT_z_entry,params_AMZN_MSFT_z_exit,params_AMZN_MSFT_z_stop_scaler,params_AMZN_MSFT_z_win,params_AMZN_PYPL_beta_win,params_AMZN_PYPL_stop_loss,params_AMZN_PYPL_trade_freq,params_AMZN_PYPL_z_entry,params_AMZN_PYPL_z_exit,params_AMZN_PYPL_z_stop_scaler,params_AMZN_PYPL_z_win,params_AMZN_VRSN_beta_win,params_AMZN_VRSN_stop_loss,params_AMZN_VRSN_trade_freq,params_AMZN_VRSN_z_entry,params_AMZN_VRSN_z_exit,params_AMZN_VRSN_z_stop_scaler,params_AMZN_VRSN_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_MELI_MSFT_beta_win,params_MELI_MSFT_stop_loss,params_MELI_MSFT_trade_freq,params_MELI_MSFT_z_entry,params_MELI_MSFT_z_exit,params_MELI_MSFT_z_stop_scaler,params_MELI_MSFT_z_win,params_WBA_MNST_beta_win,params_WBA_MNST_stop_loss,params_WBA_MNST_trade_freq,params_WBA_MNST_z_entry,params_WBA_MNST_z_exit,params_WBA_MNST_z_stop_scaler,params_WBA_MNST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-3.775374564131124,2025-06-15 00:57:41.067306,2025-06-15 00:57:42.330428,0 days 00:00:01.263122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,342,0.009000000000000001,3m,3.5,2.0,1.3,502,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,0.7943211981485567,2025-06-15 00:57:42.416429,2025-06-15 00:57:43.803156,0 days 00:00:01.386727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-1.6391307693880306,2025-06-15 00:57:43.872674,2025-06-15 00:57:47.517077,0 days 00:00:03.644403,920.0,0.003,3m,2.5,1.0,1.3,360.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,270,0.008,4m,1.0,1.5,0.5,50,978.0,0.007,3m,1.5,4.0,0.7,698.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,,,,,,,,76.0,0.001,3m,2.5,2.5,0.6,388.0,0.2,9,COMPLETE
3,3,-3.0027489779342127,2025-06-15 00:57:47.586587,2025-06-15 00:57:49.724970,0 days 00:00:02.138383,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,-4.674448145797688,2025-06-15 00:57:49.798476,2025-06-15 00:57:51.855958,0 days 00:00:02.057482,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,-1.4687236160879458,2025-06-15 00:57:51.899958,2025-06-15 00:57:55.535486,0 days 00:00:03.635528,974.0,0.008,4m,3.0,4.0,1.8,922.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,430,0.001,4m,2.5,4.0,0.8,278,218.0,0.004,2m,1.5,3.0,1.6,72.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,,,,,,,,,,,,,,,0.15000000000000002,8,COMPLETE
6,6,-7.403235814073482,2025-06-15 00:57:55.607480,2025-06-15 00:57:57.348774,0 days 00:00:01.741294,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,264,0.008,1m,4.0,1.0,0.6,718,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-4.58306389283655,2025-06-15 00:57:57.426284,2025-06-15 00:57:58.850043,0 days 00:00:01.423759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,952,0.004,3m,2.0,2.5,0.8,652,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-3.004805358663332,2025-06-15 00:57:58.916049,2025-06-15 00:58:01.846566,0 days 00:00:02.930517,338.0,0.005,2m,1.5,3.0,1.4,492.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,,,,,,,,,,,,,,,0.05,7,COMPLETE
9,9,2.5929728592387673,2025-06-15 00:58:01.920568,2025-06-15 00:58:06.273464,0 days 00:00:04.352896,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,90,0.004,2m,4.0,1.5,0.9,844,698.0,0.01,4m,2.5,3.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,0.45,10,COMPLETE
