,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_ALGN_ISRG_beta_win,params_ALGN_ISRG_stop_loss,params_ALGN_ISRG_trade_freq,params_ALGN_ISRG_z_entry,params_ALGN_ISRG_z_exit,params_ALGN_ISRG_z_stop_scaler,params_ALGN_ISRG_z_win,params_AMD_LRCX_beta_win,params_AMD_LRCX_stop_loss,params_AMD_LRCX_trade_freq,params_AMD_LRCX_z_entry,params_AMD_LRCX_z_exit,params_AMD_LRCX_z_stop_scaler,params_AMD_LRCX_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_EBAY_ISRG_beta_win,params_EBAY_ISRG_stop_loss,params_EBAY_ISRG_trade_freq,params_EBAY_ISRG_z_entry,params_EBAY_ISRG_z_exit,params_EBAY_ISRG_z_stop_scaler,params_EBAY_ISRG_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_EBAY_SWKS_beta_win,params_EBAY_SWKS_stop_loss,params_EBAY_SWKS_trade_freq,params_EBAY_SWKS_z_entry,params_EBAY_SWKS_z_exit,params_EBAY_SWKS_z_stop_scaler,params_EBAY_SWKS_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,4.297657366915569,2025-06-15 01:00:04.182413,2025-06-15 01:00:05.529801,0 days 00:00:01.347388,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-6.763740903773199,2025-06-15 01:00:05.617317,2025-06-15 01:00:07.070460,0 days 00:00:01.453143,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-3.1120995340265156,2025-06-15 01:00:07.142971,2025-06-15 01:00:10.762381,0 days 00:00:03.619410,572.0,0.008,4m,1.5,3.5,2.0,386.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,270,0.008,4m,1.0,1.5,0.5,50,670.0,0.006,4m,2.0,2.5,0.8,548.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,,,,,,,,76.0,0.001,3m,2.5,2.5,0.6,388.0,0.2,9,COMPLETE
3,3,1.1013419356625984,2025-06-15 01:00:10.813403,2025-06-15 01:00:13.031650,0 days 00:00:02.218247,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,1.5850353358769529,2025-06-15 01:00:13.127170,2025-06-15 01:00:15.076345,0 days 00:00:01.949175,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,-9.049002763130458,2025-06-15 01:00:15.124346,2025-06-15 01:00:18.738235,0 days 00:00:03.613889,804.0,0.008,1m,2.5,3.5,0.6,550.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,430,0.001,4m,2.5,4.0,0.8,278,304.0,0.007,4m,1.5,1.0,1.8,648.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,,,,,,,,,,,,,,,0.15000000000000002,8,COMPLETE
6,6,6.9439885218122495,2025-06-15 01:00:18.814264,2025-06-15 01:00:20.217355,0 days 00:00:01.403091,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,1.8329300694960433,2025-06-15 01:00:20.292370,2025-06-15 01:00:21.719605,0 days 00:00:01.427235,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-3.3229507235597313,2025-06-15 01:00:21.793621,2025-06-15 01:00:24.720102,0 days 00:00:02.926481,150.0,0.002,2m,4.0,3.0,1.4,444.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,,,,,,,,0.05,7,COMPLETE
9,9,-0.07950393200193005,2025-06-15 01:00:24.777616,2025-06-15 01:00:29.080545,0 days 00:00:04.302929,1010.0,0.007,3m,4.0,1.5,0.8,766.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,90,0.004,2m,4.0,1.5,0.9,844,612.0,0.004,2m,1.0,1.5,1.6,82.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,0.45,10,COMPLETE
10,10,-0.7321559131307229,2025-06-15 01:00:29.165550,2025-06-15 01:00:29.743186,0 days 00:00:00.577636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,3.3664775309098456,2025-06-15 01:00:29.812222,2025-06-15 01:00:31.197612,0 days 00:00:01.385390,30.0,0.003,3m,3.0,1.5,0.5,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,0.007,3m,3.5,1.0,1.5,524,,,,,,,,524.0,0.003,2m,1.0,1.5,1.1,372.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
12,12,-1.593240047111118,2025-06-15 01:00:31.243613,2025-06-15 01:00:31.756330,0 days 00:00:00.512717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0.01,1m,3.5,2.5,1.5,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
13,13,-4.2226771160948635,2025-06-15 01:00:31.817842,2025-06-15 01:00:33.773275,0 days 00:00:01.955433,370.0,0.004,1m,2.0,1.0,0.8,184.0,,,,,,,,334.0,0.001,2m,1.0,4.0,1.4,1020.0,,,,,,,,,,,,,,,392,0.007,1m,4.0,2.0,1.1,834,,,,,,,,540.0,0.005,3m,2.0,2.0,1.1,396.0,,,,,,,,,,,,,,,0.5,4,COMPLETE
14,14,-2.649878955787253,2025-06-15 01:00:33.863298,2025-06-15 01:00:36.492927,0 days 00:00:02.629629,602.0,0.001,4m,3.0,2.0,1.7000000000000002,272.0,50.0,0.01,1m,4.0,1.5,0.5,20.0,520.0,0.008,3m,2.0,3.0,1.0,688.0,,,,,,,,886.0,0.001,2m,4.0,2.0,0.5,872.0,182,0.005,3m,3.5,2.0,1.6,516,,,,,,,,698.0,0.002,1m,1.0,2.0,0.5,328.0,,,,,,,,,,,,,,,0.4,6,COMPLETE
15,15,8.468662658412281,2025-06-15 01:00:36.550926,2025-06-15 01:00:37.576104,0 days 00:00:01.025178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,0.01,1m,3.0,1.0,1.0,666,,,,,,,,388.0,0.007,3m,4.0,2.5,1.4,548.0,,,,,,,,,,,,,,,0.45,2,COMPLETE
16,16,-2.463594349956624,2025-06-15 01:00:37.643620,2025-06-15 01:00:38.752314,0 days 00:00:01.108694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.01,1m,2.5,1.0,0.7,740,,,,,,,,328.0,0.007,2m,4.0,1.0,0.9,606.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
17,17,7.043011220711491,2025-06-15 01:00:38.843380,2025-06-15 01:00:40.713848,0 days 00:00:01.870468,284.0,0.01,3m,1.5,1.0,2.0,56.0,,,,,,,,310.0,0.003,2m,1.0,4.0,1.6,758.0,,,,,,,,,,,,,,,522,0.007,1m,3.0,1.0,1.0,980,,,,,,,,398.0,0.008,3m,3.0,2.0,1.3,762.0,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
18,18,6.9924193482480215,2025-06-15 01:00:40.768856,2025-06-15 01:00:43.623710,0 days 00:00:02.854854,286.0,0.01,3m,1.0,1.0,2.0,42.0,708.0,0.001,2m,4.0,2.0,0.6,36.0,570.0,0.002,3m,1.0,4.0,1.1,466.0,,,,,,,,414.0,0.01,1m,1.0,3.0,2.0,696.0,526,0.001,1m,3.0,1.5,1.0,990,,,,,,,,386.0,0.008,3m,4.0,2.0,1.4,782.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
19,19,-2.6371251630393755,2025-06-15 01:00:43.710227,2025-06-15 01:00:44.749379,0 days 00:00:01.039152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,0.003,1m,2.0,3.0,1.0,904,,,,,,,,376.0,0.005,3m,3.0,1.5,1.1,846.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
20,20,6.972167186512156,2025-06-15 01:00:44.824112,2025-06-15 01:00:46.680580,0 days 00:00:01.856468,444.0,0.005,4m,1.5,4.0,1.7000000000000002,224.0,,,,,,,,404.0,0.003,2m,1.5,2.5,1.5,472.0,,,,,,,,,,,,,,,478,0.006,2m,3.0,1.0,1.1,894,,,,,,,,418.0,0.006,3m,3.0,1.5,1.3,708.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
21,21,0.269347461237702,2025-06-15 01:00:46.748087,2025-06-15 01:00:49.752452,0 days 00:00:03.004365,232.0,0.01,3m,1.0,1.0,1.9000000000000001,28.0,660.0,0.001,2m,4.0,2.0,0.5,54.0,688.0,0.001,3m,1.0,4.0,1.1,446.0,,,,,,,,396.0,0.01,1m,1.0,3.0,2.0,704.0,522,0.001,1m,3.0,1.5,1.0,954,,,,,,,,422.0,0.008,3m,4.0,2.0,1.5,1000.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
22,22,4.92557923757379,2025-06-15 01:00:49.816521,2025-06-15 01:00:53.018116,0 days 00:00:03.201595,242.0,0.01,3m,1.5,1.0,2.0,114.0,704.0,0.001,2m,3.0,2.5,0.8,274.0,468.0,0.003,3m,1.0,4.0,0.9,716.0,,,,,,,,660.0,0.008,1m,1.5,2.5,1.6,652.0,576,0.002,1m,2.5,1.5,0.9,988,1020.0,0.001,1m,4.0,4.0,0.6,978.0,324.0,0.008,3m,4.0,2.0,1.4,838.0,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
23,23,5.351486816307645,2025-06-15 01:00:53.089626,2025-06-15 01:00:55.468104,0 days 00:00:02.378478,300.0,0.01,3m,1.0,2.0,1.5,38.0,,,,,,,,754.0,0.002,3m,1.5,3.5,1.2000000000000002,410.0,,,,,,,,266.0,0.01,1m,2.0,4.0,0.9,722.0,784,0.005,1m,3.0,1.0,1.2000000000000002,800,,,,,,,,472.0,0.008,3m,3.5,2.5,1.2000000000000002,750.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
24,24,3.2465549328405197,2025-06-15 01:00:55.530623,2025-06-15 01:00:56.547649,0 days 00:00:01.017026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,0.003,1m,2.0,1.5,0.7,616,,,,,,,,636.0,0.009000000000000001,3m,4.0,1.0,1.5,512.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
25,25,2.21897986658885,2025-06-15 01:00:56.629160,2025-06-15 01:01:00.032995,0 days 00:00:03.403835,510.0,0.009000000000000001,3m,2.0,1.5,1.8,348.0,656.0,0.004,3m,2.0,2.0,0.9,694.0,250.0,0.004,2m,2.0,3.0,1.7000000000000002,606.0,,,,,,,,718.0,0.004,1m,1.5,3.0,1.8,472.0,462,0.007,1m,2.5,1.0,1.4,1022,38.0,0.01,3m,3.5,4.0,2.0,100.0,272.0,0.006,1m,3.5,2.5,1.7000000000000002,670.0,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
