,number,value,datetime_start,datetime_complete,duration,params_ABNB_ROST_beta_win,params_ABNB_ROST_stop_loss,params_ABNB_ROST_trade_freq,params_ABNB_ROST_z_entry,params_ABNB_ROST_z_exit,params_ABNB_ROST_z_stop_scaler,params_ABNB_ROST_z_win,params_ADI_IDXX_beta_win,params_ADI_IDXX_stop_loss,params_ADI_IDXX_trade_freq,params_ADI_IDXX_z_entry,params_ADI_IDXX_z_exit,params_ADI_IDXX_z_stop_scaler,params_ADI_IDXX_z_win,params_ADSK_IDXX_beta_win,params_ADSK_IDXX_stop_loss,params_ADSK_IDXX_trade_freq,params_ADSK_IDXX_z_entry,params_ADSK_IDXX_z_exit,params_ADSK_IDXX_z_stop_scaler,params_ADSK_IDXX_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_DLTR_IDXX_beta_win,params_DLTR_IDXX_stop_loss,params_DLTR_IDXX_trade_freq,params_DLTR_IDXX_z_entry,params_DLTR_IDXX_z_exit,params_DLTR_IDXX_z_stop_scaler,params_DLTR_IDXX_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_FISV_IDXX_beta_win,params_FISV_IDXX_stop_loss,params_FISV_IDXX_trade_freq,params_FISV_IDXX_z_entry,params_FISV_IDXX_z_exit,params_FISV_IDXX_z_stop_scaler,params_FISV_IDXX_z_win,params_MDLZ_MSFT_beta_win,params_MDLZ_MSFT_stop_loss,params_MDLZ_MSFT_trade_freq,params_MDLZ_MSFT_z_entry,params_MDLZ_MSFT_z_exit,params_MDLZ_MSFT_z_stop_scaler,params_MDLZ_MSFT_z_win,params_ROST_WDAY_beta_win,params_ROST_WDAY_stop_loss,params_ROST_WDAY_trade_freq,params_ROST_WDAY_z_entry,params_ROST_WDAY_z_exit,params_ROST_WDAY_z_stop_scaler,params_ROST_WDAY_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.7619946427862458,2025-06-15 01:04:11.758418,2025-06-15 01:04:14.059817,0 days 00:00:02.301399,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,0.5,3,COMPLETE
1,1,-4.080290866798083,2025-06-15 01:04:14.173334,2025-06-15 01:04:16.350694,0 days 00:00:02.177360,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,0.3,3,COMPLETE
2,2,-3.9066494084283168,2025-06-15 01:04:16.463714,2025-06-15 01:04:20.483697,0 days 00:00:04.019983,670.0,0.006,4m,2.0,2.5,0.8,548.0,270,0.008,4m,1.0,1.5,0.5,50,,,,,,,,76.0,0.001,3m,2.5,2.5,0.6,388.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,0.2,9,COMPLETE
3,3,-6.408318336376769,2025-06-15 01:04:20.563193,2025-06-15 01:04:22.632349,0 days 00:00:02.069156,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,0.05,5,COMPLETE
4,4,-2.839587304502852,2025-06-15 01:04:22.716867,2025-06-15 01:04:24.924768,0 days 00:00:02.207901,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,0.2,5,COMPLETE
5,5,0.8666866798170471,2025-06-15 01:04:24.971283,2025-06-15 01:04:28.246662,0 days 00:00:03.275379,304.0,0.007,4m,1.5,1.0,1.8,648.0,430,0.001,4m,2.5,4.0,0.8,278,,,,,,,,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,0.15000000000000002,8,COMPLETE
6,6,3.4217298029953205,2025-06-15 01:04:28.312898,2025-06-15 01:04:29.947765,0 days 00:00:01.634867,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,0.45,4,COMPLETE
7,7,-2.457446210852542,2025-06-15 01:04:30.015268,2025-06-15 01:04:31.393118,0 days 00:00:01.377850,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,0.1,3,COMPLETE
8,8,-3.757132401113108,2025-06-15 01:04:31.468651,2025-06-15 01:04:34.370028,0 days 00:00:02.901377,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,0.05,7,COMPLETE
9,9,2.674360526314786,2025-06-15 01:04:34.451034,2025-06-15 01:04:38.401747,0 days 00:00:03.950713,612.0,0.004,2m,1.0,1.5,1.6,82.0,90,0.004,2m,4.0,1.5,0.9,844,432.0,0.007,4m,4.0,1.5,0.9,224.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,0.45,10,COMPLETE
