,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_AMD_SPLK_beta_win,params_AMD_SPLK_stop_loss,params_AMD_SPLK_trade_freq,params_AMD_SPLK_z_entry,params_AMD_SPLK_z_exit,params_AMD_SPLK_z_stop_scaler,params_AMD_SPLK_z_win,params_ATVI_DDOG_beta_win,params_ATVI_DDOG_stop_loss,params_ATVI_DDOG_trade_freq,params_ATVI_DDOG_z_entry,params_ATVI_DDOG_z_exit,params_ATVI_DDOG_z_stop_scaler,params_ATVI_DDOG_z_win,params_ATVI_SPLK_beta_win,params_ATVI_SPLK_stop_loss,params_ATVI_SPLK_trade_freq,params_ATVI_SPLK_z_entry,params_ATVI_SPLK_z_exit,params_ATVI_SPLK_z_stop_scaler,params_ATVI_SPLK_z_win,params_CDNS_VRSK_beta_win,params_CDNS_VRSK_stop_loss,params_CDNS_VRSK_trade_freq,params_CDNS_VRSK_z_entry,params_CDNS_VRSK_z_exit,params_CDNS_VRSK_z_stop_scaler,params_CDNS_VRSK_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_FISV_VRSK_beta_win,params_FISV_VRSK_stop_loss,params_FISV_VRSK_trade_freq,params_FISV_VRSK_z_entry,params_FISV_VRSK_z_exit,params_FISV_VRSK_z_stop_scaler,params_FISV_VRSK_z_win,params_MSFT_SPLK_beta_win,params_MSFT_SPLK_stop_loss,params_MSFT_SPLK_trade_freq,params_MSFT_SPLK_z_entry,params_MSFT_SPLK_z_exit,params_MSFT_SPLK_z_stop_scaler,params_MSFT_SPLK_z_win,params_QCOM_SPLK_beta_win,params_QCOM_SPLK_stop_loss,params_QCOM_SPLK_trade_freq,params_QCOM_SPLK_z_entry,params_QCOM_SPLK_z_exit,params_QCOM_SPLK_z_stop_scaler,params_QCOM_SPLK_z_win,params_SPLK_SWKS_beta_win,params_SPLK_SWKS_stop_loss,params_SPLK_SWKS_trade_freq,params_SPLK_SWKS_z_entry,params_SPLK_SWKS_z_exit,params_SPLK_SWKS_z_stop_scaler,params_SPLK_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.552565859016848,2025-06-15 01:04:54.895358,2025-06-15 01:04:56.342604,0 days 00:00:01.447246,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-0.5695470406919937,2025-06-15 01:04:56.449626,2025-06-15 01:04:57.896872,0 days 00:00:01.447246,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,2.736208471062492,2025-06-15 01:04:57.961878,2025-06-15 01:05:01.883755,0 days 00:00:03.921877,270,0.008,4m,1.0,1.5,0.5,50,920.0,0.003,3m,2.5,1.0,1.3,360.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,,,,,,,,0.2,9,COMPLETE
3,3,-4.80717265145853,2025-06-15 01:05:01.957758,2025-06-15 01:05:04.290004,0 days 00:00:02.332246,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,0.05,5,COMPLETE
4,4,-6.814545807641305,2025-06-15 01:05:04.362510,2025-06-15 01:05:06.609429,0 days 00:00:02.246919,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,0.2,5,COMPLETE
5,5,-0.35694603261385427,2025-06-15 01:05:06.701951,2025-06-15 01:05:10.147594,0 days 00:00:03.445643,430,0.001,4m,2.5,4.0,0.8,278,974.0,0.008,4m,3.0,4.0,1.8,922.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,,,,,,,,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,0.15000000000000002,8,COMPLETE
6,6,-2.0702312570423436,2025-06-15 01:05:10.214862,2025-06-15 01:05:12.121372,0 days 00:00:01.906510,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-6.581629618997296,2025-06-15 01:05:12.190882,2025-06-15 01:05:13.480664,0 days 00:00:01.289782,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,1.7042607643196113,2025-06-15 01:05:13.551665,2025-06-15 01:05:16.815515,0 days 00:00:03.263850,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,338.0,0.005,2m,1.5,3.0,1.4,492.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,0.05,7,COMPLETE
9,9,-4.1189667103259415,2025-06-15 01:05:16.889541,2025-06-15 01:05:21.295507,0 days 00:00:04.405966,90,0.004,2m,4.0,1.5,0.9,844,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,0.45,10,COMPLETE
