,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_AEP_PANW_beta_win,params_AEP_PANW_stop_loss,params_AEP_PANW_trade_freq,params_AEP_PANW_z_entry,params_AEP_PANW_z_exit,params_AEP_PANW_z_stop_scaler,params_AEP_PANW_z_win,params_AMGN_ZS_beta_win,params_AMGN_ZS_stop_loss,params_AMGN_ZS_trade_freq,params_AMGN_ZS_z_entry,params_AMGN_ZS_z_exit,params_AMGN_ZS_z_stop_scaler,params_AMGN_ZS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_BKNG_EA_beta_win,params_BKNG_EA_stop_loss,params_BKNG_EA_trade_freq,params_BKNG_EA_z_entry,params_BKNG_EA_z_exit,params_BKNG_EA_z_stop_scaler,params_BKNG_EA_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FISV_WDAY_beta_win,params_FISV_WDAY_stop_loss,params_FISV_WDAY_trade_freq,params_FISV_WDAY_z_entry,params_FISV_WDAY_z_exit,params_FISV_WDAY_z_stop_scaler,params_FISV_WDAY_z_win,params_ORLY_VRTX_beta_win,params_ORLY_VRTX_stop_loss,params_ORLY_VRTX_trade_freq,params_ORLY_VRTX_z_entry,params_ORLY_VRTX_z_exit,params_ORLY_VRTX_z_stop_scaler,params_ORLY_VRTX_z_win,params_TEAM_ZS_beta_win,params_TEAM_ZS_stop_loss,params_TEAM_ZS_trade_freq,params_TEAM_ZS_z_entry,params_TEAM_ZS_z_exit,params_TEAM_ZS_z_stop_scaler,params_TEAM_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.10922956134114793,2025-06-15 01:07:55.976379,2025-06-15 01:07:57.158724,0 days 00:00:01.182345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,0.5,3,COMPLETE
1,1,6.765141839234156,2025-06-15 01:07:57.246775,2025-06-15 01:07:58.448380,0 days 00:00:01.201605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,0.3,3,COMPLETE
2,2,-1.8825989813624189,2025-06-15 01:07:58.509448,2025-06-15 01:08:01.618037,0 days 00:00:03.108589,76.0,0.001,3m,2.5,2.5,0.6,388.0,,,,,,,,110.0,0.003,4m,1.0,4.0,1.6,146.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,270,0.008,4m,1.0,1.5,0.5,50,920.0,0.003,3m,2.5,1.0,1.3,360.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,0.2,9,COMPLETE
3,3,-2.1997717581367593,2025-06-15 01:08:01.688116,2025-06-15 01:08:03.593279,0 days 00:00:01.905163,,,,,,,,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,0.05,5,COMPLETE
4,4,2.515936137211305,2025-06-15 01:08:03.665320,2025-06-15 01:08:05.290963,0 days 00:00:01.625643,,,,,,,,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,0.2,5,COMPLETE
5,5,-3.2791071936231235,2025-06-15 01:08:05.368140,2025-06-15 01:08:08.314562,0 days 00:00:02.946422,,,,,,,,,,,,,,,32.0,0.006,1m,3.0,3.5,1.5,220.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,430,0.001,4m,2.5,4.0,0.8,278,974.0,0.008,4m,3.0,4.0,1.8,922.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,0.15000000000000002,8,COMPLETE
6,6,2.1995658262217392,2025-06-15 01:08:08.368810,2025-06-15 01:08:09.849286,0 days 00:00:01.480476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,0.45,4,COMPLETE
7,7,4.308617908139845,2025-06-15 01:08:09.912206,2025-06-15 01:08:11.026028,0 days 00:00:01.113822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,0.1,3,COMPLETE
8,8,5.291264978331471,2025-06-15 01:08:11.085364,2025-06-15 01:08:13.853390,0 days 00:00:02.768026,,,,,,,,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,338.0,0.005,2m,1.5,3.0,1.4,492.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,0.05,7,COMPLETE
9,9,2.827335480858816,2025-06-15 01:08:13.935874,2025-06-15 01:08:20.775212,0 days 00:00:06.839338,678.0,0.01,4m,4.0,4.0,2.0,420.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,90,0.004,2m,4.0,1.5,0.9,844,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,0.45,10,COMPLETE
10,10,-100.0,2025-06-15 01:08:20.883225,2025-06-15 01:08:21.579130,0 days 00:00:00.695905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,0.24553251991795857,2025-06-15 01:08:21.641888,2025-06-15 01:08:24.468099,0 days 00:00:02.826211,,,,,,,,,,,,,,,704.0,0.01,4m,1.5,1.0,0.9,768.0,106.0,0.01,3m,4.0,4.0,1.0,926.0,344.0,0.001,1m,2.5,1.0,2.0,968.0,430.0,0.001,3m,3.0,3.0,1.3,992.0,68,0.01,3m,3.0,3.0,1.6,90,46.0,0.001,2m,1.0,2.5,0.5,76.0,32.0,0.003,3m,3.5,2.5,1.5,32.0,,,,,,,,0.3,7,COMPLETE
12,12,3.9854806875104325,2025-06-15 01:08:24.512290,2025-06-15 01:08:27.320228,0 days 00:00:02.807938,,,,,,,,,,,,,,,442.0,0.009000000000000001,4m,2.0,2.0,1.3,34.0,1022.0,0.001,1m,3.0,3.5,0.5,172.0,348.0,0.001,1m,3.0,1.5,2.0,1010.0,64.0,0.007,1m,3.0,4.0,1.6,736.0,178,0.006,2m,3.5,3.0,1.6,244,364.0,0.005,2m,2.0,2.5,0.9,474.0,312.0,0.004,2m,3.5,4.0,0.9,598.0,,,,,,,,0.35000000000000003,7,COMPLETE
13,13,-0.509577810504068,2025-06-15 01:08:27.392530,2025-06-15 01:08:27.917917,0 days 00:00:00.525387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,0.007,2m,3.0,2.5,1.1,454,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
14,14,1.8920483028578567,2025-06-15 01:08:27.962107,2025-06-15 01:08:30.408908,0 days 00:00:02.446801,,,,,,,,,,,,,,,650.0,0.008,2m,4.0,2.0,0.6,644.0,,,,,,,,36.0,0.005,1m,2.0,2.0,1.1,892.0,648.0,0.003,3m,1.0,2.5,1.0,542.0,448,0.01,3m,3.5,3.0,1.6,170,130.0,0.01,1m,4.0,1.5,1.3,188.0,308.0,0.005,4m,1.5,2.5,1.6,246.0,,,,,,,,0.05,6,COMPLETE
15,15,1.016306295939824,2025-06-15 01:08:30.486871,2025-06-15 01:08:31.877417,0 days 00:00:01.390546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,0.003,2m,4.0,3.5,1.8,828.0,,,,,,,,188,0.004,2m,2.5,4.0,1.1,380,,,,,,,,540.0,0.002,3m,3.0,3.0,1.9000000000000001,636.0,,,,,,,,0.35000000000000003,3,COMPLETE
