,number,value,datetime_start,datetime_complete,duration,params_ALGN_VRTX_beta_win,params_ALGN_VRTX_stop_loss,params_ALGN_VRTX_trade_freq,params_ALGN_VRTX_z_entry,params_ALGN_VRTX_z_exit,params_ALGN_VRTX_z_stop_scaler,params_ALGN_VRTX_z_win,params_AMGN_VRTX_beta_win,params_AMGN_VRTX_stop_loss,params_AMGN_VRTX_trade_freq,params_AMGN_VRTX_z_entry,params_AMGN_VRTX_z_exit,params_AMGN_VRTX_z_stop_scaler,params_AMGN_VRTX_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_FANG_VRTX_beta_win,params_FANG_VRTX_stop_loss,params_FANG_VRTX_trade_freq,params_FANG_VRTX_z_entry,params_FANG_VRTX_z_exit,params_FANG_VRTX_z_stop_scaler,params_FANG_VRTX_z_win,params_HON_PEP_beta_win,params_HON_PEP_stop_loss,params_HON_PEP_trade_freq,params_HON_PEP_z_entry,params_HON_PEP_z_exit,params_HON_PEP_z_stop_scaler,params_HON_PEP_z_win,params_META_VRTX_beta_win,params_META_VRTX_stop_loss,params_META_VRTX_trade_freq,params_META_VRTX_z_entry,params_META_VRTX_z_exit,params_META_VRTX_z_stop_scaler,params_META_VRTX_z_win,params_PCAR_VRTX_beta_win,params_PCAR_VRTX_stop_loss,params_PCAR_VRTX_trade_freq,params_PCAR_VRTX_z_entry,params_PCAR_VRTX_z_exit,params_PCAR_VRTX_z_stop_scaler,params_PCAR_VRTX_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_SGEN_VRTX_beta_win,params_SGEN_VRTX_stop_loss,params_SGEN_VRTX_trade_freq,params_SGEN_VRTX_z_entry,params_SGEN_VRTX_z_exit,params_SGEN_VRTX_z_stop_scaler,params_SGEN_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,5.5019173002720265,2025-06-15 01:08:55.718779,2025-06-15 01:08:57.077726,0 days 00:00:01.358947,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,0.5,3,COMPLETE
1,1,-1.8820817626248059,2025-06-15 01:08:57.142421,2025-06-15 01:08:58.351134,0 days 00:00:01.208713,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,0.3,3,COMPLETE
2,2,1.2033892706960696,2025-06-15 01:08:58.414795,2025-06-15 01:09:02.068611,0 days 00:00:03.653816,920.0,0.003,3m,2.5,1.0,1.3,360.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,,,,,,,,572.0,0.008,4m,1.5,3.5,2.0,386.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,270,0.008,4m,1.0,1.5,0.5,50,110.0,0.003,4m,1.0,4.0,1.6,146.0,0.2,9,COMPLETE
3,3,2.682868933820719,2025-06-15 01:09:02.131621,2025-06-15 01:09:04.251763,0 days 00:00:02.120142,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,434.0,0.006,3m,2.5,3.5,0.7,974.0,0.05,5,COMPLETE
4,4,0.96237323990051,2025-06-15 01:09:04.320444,2025-06-15 01:09:06.198176,0 days 00:00:01.877732,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,886.0,0.003,3m,3.5,2.5,1.1,452.0,0.2,5,COMPLETE
5,5,4.137606823582711,2025-06-15 01:09:06.270662,2025-06-15 01:09:09.381057,0 days 00:00:03.110395,974.0,0.008,4m,3.0,4.0,1.8,922.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,,,,,,,,804.0,0.008,1m,2.5,3.5,0.6,550.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,32.0,0.006,1m,3.0,3.5,1.5,220.0,0.15000000000000002,8,COMPLETE
6,6,2.798786571397859,2025-06-15 01:09:09.435908,2025-06-15 01:09:11.009315,0 days 00:00:01.573407,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,0.45,4,COMPLETE
7,7,-3.29369286496908,2025-06-15 01:09:11.081850,2025-06-15 01:09:12.405102,0 days 00:00:01.323252,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,0.1,3,COMPLETE
8,8,4.351583947361825,2025-06-15 01:09:12.475738,2025-06-15 01:09:15.252668,0 days 00:00:02.776930,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,0.05,7,COMPLETE
9,9,3.717944043447573,2025-06-15 01:09:15.303669,2025-06-15 01:09:19.153445,0 days 00:00:03.849776,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,90,0.004,2m,4.0,1.5,0.9,844,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,0.45,10,COMPLETE
10,10,-100.0,2025-06-15 01:09:19.250296,2025-06-15 01:09:19.827168,0 days 00:00:00.576872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,0.006,3m,3.0,2.5,1.5,998,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,2.5511964136103304,2025-06-15 01:09:19.890909,2025-06-15 01:09:22.950610,0 days 00:00:03.059701,46.0,0.001,2m,1.0,2.5,0.5,76.0,,,,,,,,414.0,0.001,2m,1.0,1.0,1.2000000000000002,326.0,,,,,,,,32.0,0.002,1m,3.5,2.0,1.5,32.0,430.0,0.001,3m,3.0,3.0,1.3,992.0,106.0,0.01,3m,4.0,4.0,1.0,926.0,,,,,,,,68,0.01,3m,3.0,3.0,1.2000000000000002,130,704.0,0.01,4m,1.5,1.0,0.9,768.0,0.5,7,COMPLETE
12,12,3.7336952084760457,2025-06-15 01:09:23.022670,2025-06-15 01:09:26.078803,0 days 00:00:03.056133,364.0,0.005,2m,2.0,2.5,0.9,474.0,,,,,,,,430.0,0.001,3m,2.0,1.5,1.2000000000000002,904.0,,,,,,,,312.0,0.002,2m,3.5,2.0,0.5,298.0,64.0,0.007,1m,3.0,4.0,1.6,736.0,1022.0,0.001,1m,3.0,3.5,0.5,172.0,,,,,,,,164,0.006,3m,3.0,3.0,1.5,486,442.0,0.009000000000000001,4m,2.0,2.0,1.3,34.0,0.35000000000000003,7,COMPLETE
13,13,-100.0,2025-06-15 01:09:26.145566,2025-06-15 01:09:26.660341,0 days 00:00:00.514775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,0.007,3m,3.5,3.0,1.1,504,,,,,,,,0.25,1,COMPLETE
14,14,-0.8199582436671292,2025-06-15 01:09:26.723315,2025-06-15 01:09:29.338782,0 days 00:00:02.615467,130.0,0.01,1m,4.0,1.5,1.3,188.0,,,,,,,,226.0,0.003,1m,1.0,2.0,1.4,396.0,,,,,,,,308.0,0.004,4m,1.5,1.0,1.8,424.0,648.0,0.003,3m,1.0,2.5,1.0,542.0,,,,,,,,,,,,,,,462,0.01,3m,3.5,2.0,1.6,206,650.0,0.008,2m,4.0,2.0,0.6,644.0,0.05,6,COMPLETE
15,15,1.3450273302941598,2025-06-15 01:09:29.418129,2025-06-15 01:09:30.891326,0 days 00:00:01.473197,,,,,,,,,,,,,,,1018.0,0.003,2m,4.0,3.5,1.0,828.0,,,,,,,,540.0,0.004,1m,3.0,2.5,1.4,124.0,,,,,,,,,,,,,,,,,,,,,,188,0.004,3m,2.5,4.0,1.0,450,,,,,,,,0.4,3,COMPLETE
16,16,4.735956122536506,2025-06-15 01:09:30.968290,2025-06-15 01:09:33.981735,0 days 00:00:03.013445,658.0,0.004,2m,2.0,3.0,1.0,668.0,,,,,,,,568.0,0.002,3m,2.0,3.5,0.5,1016.0,,,,,,,,194.0,0.001,2m,2.0,4.0,0.8,598.0,300.0,0.008,1m,3.5,2.5,1.7000000000000002,792.0,422.0,0.009000000000000001,3m,3.0,2.5,1.4,1022.0,,,,,,,,382,0.007,3m,3.5,2.0,1.3,26,1002.0,0.001,1m,2.0,1.5,2.0,436.0,0.5,7,COMPLETE
17,17,-0.2644752372344658,2025-06-15 01:09:34.040030,2025-06-15 01:09:34.915283,0 days 00:00:00.875253,,,,,,,,,,,,,,,698.0,0.004,3m,1.5,3.5,0.5,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,0.007,2m,3.5,2.0,1.7000000000000002,930,,,,,,,,0.5,2,COMPLETE
18,18,4.614671857035907,2025-06-15 01:09:34.982602,2025-06-15 01:09:36.772067,0 days 00:00:01.789465,,,,,,,,,,,,,,,530.0,0.003,3m,2.0,3.0,1.0,418.0,,,,,,,,684.0,0.001,2m,2.0,4.0,0.8,660.0,424.0,0.008,1m,4.0,1.0,1.1,722.0,,,,,,,,,,,,,,,440,0.001,1m,3.5,1.0,1.4,612,,,,,,,,0.45,4,COMPLETE
19,19,0.7500028991648593,2025-06-15 01:09:36.836600,2025-06-15 01:09:39.560792,0 days 00:00:02.724192,676.0,0.001,1m,3.5,2.0,0.8,740.0,,,,,,,,850.0,0.005,3m,2.0,2.0,1.4,692.0,,,,,,,,436.0,0.004,1m,2.0,4.0,0.7,642.0,800.0,0.002,3m,3.5,2.5,2.0,382.0,,,,,,,,,,,,,,,824,0.005,3m,2.0,2.0,1.7000000000000002,388,1006.0,0.001,1m,1.0,2.5,2.0,530.0,0.4,6,COMPLETE
20,20,7.217538296240908,2025-06-15 01:09:39.604841,2025-06-15 01:09:45.883368,0 days 00:00:06.278527,634.0,0.003,3m,2.0,4.0,0.9,744.0,38.0,0.01,3m,4.0,4.0,1.9000000000000001,28.0,662.0,0.002,3m,1.0,3.5,0.5,1016.0,,,,,,,,176.0,0.001,4m,2.0,2.0,0.9,248.0,294.0,0.008,2m,2.0,2.0,1.5,688.0,880.0,0.01,3m,3.5,2.0,1.5,1022.0,,,,,,,,354,0.007,3m,4.0,2.5,1.3,204,290.0,0.001,1m,2.0,1.5,1.7000000000000002,778.0,0.5,8,COMPLETE
21,21,12.000676560519521,2025-06-15 01:09:45.997848,2025-06-15 01:09:50.633853,0 days 00:00:04.636005,712.0,0.003,3m,2.5,4.0,0.9,744.0,16.0,0.01,3m,4.0,4.0,2.0,18.0,668.0,0.002,3m,1.0,3.5,0.5,1004.0,,,,,,,,186.0,0.001,4m,2.0,2.0,0.9,224.0,282.0,0.008,2m,1.5,2.0,1.5,686.0,922.0,0.01,3m,3.5,2.0,1.5,1000.0,1004.0,0.005,2m,1.0,1.0,1.5,994.0,356,0.007,3m,4.0,2.5,1.4,180,286.0,0.001,1m,2.0,1.5,1.7000000000000002,856.0,0.5,9,COMPLETE
22,22,7.293813381733221,2025-06-15 01:09:50.721705,2025-06-15 01:09:54.949668,0 days 00:00:04.227963,726.0,0.003,3m,2.5,4.0,0.6,912.0,28.0,0.01,3m,4.0,4.0,2.0,32.0,704.0,0.002,3m,1.0,3.5,0.6,998.0,970.0,0.001,1m,1.0,4.0,1.8,942.0,174.0,0.003,4m,1.5,2.0,1.0,210.0,262.0,0.008,2m,1.5,2.0,1.4,620.0,968.0,0.01,3m,4.0,2.0,2.0,842.0,990.0,0.005,2m,1.0,1.0,1.5,1006.0,332,0.008,3m,4.0,2.5,1.4,180,272.0,0.003,1m,2.5,1.5,1.7000000000000002,912.0,0.4,10,COMPLETE
23,23,7.598353863660659,2025-06-15 01:09:55.034469,2025-06-15 01:09:59.317546,0 days 00:00:04.283077,734.0,0.003,3m,2.5,4.0,0.6,1020.0,34.0,0.01,3m,4.0,4.0,2.0,38.0,702.0,0.002,3m,1.0,3.5,0.6,994.0,1002.0,0.001,1m,1.0,4.0,2.0,1004.0,184.0,0.003,4m,1.5,1.5,1.0,190.0,266.0,0.008,2m,1.5,2.0,1.4,644.0,976.0,0.01,3m,4.0,2.0,2.0,858.0,1012.0,0.005,2m,1.0,1.0,1.5,1000.0,518,0.005,3m,4.0,2.5,1.5,188,272.0,0.003,1m,2.5,1.5,1.7000000000000002,934.0,0.4,10,COMPLETE
24,24,5.240498290789694,2025-06-15 01:09:59.380597,2025-06-15 01:10:03.646890,0 days 00:00:04.266293,780.0,0.002,3m,3.0,4.0,0.5,966.0,28.0,0.01,3m,4.0,4.0,2.0,16.0,780.0,0.002,3m,1.5,4.0,0.7,818.0,1024.0,0.001,1m,1.0,4.0,2.0,998.0,228.0,0.003,4m,1.0,1.0,1.1,160.0,200.0,0.006,2m,1.0,2.0,1.4,458.0,890.0,0.008,3m,4.0,2.0,2.0,784.0,1018.0,0.005,2m,1.0,1.0,1.5,976.0,508,0.005,3m,4.0,3.5,1.5,168,232.0,0.003,1m,2.5,2.0,1.7000000000000002,992.0,0.4,10,COMPLETE
