,number,value,datetime_start,datetime_complete,duration,params_AAPL_ZM_beta_win,params_AAPL_ZM_stop_loss,params_AAPL_ZM_trade_freq,params_AAPL_ZM_z_entry,params_AAPL_ZM_z_exit,params_AAPL_ZM_z_stop_scaler,params_AAPL_ZM_z_win,params_ANSS_NXPI_beta_win,params_ANSS_NXPI_stop_loss,params_ANSS_NXPI_trade_freq,params_ANSS_NXPI_z_entry,params_ANSS_NXPI_z_exit,params_ANSS_NXPI_z_stop_scaler,params_ANSS_NXPI_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_COST_ZM_beta_win,params_COST_ZM_stop_loss,params_COST_ZM_trade_freq,params_COST_ZM_z_entry,params_COST_ZM_z_exit,params_COST_ZM_z_stop_scaler,params_COST_ZM_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_EA_ILMN_beta_win,params_EA_ILMN_stop_loss,params_EA_ILMN_trade_freq,params_EA_ILMN_z_entry,params_EA_ILMN_z_exit,params_EA_ILMN_z_stop_scaler,params_EA_ILMN_z_win,params_EBAY_NXPI_beta_win,params_EBAY_NXPI_stop_loss,params_EBAY_NXPI_trade_freq,params_EBAY_NXPI_z_entry,params_EBAY_NXPI_z_exit,params_EBAY_NXPI_z_stop_scaler,params_EBAY_NXPI_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_SIRI_ZM_beta_win,params_SIRI_ZM_stop_loss,params_SIRI_ZM_trade_freq,params_SIRI_ZM_z_entry,params_SIRI_ZM_z_exit,params_SIRI_ZM_z_stop_scaler,params_SIRI_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-5.0031266064143445,2025-06-15 01:10:22.476125,2025-06-15 01:10:23.673506,0 days 00:00:01.197381,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,0.5,3,COMPLETE
1,1,2.769096145121713,2025-06-15 01:10:23.745199,2025-06-15 01:10:25.025488,0 days 00:00:01.280289,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,0.3,3,COMPLETE
2,2,-0.0007476197792031477,2025-06-15 01:10:25.101858,2025-06-15 01:10:28.388900,0 days 00:00:03.287042,670.0,0.006,4m,2.0,2.5,0.8,548.0,270,0.008,4m,1.0,1.5,0.5,50,110.0,0.003,4m,1.0,4.0,1.6,146.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,,,,,,,,0.2,9,COMPLETE
3,3,-1.891965010560321,2025-06-15 01:10:28.439439,2025-06-15 01:10:30.494092,0 days 00:00:02.054653,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,0.05,5,COMPLETE
4,4,2.7096165555676617,2025-06-15 01:10:30.534251,2025-06-15 01:10:32.367221,0 days 00:00:01.832970,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,0.2,5,COMPLETE
5,5,-1.6632397828851704,2025-06-15 01:10:32.440936,2025-06-15 01:10:35.388435,0 days 00:00:02.947499,304.0,0.007,4m,1.5,1.0,1.8,648.0,430,0.001,4m,2.5,4.0,0.8,278,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,,,,,,,,0.15000000000000002,8,COMPLETE
6,6,-0.29176273128003993,2025-06-15 01:10:35.445799,2025-06-15 01:10:37.100681,0 days 00:00:01.654882,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,0.45,4,COMPLETE
7,7,-2.980612101990563,2025-06-15 01:10:37.154900,2025-06-15 01:10:38.391737,0 days 00:00:01.236837,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,0.1,3,COMPLETE
8,8,-0.916629527931129,2025-06-15 01:10:38.454568,2025-06-15 01:10:41.007778,0 days 00:00:02.553210,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,0.05,7,COMPLETE
9,9,-2.1840551565474415,2025-06-15 01:10:41.092192,2025-06-15 01:10:46.390313,0 days 00:00:05.298121,612.0,0.004,2m,1.0,1.5,1.6,82.0,90,0.004,2m,4.0,1.5,0.9,844,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,0.45,10,COMPLETE
10,10,-100.0,2025-06-15 01:10:46.483124,2025-06-15 01:10:47.389274,0 days 00:00:00.906150,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
