,number,value,datetime_start,datetime_complete,duration,params_AMD_INTC_beta_win,params_AMD_INTC_stop_loss,params_AMD_INTC_trade_freq,params_AMD_INTC_z_entry,params_AMD_INTC_z_exit,params_AMD_INTC_z_stop_scaler,params_AMD_INTC_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_CHTR_INTC_beta_win,params_CHTR_INTC_stop_loss,params_CHTR_INTC_trade_freq,params_CHTR_INTC_z_entry,params_CHTR_INTC_z_exit,params_CHTR_INTC_z_stop_scaler,params_CHTR_INTC_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CSX_INTC_beta_win,params_CSX_INTC_stop_loss,params_CSX_INTC_trade_freq,params_CSX_INTC_z_entry,params_CSX_INTC_z_exit,params_CSX_INTC_z_stop_scaler,params_CSX_INTC_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FAST_INTC_beta_win,params_FAST_INTC_stop_loss,params_FAST_INTC_trade_freq,params_FAST_INTC_z_entry,params_FAST_INTC_z_exit,params_FAST_INTC_z_stop_scaler,params_FAST_INTC_z_win,params_GFS_INTC_beta_win,params_GFS_INTC_stop_loss,params_GFS_INTC_trade_freq,params_GFS_INTC_z_entry,params_GFS_INTC_z_exit,params_GFS_INTC_z_stop_scaler,params_GFS_INTC_z_win,params_INTC_PAYX_beta_win,params_INTC_PAYX_stop_loss,params_INTC_PAYX_trade_freq,params_INTC_PAYX_z_entry,params_INTC_PAYX_z_exit,params_INTC_PAYX_z_stop_scaler,params_INTC_PAYX_z_win,params_INTC_VRSK_beta_win,params_INTC_VRSK_stop_loss,params_INTC_VRSK_trade_freq,params_INTC_VRSK_z_entry,params_INTC_VRSK_z_exit,params_INTC_VRSK_z_stop_scaler,params_INTC_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,2.475883473788432,2025-06-15 01:11:28.993896,2025-06-15 01:11:30.304080,0 days 00:00:01.310184,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,0.5,3,COMPLETE
1,1,-1.2822389757162753,2025-06-15 01:11:30.371699,2025-06-15 01:11:31.748974,0 days 00:00:01.377275,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,0.3,3,COMPLETE
2,2,1.5833600087006736,2025-06-15 01:11:31.810321,2025-06-15 01:11:35.219383,0 days 00:00:03.409062,110.0,0.003,4m,1.0,4.0,1.6,146.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,,,,,,,,270,0.008,4m,1.0,1.5,0.5,50,76.0,0.001,3m,2.5,2.5,0.6,388.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,0.2,9,COMPLETE
3,3,4.2004827759631995,2025-06-15 01:11:35.285449,2025-06-15 01:11:37.394912,0 days 00:00:02.109463,434.0,0.006,3m,2.5,3.5,0.7,974.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,0.05,5,COMPLETE
4,4,-2.7662953087615807,2025-06-15 01:11:37.454056,2025-06-15 01:11:39.406434,0 days 00:00:01.952378,886.0,0.003,3m,3.5,2.5,1.1,452.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,0.2,5,COMPLETE
5,5,-1.2560569145471403,2025-06-15 01:11:39.475210,2025-06-15 01:11:42.701919,0 days 00:00:03.226709,32.0,0.006,1m,3.0,3.5,1.5,220.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,,,,,,,,370.0,0.007,1m,2.0,1.0,1.4,490.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,0.15000000000000002,8,COMPLETE
6,6,-0.9520173487761138,2025-06-15 01:11:42.731675,2025-06-15 01:11:44.413052,0 days 00:00:01.681377,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,0.45,4,COMPLETE
7,7,1.9987591368862148,2025-06-15 01:11:44.483525,2025-06-15 01:11:45.716557,0 days 00:00:01.233032,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,0.1,3,COMPLETE
8,8,1.625667041896211,2025-06-15 01:11:45.788760,2025-06-15 01:11:48.563843,0 days 00:00:02.775083,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,0.05,7,COMPLETE
9,9,0.44711596423405375,2025-06-15 01:11:48.626678,2025-06-15 01:11:52.506094,0 days 00:00:03.879416,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,90,0.004,2m,4.0,1.5,0.9,844,678.0,0.01,4m,4.0,4.0,2.0,420.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,0.45,10,COMPLETE
