,number,value,datetime_start,datetime_complete,duration,params_AVGO_ZM_beta_win,params_AVGO_ZM_stop_loss,params_AVGO_ZM_trade_freq,params_AVGO_ZM_z_entry,params_AVGO_ZM_z_exit,params_AVGO_ZM_z_stop_scaler,params_AVGO_ZM_z_win,params_AZN_ZM_beta_win,params_AZN_ZM_stop_loss,params_AZN_ZM_trade_freq,params_AZN_ZM_z_entry,params_AZN_ZM_z_exit,params_AZN_ZM_z_stop_scaler,params_AZN_ZM_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_ILMN_ZM_beta_win,params_ILMN_ZM_stop_loss,params_ILMN_ZM_trade_freq,params_ILMN_ZM_z_entry,params_ILMN_ZM_z_exit,params_ILMN_ZM_z_stop_scaler,params_ILMN_ZM_z_win,params_KHC_ZM_beta_win,params_KHC_ZM_stop_loss,params_KHC_ZM_trade_freq,params_KHC_ZM_z_entry,params_KHC_ZM_z_exit,params_KHC_ZM_z_stop_scaler,params_KHC_ZM_z_win,params_KLAC_ZM_beta_win,params_KLAC_ZM_stop_loss,params_KLAC_ZM_trade_freq,params_KLAC_ZM_z_entry,params_KLAC_ZM_z_exit,params_KLAC_ZM_z_stop_scaler,params_KLAC_ZM_z_win,params_MDLZ_ZM_beta_win,params_MDLZ_ZM_stop_loss,params_MDLZ_ZM_trade_freq,params_MDLZ_ZM_z_entry,params_MDLZ_ZM_z_exit,params_MDLZ_ZM_z_stop_scaler,params_MDLZ_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_ROST_ZM_beta_win,params_ROST_ZM_stop_loss,params_ROST_ZM_trade_freq,params_ROST_ZM_z_entry,params_ROST_ZM_z_exit,params_ROST_ZM_z_stop_scaler,params_ROST_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-2.1809847796857342,2025-06-15 01:13:26.647268,2025-06-15 01:13:28.410464,0 days 00:00:01.763196,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,0.5,3,COMPLETE
1,1,-0.3127223229272647,2025-06-15 01:13:28.500051,2025-06-15 01:13:29.969966,0 days 00:00:01.469915,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,0.3,3,COMPLETE
2,2,-0.9472228471084654,2025-06-15 01:13:30.052600,2025-06-15 01:13:33.920350,0 days 00:00:03.867750,572.0,0.008,4m,1.5,3.5,2.0,386.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,270,0.008,4m,1.0,1.5,0.5,50,920.0,0.003,3m,2.5,1.0,1.3,360.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,,,,,,,,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,0.2,9,COMPLETE
3,3,-4.1503394150666875,2025-06-15 01:13:33.999599,2025-06-15 01:13:36.147268,0 days 00:00:02.147669,352.0,0.007,2m,1.0,3.5,1.3,856.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,0.05,5,COMPLETE
4,4,0.06001123562465683,2025-06-15 01:13:36.212106,2025-06-15 01:13:38.502383,0 days 00:00:02.290277,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,0.2,5,COMPLETE
5,5,3.48159838346043,2025-06-15 01:13:38.579935,2025-06-15 01:13:42.031738,0 days 00:00:03.451803,804.0,0.008,1m,2.5,3.5,0.6,550.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,430,0.001,4m,2.5,4.0,0.8,278,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,304.0,0.007,4m,1.5,1.0,1.8,648.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,,,,,,,,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,0.15000000000000002,8,COMPLETE
6,6,3.6094877417841027,2025-06-15 01:13:42.115106,2025-06-15 01:13:43.882608,0 days 00:00:01.767502,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,0.45,4,COMPLETE
7,7,-1.9866786530578282,2025-06-15 01:13:43.930901,2025-06-15 01:13:45.265581,0 days 00:00:01.334680,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,0.1,3,COMPLETE
8,8,2.4072120568366895,2025-06-15 01:13:45.341328,2025-06-15 01:13:48.293990,0 days 00:00:02.952662,150.0,0.002,2m,4.0,3.0,1.4,444.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,0.05,7,COMPLETE
9,9,0.4211231592850482,2025-06-15 01:13:48.358998,2025-06-15 01:13:52.640374,0 days 00:00:04.281376,1010.0,0.007,3m,4.0,1.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,90,0.004,2m,4.0,1.5,0.9,844,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,0.45,10,COMPLETE
