,number,value,datetime_start,datetime_complete,duration,params_ABNB_INTU_beta_win,params_ABNB_INTU_stop_loss,params_ABNB_INTU_trade_freq,params_ABNB_INTU_z_entry,params_ABNB_INTU_z_exit,params_ABNB_INTU_z_stop_scaler,params_ABNB_INTU_z_win,params_ADBE_ASML_beta_win,params_ADBE_ASML_stop_loss,params_ADBE_ASML_trade_freq,params_ADBE_ASML_z_entry,params_ADBE_ASML_z_exit,params_ADBE_ASML_z_stop_scaler,params_ADBE_ASML_z_win,params_ADBE_NFLX_beta_win,params_ADBE_NFLX_stop_loss,params_ADBE_NFLX_trade_freq,params_ADBE_NFLX_z_entry,params_ADBE_NFLX_z_exit,params_ADBE_NFLX_z_stop_scaler,params_ADBE_NFLX_z_win,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_ALGN_INTU_beta_win,params_ALGN_INTU_stop_loss,params_ALGN_INTU_trade_freq,params_ALGN_INTU_z_entry,params_ALGN_INTU_z_exit,params_ALGN_INTU_z_stop_scaler,params_ALGN_INTU_z_win,params_AMGN_INTU_beta_win,params_AMGN_INTU_stop_loss,params_AMGN_INTU_trade_freq,params_AMGN_INTU_z_entry,params_AMGN_INTU_z_exit,params_AMGN_INTU_z_stop_scaler,params_AMGN_INTU_z_win,params_CTAS_GILD_beta_win,params_CTAS_GILD_stop_loss,params_CTAS_GILD_trade_freq,params_CTAS_GILD_z_entry,params_CTAS_GILD_z_exit,params_CTAS_GILD_z_stop_scaler,params_CTAS_GILD_z_win,params_CTAS_TEAM_beta_win,params_CTAS_TEAM_stop_loss,params_CTAS_TEAM_trade_freq,params_CTAS_TEAM_z_entry,params_CTAS_TEAM_z_exit,params_CTAS_TEAM_z_stop_scaler,params_CTAS_TEAM_z_win,params_EA_INTU_beta_win,params_EA_INTU_stop_loss,params_EA_INTU_trade_freq,params_EA_INTU_z_entry,params_EA_INTU_z_exit,params_EA_INTU_z_stop_scaler,params_EA_INTU_z_win,params_FTNT_INTU_beta_win,params_FTNT_INTU_stop_loss,params_FTNT_INTU_trade_freq,params_FTNT_INTU_z_entry,params_FTNT_INTU_z_exit,params_FTNT_INTU_z_stop_scaler,params_FTNT_INTU_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,2.011713382111924,2025-06-15 01:14:56.004155,2025-06-15 01:14:57.285058,0 days 00:00:01.280903,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-4.784633575438891,2025-06-15 01:14:57.362502,2025-06-15 01:14:58.813045,0 days 00:00:01.450543,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-4.59667846820445,2025-06-15 01:14:58.894588,2025-06-15 01:15:02.793911,0 days 00:00:03.899323,572.0,0.008,4m,1.5,3.5,2.0,386.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,270,0.008,4m,1.0,1.5,0.5,50,920.0,0.003,3m,2.5,1.0,1.3,360.0,,,,,,,,76.0,0.001,3m,2.5,2.5,0.6,388.0,0.2,9,COMPLETE
3,3,3.125225719261132,2025-06-15 01:15:02.874606,2025-06-15 01:15:05.156213,0 days 00:00:02.281607,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,3.3658763030764924,2025-06-15 01:15:05.246090,2025-06-15 01:15:07.471248,0 days 00:00:02.225158,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,-4.430017811394499,2025-06-15 01:15:07.543270,2025-06-15 01:15:10.991406,0 days 00:00:03.448136,804.0,0.008,1m,2.5,3.5,0.6,550.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,430,0.001,4m,2.5,4.0,0.8,278,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,,,,,,,,0.15000000000000002,8,COMPLETE
6,6,-6.445371186959506,2025-06-15 01:15:11.056559,2025-06-15 01:15:12.906543,0 days 00:00:01.849984,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,2.4095135335549105,2025-06-15 01:15:12.970788,2025-06-15 01:15:14.211703,0 days 00:00:01.240915,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-2.0370159338592586,2025-06-15 01:15:14.273821,2025-06-15 01:15:17.355395,0 days 00:00:03.081574,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,,,,,,,,0.05,7,COMPLETE
9,9,2.010621219286472,2025-06-15 01:15:17.401122,2025-06-15 01:15:21.659180,0 days 00:00:04.258058,1010.0,0.007,3m,4.0,1.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,90,0.004,2m,4.0,1.5,0.9,844,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,0.45,10,COMPLETE
