,number,value,datetime_start,datetime_complete,duration,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_ATVI_DXCM_beta_win,params_ATVI_DXCM_stop_loss,params_ATVI_DXCM_trade_freq,params_ATVI_DXCM_z_entry,params_ATVI_DXCM_z_exit,params_ATVI_DXCM_z_stop_scaler,params_ATVI_DXCM_z_win,params_ATVI_VRSK_beta_win,params_ATVI_VRSK_stop_loss,params_ATVI_VRSK_trade_freq,params_ATVI_VRSK_z_entry,params_ATVI_VRSK_z_exit,params_ATVI_VRSK_z_stop_scaler,params_ATVI_VRSK_z_win,params_CTAS_DXCM_beta_win,params_CTAS_DXCM_stop_loss,params_CTAS_DXCM_trade_freq,params_CTAS_DXCM_z_entry,params_CTAS_DXCM_z_exit,params_CTAS_DXCM_z_stop_scaler,params_CTAS_DXCM_z_win,params_DLTR_FANG_beta_win,params_DLTR_FANG_stop_loss,params_DLTR_FANG_trade_freq,params_DLTR_FANG_z_entry,params_DLTR_FANG_z_exit,params_DLTR_FANG_z_stop_scaler,params_DLTR_FANG_z_win,params_EXC_ZM_beta_win,params_EXC_ZM_stop_loss,params_EXC_ZM_trade_freq,params_EXC_ZM_z_entry,params_EXC_ZM_z_exit,params_EXC_ZM_z_stop_scaler,params_EXC_ZM_z_win,params_FAST_GFS_beta_win,params_FAST_GFS_stop_loss,params_FAST_GFS_trade_freq,params_FAST_GFS_z_entry,params_FAST_GFS_z_exit,params_FAST_GFS_z_stop_scaler,params_FAST_GFS_z_win,params_INTU_REGN_beta_win,params_INTU_REGN_stop_loss,params_INTU_REGN_trade_freq,params_INTU_REGN_z_entry,params_INTU_REGN_z_exit,params_INTU_REGN_z_stop_scaler,params_INTU_REGN_z_win,params_MSFT_REGN_beta_win,params_MSFT_REGN_stop_loss,params_MSFT_REGN_trade_freq,params_MSFT_REGN_z_entry,params_MSFT_REGN_z_exit,params_MSFT_REGN_z_stop_scaler,params_MSFT_REGN_z_win,params_NXPI_PCAR_beta_win,params_NXPI_PCAR_stop_loss,params_NXPI_PCAR_trade_freq,params_NXPI_PCAR_z_entry,params_NXPI_PCAR_z_exit,params_NXPI_PCAR_z_stop_scaler,params_NXPI_PCAR_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.4899439544380038,2025-06-15 01:15:26.056675,2025-06-15 01:15:27.416800,0 days 00:00:01.360125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,0.5,3,COMPLETE
1,1,-0.1719335357615043,2025-06-15 01:15:27.493652,2025-06-15 01:15:28.827901,0 days 00:00:01.334249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,0.3,3,COMPLETE
2,2,0.16726606849648723,2025-06-15 01:15:28.893361,2025-06-15 01:15:32.753259,0 days 00:00:03.859898,34.0,0.005,2m,3.0,3.5,0.8,230.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,,,,,,,,652.0,0.001,4m,3.0,1.5,0.5,828.0,270,0.008,4m,1.0,1.5,0.5,50,76.0,0.001,3m,2.5,2.5,0.6,388.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,0.2,9,COMPLETE
3,3,-3.6407569215230673,2025-06-15 01:15:32.812298,2025-06-15 01:15:35.022137,0 days 00:00:02.209839,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,0.05,5,COMPLETE
4,4,-1.4556368413469023,2025-06-15 01:15:35.083144,2025-06-15 01:15:37.365595,0 days 00:00:02.282451,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,0.2,5,COMPLETE
5,5,1.5890002053042052,2025-06-15 01:15:37.454520,2025-06-15 01:15:40.817798,0 days 00:00:03.363278,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,370.0,0.007,1m,2.0,1.0,1.4,490.0,430,0.001,4m,2.5,4.0,0.8,278,,,,,,,,304.0,0.007,4m,1.5,1.0,1.8,648.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,0.15000000000000002,8,COMPLETE
6,6,3.2771577000278094,2025-06-15 01:15:40.909092,2025-06-15 01:15:42.830006,0 days 00:00:01.920914,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,0.45,4,COMPLETE
7,7,2.6169525406186334,2025-06-15 01:15:42.892592,2025-06-15 01:15:44.107231,0 days 00:00:01.214639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,0.1,3,COMPLETE
8,8,-4.381939234831765,2025-06-15 01:15:44.160800,2025-06-15 01:15:47.283029,0 days 00:00:03.122229,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,0.05,7,COMPLETE
9,9,2.329878664161045,2025-06-15 01:15:47.334521,2025-06-15 01:15:51.690406,0 days 00:00:04.355885,1012.0,0.004,4m,4.0,1.5,0.5,248.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,90,0.004,2m,4.0,1.5,0.9,844,678.0,0.01,4m,4.0,4.0,2.0,420.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,0.45,10,COMPLETE
