,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_PCAR_beta_win,params_ABNB_PCAR_stop_loss,params_ABNB_PCAR_trade_freq,params_ABNB_PCAR_z_entry,params_ABNB_PCAR_z_exit,params_ABNB_PCAR_z_stop_scaler,params_ABNB_PCAR_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_INTU_beta_win,params_HON_INTU_stop_loss,params_HON_INTU_trade_freq,params_HON_INTU_z_entry,params_HON_INTU_z_exit,params_HON_INTU_z_stop_scaler,params_HON_INTU_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_NVDA_ROST_beta_win,params_NVDA_ROST_stop_loss,params_NVDA_ROST_trade_freq,params_NVDA_ROST_z_entry,params_NVDA_ROST_z_exit,params_NVDA_ROST_z_stop_scaler,params_NVDA_ROST_z_win,params_PAYX_SIRI_beta_win,params_PAYX_SIRI_stop_loss,params_PAYX_SIRI_trade_freq,params_PAYX_SIRI_z_entry,params_PAYX_SIRI_z_exit,params_PAYX_SIRI_z_stop_scaler,params_PAYX_SIRI_z_win,params_ROST_SGEN_beta_win,params_ROST_SGEN_stop_loss,params_ROST_SGEN_trade_freq,params_ROST_SGEN_z_entry,params_ROST_SGEN_z_exit,params_ROST_SGEN_z_stop_scaler,params_ROST_SGEN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,3.9415480444931768,2025-06-15 01:21:06.464915,2025-06-15 01:21:09.045477,0 days 00:00:02.580562,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,0.5,394.0,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,1000.0,0.002,1m,2.5,2.0,1.5,468.0,546,0.002,4m,1.0,4.0,1.0,522,776.0,0.007,2m,2.5,2.0,1.9000000000000001,546.0,,,,,,,,102.0,0.007,3m,2.5,2.5,1.4,562.0,0.45,3,COMPLETE
1,1,-1.9124035869163227,2025-06-15 01:21:09.148579,2025-06-15 01:21:12.298963,0 days 00:00:03.150384,,,,,,,,514.0,0.005,4m,1.0,1.5,1.7000000000000002,790.0,,,,,,,,916.0,0.01,3m,4.0,3.0,1.3,792.0,,,,,,,,,,,,,,,578,0.004,4m,1.5,1.0,1.8,862,,,,,,,,808.0,0.002,2m,2.5,2.0,1.5,642.0,38,0.004,2m,1.0,1.0,1.4,420,1006.0,0.006,4m,3.0,2.5,1.6,276.0,,,,,,,,492.0,0.01,3m,4.0,2.0,0.8,238.0,0.15000000000000002,4,COMPLETE
2,2,-1.31323990061704,2025-06-15 01:21:12.366402,2025-06-15 01:21:15.806248,0 days 00:00:03.439846,,,,,,,,156.0,0.003,4m,2.5,3.5,1.5,490.0,,,,,,,,120.0,0.003,1m,1.0,1.0,1.1,34.0,472.0,0.002,4m,3.5,4.0,0.7,240.0,,,,,,,,1014,0.007,1m,1.0,2.0,0.5,100,,,,,,,,40.0,0.009000000000000001,4m,2.0,2.5,2.0,126.0,462,0.003,1m,2.0,3.0,1.0,444,380.0,0.002,2m,1.0,3.0,1.0,834.0,,,,,,,,528.0,0.006,2m,3.0,4.0,1.0,524.0,0.15000000000000002,5,COMPLETE
3,3,0.9917190859176447,2025-06-15 01:21:15.881067,2025-06-15 01:21:19.953770,0 days 00:00:04.072703,,,,,,,,962.0,0.008,4m,2.5,3.5,1.4,886.0,278.0,0.003,3m,4.0,2.0,0.6,550.0,630.0,0.004,2m,4.0,2.5,1.4,754.0,296.0,0.005,1m,3.5,2.0,0.9,960.0,,,,,,,,864,0.009000000000000001,1m,1.5,3.5,0.8,56,,,,,,,,886.0,0.003,2m,3.0,1.5,1.7000000000000002,956.0,72,0.008,1m,3.0,1.0,0.6,262,106.0,0.001,2m,2.0,2.5,2.0,922.0,,,,,,,,550.0,0.006,4m,3.5,4.0,1.3,474.0,0.45,6,COMPLETE
4,4,0.03909126584943051,2025-06-15 01:21:20.033485,2025-06-15 01:21:24.956303,0 days 00:00:04.922818,,,,,,,,948.0,0.007,1m,4.0,3.5,1.6,658.0,460.0,0.003,1m,3.0,4.0,1.5,464.0,70.0,0.004,1m,2.0,1.5,0.8,144.0,958.0,0.006,3m,2.5,1.5,0.8,56.0,514.0,0.009000000000000001,1m,1.0,1.0,1.6,226.0,916,0.003,1m,1.5,1.5,1.6,610,,,,,,,,144.0,0.001,4m,1.5,3.0,1.2000000000000002,910.0,438,0.003,1m,4.0,1.5,1.6,754,936.0,0.001,3m,3.0,4.0,0.5,954.0,366.0,0.002,3m,3.0,3.5,0.7,758.0,352.0,0.005,1m,1.5,2.0,0.7,600.0,0.3,8,COMPLETE
5,5,8.28042329692521,2025-06-15 01:21:25.023194,2025-06-15 01:21:29.422521,0 days 00:00:04.399327,,,,,,,,894.0,0.002,1m,2.5,3.5,1.1,298.0,112.0,0.006,3m,3.5,1.0,2.0,860.0,172.0,0.007,4m,1.5,4.0,1.2000000000000002,1004.0,656.0,0.007,1m,1.0,3.0,1.4,210.0,118.0,0.009000000000000001,3m,3.5,1.0,0.8,492.0,560,0.01,3m,3.5,1.0,0.9,126,,,,,,,,470.0,0.007,3m,1.0,1.5,1.5,1000.0,510,0.003,4m,2.5,1.0,2.0,588,234.0,0.002,2m,1.5,3.5,1.6,124.0,,,,,,,,314.0,0.009000000000000001,3m,2.0,1.5,0.8,496.0,0.2,7,COMPLETE
6,6,-4.099287004686334,2025-06-15 01:21:29.506578,2025-06-15 01:21:31.190979,0 days 00:00:01.684401,,,,,,,,,,,,,,,,,,,,,,522.0,0.006,4m,2.0,3.5,0.8,690.0,,,,,,,,,,,,,,,916,0.008,4m,1.0,2.0,0.6,356,,,,,,,,,,,,,,,934,0.001,4m,3.0,1.0,1.5,562,,,,,,,,,,,,,,,488.0,0.003,2m,2.5,2.0,1.1,344.0,0.5,2,COMPLETE
7,7,-5.381338204318025,2025-06-15 01:21:31.277013,2025-06-15 01:21:36.361767,0 days 00:00:05.084754,604.0,0.004,3m,3.5,4.0,1.5,474.0,100.0,0.008,1m,1.0,2.0,1.9000000000000001,288.0,202.0,0.002,4m,1.0,2.5,1.6,998.0,632.0,0.001,1m,1.0,4.0,1.5,164.0,542.0,0.008,4m,1.5,4.0,2.0,258.0,934.0,0.002,2m,1.0,3.0,0.7,972.0,674,0.003,4m,2.0,3.5,0.7,468,,,,,,,,960.0,0.004,1m,3.5,1.5,0.8,796.0,926,0.008,3m,2.0,1.5,0.8,944,122.0,0.01,3m,3.0,2.0,0.6,500.0,708.0,0.004,4m,2.5,1.5,1.7000000000000002,746.0,910.0,0.006,3m,1.0,2.0,1.0,186.0,0.15000000000000002,9,COMPLETE
8,8,-4.6821563573710145,2025-06-15 01:21:36.437414,2025-06-15 01:21:41.589058,0 days 00:00:05.151644,434.0,0.006,1m,2.0,3.0,1.3,498.0,1000.0,0.002,1m,2.5,3.0,0.5,788.0,100.0,0.008,3m,1.5,4.0,1.7000000000000002,102.0,322.0,0.001,2m,1.5,1.0,1.5,970.0,432.0,0.005,2m,3.5,2.5,1.6,196.0,980.0,0.009000000000000001,4m,3.5,4.0,1.3,894.0,548,0.007,1m,1.5,1.0,1.3,94,,,,,,,,178.0,0.01,3m,1.0,1.5,1.1,698.0,156,0.007,2m,1.5,1.0,1.3,706,954.0,0.004,3m,3.5,2.0,0.7,902.0,390.0,0.006,4m,2.5,3.0,1.5,624.0,992.0,0.01,4m,3.0,4.0,0.6,166.0,0.15000000000000002,9,COMPLETE
9,9,-1.3097269347602536,2025-06-15 01:21:41.688470,2025-06-15 01:21:43.374872,0 days 00:00:01.686402,,,,,,,,,,,,,,,,,,,,,,214.0,0.003,3m,2.5,1.5,0.7,952.0,,,,,,,,,,,,,,,50,0.009000000000000001,1m,4.0,3.5,1.5,544,,,,,,,,,,,,,,,64,0.004,2m,3.0,3.0,0.7,860,,,,,,,,,,,,,,,40.0,0.002,1m,2.5,2.0,0.8,276.0,0.45,2,COMPLETE
