,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ADSK_MELI_beta_win,params_ADSK_MELI_stop_loss,params_ADSK_MELI_trade_freq,params_ADSK_MELI_z_entry,params_ADSK_MELI_z_exit,params_ADSK_MELI_z_stop_scaler,params_ADSK_MELI_z_win,params_AEP_TMUS_beta_win,params_AEP_TMUS_stop_loss,params_AEP_TMUS_trade_freq,params_AEP_TMUS_z_entry,params_AEP_TMUS_z_exit,params_AEP_TMUS_z_stop_scaler,params_AEP_TMUS_z_win,params_AMZN_FAST_beta_win,params_AMZN_FAST_stop_loss,params_AMZN_FAST_trade_freq,params_AMZN_FAST_z_entry,params_AMZN_FAST_z_exit,params_AMZN_FAST_z_stop_scaler,params_AMZN_FAST_z_win,params_CSX_FAST_beta_win,params_CSX_FAST_stop_loss,params_CSX_FAST_trade_freq,params_CSX_FAST_z_entry,params_CSX_FAST_z_exit,params_CSX_FAST_z_stop_scaler,params_CSX_FAST_z_win,params_CTAS_FAST_beta_win,params_CTAS_FAST_stop_loss,params_CTAS_FAST_trade_freq,params_CTAS_FAST_z_entry,params_CTAS_FAST_z_exit,params_CTAS_FAST_z_stop_scaler,params_CTAS_FAST_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DXCM_FAST_beta_win,params_DXCM_FAST_stop_loss,params_DXCM_FAST_trade_freq,params_DXCM_FAST_z_entry,params_DXCM_FAST_z_exit,params_DXCM_FAST_z_stop_scaler,params_DXCM_FAST_z_win,params_QCOM_MELI_beta_win,params_QCOM_MELI_stop_loss,params_QCOM_MELI_trade_freq,params_QCOM_MELI_z_entry,params_QCOM_MELI_z_exit,params_QCOM_MELI_z_stop_scaler,params_QCOM_MELI_z_win,params_ZM_MELI_beta_win,params_ZM_MELI_stop_loss,params_ZM_MELI_trade_freq,params_ZM_MELI_z_entry,params_ZM_MELI_z_exit,params_ZM_MELI_z_stop_scaler,params_ZM_MELI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-5.197631177078726,2025-06-15 01:25:10.328803,2025-06-15 01:25:11.758254,0 days 00:00:01.429451,1000.0,0.002,1m,2.5,2.0,0.6,468.0,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-1.2193361791804656,2025-06-15 01:25:11.828179,2025-06-15 01:25:13.227334,0 days 00:00:01.399155,984.0,0.006,3m,2.5,3.0,1.0,592.0,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-12.0353046215348,2025-06-15 01:25:13.291424,2025-06-15 01:25:17.085952,0 days 00:00:03.794528,572.0,0.008,4m,1.5,3.5,2.0,386.0,270,0.008,4m,1.0,1.5,0.5,50,110.0,0.003,4m,1.0,4.0,1.6,146.0,,,,,,,,920.0,0.003,3m,2.5,1.0,1.3,360.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,0.2,9,COMPLETE
3,3,-2.73088215209852,2025-06-15 01:25:17.151461,2025-06-15 01:25:19.325596,0 days 00:00:02.174135,352.0,0.007,2m,1.0,3.5,1.3,856.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,,,,,,,,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,-0.11548536688284636,2025-06-15 01:25:19.392878,2025-06-15 01:25:21.576377,0 days 00:00:02.183499,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,,,,,,,,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,-3.102324736698825,2025-06-15 01:25:21.648406,2025-06-15 01:25:25.090532,0 days 00:00:03.442126,804.0,0.008,1m,2.5,3.5,0.6,550.0,430,0.001,4m,2.5,4.0,0.8,278,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,0.15000000000000002,8,COMPLETE
6,6,2.3067934874799048,2025-06-15 01:25:25.161332,2025-06-15 01:25:27.025311,0 days 00:00:01.863979,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-2.628793780018236,2025-06-15 01:25:27.098192,2025-06-15 01:25:28.190434,0 days 00:00:01.092242,948.0,0.008,2m,4.0,3.0,1.6,760.0,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-2.8223619240396984,2025-06-15 01:25:28.235909,2025-06-15 01:25:31.448411,0 days 00:00:03.212502,150.0,0.002,2m,4.0,3.0,1.4,444.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,0.05,7,COMPLETE
9,9,-7.846214600206302,2025-06-15 01:25:31.539018,2025-06-15 01:25:35.829432,0 days 00:00:04.290414,1010.0,0.007,3m,4.0,1.5,0.8,766.0,90,0.004,2m,4.0,1.5,0.9,844,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,0.45,10,COMPLETE
