,number,value,datetime_start,datetime_complete,duration,params_AEP_HON_beta_win,params_AEP_HON_stop_loss,params_AEP_HON_trade_freq,params_AEP_HON_z_entry,params_AEP_HON_z_exit,params_AEP_HON_z_stop_scaler,params_AEP_HON_z_win,params_ATVI_ROST_beta_win,params_ATVI_ROST_stop_loss,params_ATVI_ROST_trade_freq,params_ATVI_ROST_z_entry,params_ATVI_ROST_z_exit,params_ATVI_ROST_z_stop_scaler,params_ATVI_ROST_z_win,params_BIDU_SIRI_beta_win,params_BIDU_SIRI_stop_loss,params_BIDU_SIRI_trade_freq,params_BIDU_SIRI_z_entry,params_BIDU_SIRI_z_exit,params_BIDU_SIRI_z_stop_scaler,params_BIDU_SIRI_z_win,params_FOXA_MAR_beta_win,params_FOXA_MAR_stop_loss,params_FOXA_MAR_trade_freq,params_FOXA_MAR_z_entry,params_FOXA_MAR_z_exit,params_FOXA_MAR_z_stop_scaler,params_FOXA_MAR_z_win,params_FOX_MAR_beta_win,params_FOX_MAR_stop_loss,params_FOX_MAR_trade_freq,params_FOX_MAR_z_entry,params_FOX_MAR_z_exit,params_FOX_MAR_z_stop_scaler,params_FOX_MAR_z_win,params_GOOGL_VRTX_beta_win,params_GOOGL_VRTX_stop_loss,params_GOOGL_VRTX_trade_freq,params_GOOGL_VRTX_z_entry,params_GOOGL_VRTX_z_exit,params_GOOGL_VRTX_z_stop_scaler,params_GOOGL_VRTX_z_win,params_GOOG_VRTX_beta_win,params_GOOG_VRTX_stop_loss,params_GOOG_VRTX_trade_freq,params_GOOG_VRTX_z_entry,params_GOOG_VRTX_z_exit,params_GOOG_VRTX_z_stop_scaler,params_GOOG_VRTX_z_win,params_HON_JD_beta_win,params_HON_JD_stop_loss,params_HON_JD_trade_freq,params_HON_JD_z_entry,params_HON_JD_z_exit,params_HON_JD_z_stop_scaler,params_HON_JD_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_KHC_ROST_beta_win,params_KHC_ROST_stop_loss,params_KHC_ROST_trade_freq,params_KHC_ROST_z_entry,params_KHC_ROST_z_exit,params_KHC_ROST_z_stop_scaler,params_KHC_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-4.492517183040994,2025-06-14 18:58:07.281500,2025-06-14 18:58:21.708395,0 days 00:00:14.426895,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-4.714668549258612,2025-06-14 18:58:21.766339,2025-06-14 18:58:24.210826,0 days 00:00:02.444487,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-4.29929809825422,2025-06-14 18:58:24.304114,2025-06-14 18:58:32.027221,0 days 00:00:07.723107,978.0,0.007,3m,1.5,4.0,0.7,698.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,,,,,,,,920.0,0.003,3m,2.5,1.0,1.3,360.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,270,0.008,4m,1.0,1.5,0.5,50,670.0,0.006,4m,2.0,2.5,0.8,548.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,0.2,9,COMPLETE
3,3,-2.8079793751211817,2025-06-14 18:58:32.114093,2025-06-14 18:58:36.508068,0 days 00:00:04.393975,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,0.05,5,COMPLETE
4,4,-5.572416206646452,2025-06-14 18:58:36.573257,2025-06-14 18:58:40.883299,0 days 00:00:04.310042,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,0.2,5,COMPLETE
5,5,-4.295935013857824,2025-06-14 18:58:40.948664,2025-06-14 18:58:47.920065,0 days 00:00:06.971401,218.0,0.004,2m,1.5,3.0,1.6,72.0,,,,,,,,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,430,0.001,4m,2.5,4.0,0.8,278,304.0,0.007,4m,1.5,1.0,1.8,648.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,0.15000000000000002,8,COMPLETE
6,6,-5.5613236095012475,2025-06-14 18:58:48.012838,2025-06-14 18:58:51.639673,0 days 00:00:03.626835,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-2.3398184229227827,2025-06-14 18:58:51.698002,2025-06-14 18:58:54.385162,0 days 00:00:02.687160,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,1.2356360763207166,2025-06-14 18:58:54.455973,2025-06-14 18:59:00.609279,0 days 00:00:06.153306,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,0.05,7,COMPLETE
9,9,-5.2493819526153,2025-06-14 18:59:00.692182,2025-06-14 18:59:09.243777,0 days 00:00:08.551595,698.0,0.01,4m,2.5,3.5,0.8,766.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,90,0.004,2m,4.0,1.5,0.9,844,612.0,0.004,2m,1.0,1.5,1.6,82.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,0.45,10,COMPLETE
