,number,value,datetime_start,datetime_complete,duration,params_ADBE_SIRI_beta_win,params_ADBE_SIRI_stop_loss,params_ADBE_SIRI_trade_freq,params_ADBE_SIRI_z_entry,params_ADBE_SIRI_z_exit,params_ADBE_SIRI_z_stop_scaler,params_ADBE_SIRI_z_win,params_AMAT_SIRI_beta_win,params_AMAT_SIRI_stop_loss,params_AMAT_SIRI_trade_freq,params_AMAT_SIRI_z_entry,params_AMAT_SIRI_z_exit,params_AMAT_SIRI_z_stop_scaler,params_AMAT_SIRI_z_win,params_BIDU_SIRI_beta_win,params_BIDU_SIRI_stop_loss,params_BIDU_SIRI_trade_freq,params_BIDU_SIRI_z_entry,params_BIDU_SIRI_z_exit,params_BIDU_SIRI_z_stop_scaler,params_BIDU_SIRI_z_win,params_DDOG_ZS_beta_win,params_DDOG_ZS_stop_loss,params_DDOG_ZS_trade_freq,params_DDOG_ZS_z_entry,params_DDOG_ZS_z_exit,params_DDOG_ZS_z_stop_scaler,params_DDOG_ZS_z_win,params_FB_SIRI_beta_win,params_FB_SIRI_stop_loss,params_FB_SIRI_trade_freq,params_FB_SIRI_z_entry,params_FB_SIRI_z_exit,params_FB_SIRI_z_stop_scaler,params_FB_SIRI_z_win,params_JD_SIRI_beta_win,params_JD_SIRI_stop_loss,params_JD_SIRI_trade_freq,params_JD_SIRI_z_entry,params_JD_SIRI_z_exit,params_JD_SIRI_z_stop_scaler,params_JD_SIRI_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_stop_loss,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_stop_scaler,params_NVDA_SIRI_z_win,params_PDD_ORLY_beta_win,params_PDD_ORLY_stop_loss,params_PDD_ORLY_trade_freq,params_PDD_ORLY_z_entry,params_PDD_ORLY_z_exit,params_PDD_ORLY_z_stop_scaler,params_PDD_ORLY_z_win,params_PDD_SIRI_beta_win,params_PDD_SIRI_stop_loss,params_PDD_SIRI_trade_freq,params_PDD_SIRI_z_entry,params_PDD_SIRI_z_exit,params_PDD_SIRI_z_stop_scaler,params_PDD_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-4.125049845243501,2025-06-14 18:58:08.688645,2025-06-14 18:58:23.032203,0 days 00:00:14.343558,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,0.5,3,COMPLETE
1,1,-0.7453611510232161,2025-06-14 18:58:23.101825,2025-06-14 18:58:25.640951,0 days 00:00:02.539126,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,0.3,3,COMPLETE
2,2,-3.5909647551466324,2025-06-14 18:58:25.711841,2025-06-14 18:58:33.538664,0 days 00:00:07.826823,,,,,,,,110.0,0.003,4m,1.0,4.0,1.6,146.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,270,0.008,4m,1.0,1.5,0.5,50,572.0,0.008,4m,1.5,3.5,2.0,386.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,0.2,9,COMPLETE
3,3,0.18293978709150024,2025-06-14 18:58:33.617593,2025-06-14 18:58:37.969797,0 days 00:00:04.352204,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,352.0,0.007,2m,1.0,3.5,1.3,856.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,0.05,5,COMPLETE
4,4,3.6398454856176823,2025-06-14 18:58:38.032601,2025-06-14 18:58:42.303270,0 days 00:00:04.270669,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,0.2,5,COMPLETE
5,5,-4.2228666160876625,2025-06-14 18:58:42.385450,2025-06-14 18:58:49.297395,0 days 00:00:06.911945,,,,,,,,32.0,0.006,1m,3.0,3.5,1.5,220.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,430,0.001,4m,2.5,4.0,0.8,278,804.0,0.008,1m,2.5,3.5,0.6,550.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,218.0,0.004,2m,1.5,3.0,1.6,72.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,0.15000000000000002,8,COMPLETE
6,6,-2.8873684978364498,2025-06-14 18:58:49.364773,2025-06-14 18:58:52.763404,0 days 00:00:03.398631,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,0.45,4,COMPLETE
7,7,-2.2179926933162126,2025-06-14 18:58:52.857832,2025-06-14 18:58:55.412334,0 days 00:00:02.554502,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,0.1,3,COMPLETE
8,8,1.3404465202947393,2025-06-14 18:58:55.477778,2025-06-14 18:59:01.596018,0 days 00:00:06.118240,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,150.0,0.002,2m,4.0,3.0,1.4,444.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,0.05,7,COMPLETE
9,9,-1.9574571849063438,2025-06-14 18:59:01.659351,2025-06-14 18:59:10.075701,0 days 00:00:08.416350,432.0,0.007,4m,4.0,1.5,0.9,224.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,90,0.004,2m,4.0,1.5,0.9,844,1010.0,0.007,3m,4.0,1.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,0.45,10,COMPLETE
