,number,value,datetime_start,datetime_complete,duration,params_CHTR_SWKS_beta_win,params_CHTR_SWKS_stop_loss,params_CHTR_SWKS_trade_freq,params_CHTR_SWKS_z_entry,params_CHTR_SWKS_z_exit,params_CHTR_SWKS_z_stop_scaler,params_CHTR_SWKS_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_CMCSA_SWKS_beta_win,params_CMCSA_SWKS_stop_loss,params_CMCSA_SWKS_trade_freq,params_CMCSA_SWKS_z_entry,params_CMCSA_SWKS_z_exit,params_CMCSA_SWKS_z_stop_scaler,params_CMCSA_SWKS_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_MAR_beta_win,params_FISV_MAR_stop_loss,params_FISV_MAR_trade_freq,params_FISV_MAR_z_entry,params_FISV_MAR_z_exit,params_FISV_MAR_z_stop_scaler,params_FISV_MAR_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_OKTA_SBUX_beta_win,params_OKTA_SBUX_stop_loss,params_OKTA_SBUX_trade_freq,params_OKTA_SBUX_z_entry,params_OKTA_SBUX_z_exit,params_OKTA_SBUX_z_stop_scaler,params_OKTA_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-3.4908444937596492,2025-06-14 19:08:38.194643,2025-06-14 19:08:43.463668,0 days 00:00:05.269025,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,3.471614278468134,2025-06-14 19:08:43.623845,2025-06-14 19:08:50.469926,0 days 00:00:06.846081,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-1.9734989928886213,2025-06-14 19:08:50.600587,2025-06-14 19:09:05.543285,0 days 00:00:14.942698,34.0,0.005,2m,3.0,3.5,0.8,230.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,270,0.008,4m,1.0,1.5,0.5,50,652.0,0.001,4m,3.0,1.5,0.5,828.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,,,,,,,,0.2,9,COMPLETE
3,3,1.7150248443947849,2025-06-14 19:09:05.652141,2025-06-14 19:09:09.626638,0 days 00:00:03.974497,960.0,0.01,4m,2.5,1.5,1.3,260.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,2.3887272791305114,2025-06-14 19:09:09.698896,2025-06-14 19:09:13.657876,0 days 00:00:03.958980,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,-2.6882222541426644,2025-06-14 19:09:13.721652,2025-06-14 19:09:19.936337,0 days 00:00:06.214685,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,430,0.001,4m,2.5,4.0,0.8,278,370.0,0.007,1m,2.0,1.0,1.4,490.0,,,,,,,,32.0,0.006,1m,3.0,3.5,1.5,220.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,0.15000000000000002,8,COMPLETE
6,6,4.414729042281198,2025-06-14 19:09:19.999428,2025-06-14 19:09:23.187343,0 days 00:00:03.187915,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-2.907862789677813,2025-06-14 19:09:23.255098,2025-06-14 19:09:25.742759,0 days 00:00:02.487661,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,1.5272251599906477,2025-06-14 19:09:25.795168,2025-06-14 19:09:31.388785,0 days 00:00:05.593617,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,0.05,7,COMPLETE
9,9,0.9213781312270087,2025-06-14 19:09:31.483642,2025-06-14 19:09:39.284829,0 days 00:00:07.801187,1012.0,0.004,4m,4.0,1.5,0.5,248.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,90,0.004,2m,4.0,1.5,0.9,844,552.0,0.003,1m,2.0,3.5,0.7,384.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,0.45,10,COMPLETE
