,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_NVDA_PYPL_beta_win,params_NVDA_PYPL_stop_loss,params_NVDA_PYPL_trade_freq,params_NVDA_PYPL_z_entry,params_NVDA_PYPL_z_exit,params_NVDA_PYPL_z_stop_scaler,params_NVDA_PYPL_z_win,params_NXPI_PYPL_beta_win,params_NXPI_PYPL_stop_loss,params_NXPI_PYPL_trade_freq,params_NXPI_PYPL_z_entry,params_NXPI_PYPL_z_exit,params_NXPI_PYPL_z_stop_scaler,params_NXPI_PYPL_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-2.7784926872997544,2025-06-14 19:15:44.981531,2025-06-14 19:15:47.676908,0 days 00:00:02.695377,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,4.275944186788934,2025-06-14 19:15:47.795422,2025-06-14 19:15:50.064554,0 days 00:00:02.269132,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-3.3670937314526816,2025-06-14 19:15:50.115864,2025-06-14 19:15:57.546446,0 days 00:00:07.430582,652.0,0.001,4m,3.0,1.5,0.5,828.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,270,0.008,4m,1.0,1.5,0.5,50,34.0,0.005,2m,3.0,3.5,0.8,230.0,,,,,,,,572.0,0.008,4m,1.5,3.5,2.0,386.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,0.2,9,COMPLETE
3,3,-1.835722812997085,2025-06-14 19:15:57.623367,2025-06-14 19:16:01.908945,0 days 00:00:04.285578,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,-3.634791366688807,2025-06-14 19:16:01.968322,2025-06-14 19:16:06.171903,0 days 00:00:04.203581,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,-1.1638494821715115,2025-06-14 19:16:06.231991,2025-06-14 19:16:12.758409,0 days 00:00:06.526418,370.0,0.007,1m,2.0,1.0,1.4,490.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,,,,,,,,804.0,0.008,1m,2.5,3.5,0.6,550.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,0.15000000000000002,8,COMPLETE
6,6,-1.6990690214136785,2025-06-14 19:16:12.823252,2025-06-14 19:16:16.336214,0 days 00:00:03.512962,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-1.8007697483556115,2025-06-14 19:16:16.389793,2025-06-14 19:16:18.928772,0 days 00:00:02.538979,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,4.364798520428163,2025-06-14 19:16:19.013509,2025-06-14 19:16:24.815023,0 days 00:00:05.801514,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,0.05,7,COMPLETE
9,9,-4.216419916896488,2025-06-14 19:16:24.889211,2025-06-14 19:16:33.080197,0 days 00:00:08.190986,552.0,0.003,1m,2.0,3.5,0.7,384.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,90,0.004,2m,4.0,1.5,0.9,844,1012.0,0.004,4m,4.0,1.5,0.5,248.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,0.45,10,COMPLETE
