,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ADSK_ILMN_beta_win,params_ADSK_ILMN_stop_loss,params_ADSK_ILMN_trade_freq,params_ADSK_ILMN_z_entry,params_ADSK_ILMN_z_exit,params_ADSK_ILMN_z_stop_scaler,params_ADSK_ILMN_z_win,params_AMGN_ILMN_beta_win,params_AMGN_ILMN_stop_loss,params_AMGN_ILMN_trade_freq,params_AMGN_ILMN_z_entry,params_AMGN_ILMN_z_exit,params_AMGN_ILMN_z_stop_scaler,params_AMGN_ILMN_z_win,params_ATVI_INTU_beta_win,params_ATVI_INTU_stop_loss,params_ATVI_INTU_trade_freq,params_ATVI_INTU_z_entry,params_ATVI_INTU_z_exit,params_ATVI_INTU_z_stop_scaler,params_ATVI_INTU_z_win,params_CHTR_DLTR_beta_win,params_CHTR_DLTR_stop_loss,params_CHTR_DLTR_trade_freq,params_CHTR_DLTR_z_entry,params_CHTR_DLTR_z_exit,params_CHTR_DLTR_z_stop_scaler,params_CHTR_DLTR_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DLTR_ILMN_beta_win,params_DLTR_ILMN_stop_loss,params_DLTR_ILMN_trade_freq,params_DLTR_ILMN_z_entry,params_DLTR_ILMN_z_exit,params_DLTR_ILMN_z_stop_scaler,params_DLTR_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.457093146152428,2025-06-14 19:31:28.500458,2025-06-14 19:31:30.918868,0 days 00:00:02.418410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,342,0.009000000000000001,3m,3.5,2.0,1.3,502,1000.0,0.002,1m,2.5,2.0,0.6,468.0,0.5,3,COMPLETE
1,1,-3.9897438318883305,2025-06-14 19:31:31.024057,2025-06-14 19:31:33.282846,0 days 00:00:02.258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,984.0,0.006,3m,2.5,3.0,1.0,592.0,0.3,3,COMPLETE
2,2,-4.370063444429575,2025-06-14 19:31:33.332238,2025-06-14 19:31:40.123646,0 days 00:00:06.791408,34.0,0.005,2m,3.0,3.5,0.8,230.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,,,,,,,,978.0,0.007,3m,1.5,4.0,0.7,698.0,270,0.008,4m,1.0,1.5,0.5,50,572.0,0.008,4m,1.5,3.5,2.0,386.0,0.2,9,COMPLETE
3,3,-2.3346932423070665,2025-06-14 19:31:40.198355,2025-06-14 19:31:43.748457,0 days 00:00:03.550102,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,352.0,0.007,2m,1.0,3.5,1.3,856.0,0.05,5,COMPLETE
4,4,-0.9835114254708565,2025-06-14 19:31:43.807734,2025-06-14 19:31:47.434485,0 days 00:00:03.626751,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,0.2,5,COMPLETE
5,5,-1.5101325976660682,2025-06-14 19:31:47.500628,2025-06-14 19:31:53.947088,0 days 00:00:06.446460,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,,,,,,,,218.0,0.004,2m,1.5,3.0,1.6,72.0,430,0.001,4m,2.5,4.0,0.8,278,804.0,0.008,1m,2.5,3.5,0.6,550.0,0.15000000000000002,8,COMPLETE
6,6,-4.056803376225395,2025-06-14 19:31:54.018355,2025-06-14 19:31:57.160178,0 days 00:00:03.141823,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,264,0.008,1m,4.0,1.0,0.6,718,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,0.45,4,COMPLETE
7,7,1.652392227551114,2025-06-14 19:31:57.207407,2025-06-14 19:31:59.606606,0 days 00:00:02.399199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,952,0.004,3m,2.0,2.5,0.8,652,948.0,0.008,2m,4.0,3.0,1.6,760.0,0.1,3,COMPLETE
8,8,-6.239450160434467,2025-06-14 19:31:59.637794,2025-06-14 19:32:05.401397,0 days 00:00:05.763603,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,150.0,0.002,2m,4.0,3.0,1.4,444.0,0.05,7,COMPLETE
9,9,-4.5506756181971255,2025-06-14 19:32:05.443128,2025-06-14 19:32:13.295154,0 days 00:00:07.852026,1012.0,0.004,4m,4.0,1.5,0.5,248.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,90,0.004,2m,4.0,1.5,0.9,844,1010.0,0.007,3m,4.0,1.5,0.8,766.0,0.45,10,COMPLETE
