,number,value,datetime_start,datetime_complete,duration,params_ABNB_ADSK_beta_win,params_ABNB_ADSK_stop_loss,params_ABNB_ADSK_trade_freq,params_ABNB_ADSK_z_entry,params_ABNB_ADSK_z_exit,params_ABNB_ADSK_z_stop_scaler,params_ABNB_ADSK_z_win,params_CPRT_FAST_beta_win,params_CPRT_FAST_stop_loss,params_CPRT_FAST_trade_freq,params_CPRT_FAST_z_entry,params_CPRT_FAST_z_exit,params_CPRT_FAST_z_stop_scaler,params_CPRT_FAST_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_CPRT_MU_beta_win,params_CPRT_MU_stop_loss,params_CPRT_MU_trade_freq,params_CPRT_MU_z_entry,params_CPRT_MU_z_exit,params_CPRT_MU_z_stop_scaler,params_CPRT_MU_z_win,params_CTSH_TEAM_beta_win,params_CTSH_TEAM_stop_loss,params_CTSH_TEAM_trade_freq,params_CTSH_TEAM_z_entry,params_CTSH_TEAM_z_exit,params_CTSH_TEAM_z_stop_scaler,params_CTSH_TEAM_z_win,params_DXCM_FANG_beta_win,params_DXCM_FANG_stop_loss,params_DXCM_FANG_trade_freq,params_DXCM_FANG_z_entry,params_DXCM_FANG_z_exit,params_DXCM_FANG_z_stop_scaler,params_DXCM_FANG_z_win,params_ENPH_TEAM_beta_win,params_ENPH_TEAM_stop_loss,params_ENPH_TEAM_trade_freq,params_ENPH_TEAM_z_entry,params_ENPH_TEAM_z_exit,params_ENPH_TEAM_z_stop_scaler,params_ENPH_TEAM_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-4.095528995177163,2025-06-14 19:39:49.064743,2025-06-14 19:40:00.052230,0 days 00:00:10.987487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,0.002,4m,1.0,4.0,1.0,522,,,,,,,,102.0,0.007,3m,2.5,2.5,1.8,562.0,342,0.009000000000000001,3m,3.5,2.0,1.7000000000000002,502,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,1000.0,0.002,1m,2.5,2.0,1.3,468.0,0.5,3,COMPLETE
1,1,-0.01853199336426985,2025-06-14 19:40:00.189711,2025-06-14 19:40:15.317006,0 days 00:00:15.127295,,,,,,,,,,,,,,,964.0,0.005,3m,3.0,2.5,1.5,808.0,,,,,,,,382,0.008,4m,1.5,4.0,0.8,492,140.0,0.009000000000000001,3m,3.5,1.0,1.7000000000000002,514.0,1008.0,0.009000000000000001,1m,1.5,3.0,1.6,1006.0,536,0.009000000000000001,4m,2.5,1.0,1.3,700,512.0,0.001,3m,2.0,1.0,1.4,38.0,366.0,0.008,4m,3.5,1.5,1.8,578.0,,,,,,,,366.0,0.007,4m,3.5,4.0,1.3,916.0,0.15000000000000002,6,COMPLETE
2,2,-8.11366344413287,2025-06-14 19:40:15.420764,2025-06-14 19:40:21.850827,0 days 00:00:06.430063,,,,,,,,,,,,,,,156.0,0.003,4m,2.5,3.5,1.4,490.0,,,,,,,,462,0.003,1m,2.0,3.0,1.9000000000000001,444,472.0,0.002,4m,3.5,4.0,1.3,240.0,528.0,0.006,2m,3.0,4.0,1.3,524.0,1014,0.007,1m,1.0,2.0,1.0,100,,,,,,,,120.0,0.003,1m,1.0,1.0,1.7000000000000002,34.0,,,,,,,,40.0,0.009000000000000001,4m,2.0,2.5,0.6,126.0,0.3,5,COMPLETE
3,3,-0.11560682812024241,2025-06-14 19:40:21.941586,2025-06-14 19:40:25.561233,0 days 00:00:03.619647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,0.006,3m,3.5,4.0,1.8,630,,,,,,,,406.0,0.005,3m,4.0,3.0,1.1,886.0,46,0.003,4m,4.0,3.0,0.9,436,,,,,,,,536.0,0.006,1m,1.0,1.5,2.0,864.0,,,,,,,,,,,,,,,0.45,2,COMPLETE
4,4,0.3424453723752974,2025-06-14 19:40:25.639025,2025-06-14 19:40:31.736191,0 days 00:00:06.097166,,,,,,,,,,,,,,,624.0,0.003,4m,2.0,3.5,0.9,384.0,,,,,,,,558,0.003,3m,2.5,1.0,0.9,248,636.0,0.001,2m,3.5,3.0,1.5,110.0,132.0,0.003,1m,2.5,4.0,0.5,132.0,118,0.01,2m,3.5,3.0,0.8,742,,,,,,,,420.0,0.002,3m,3.5,2.0,2.0,382.0,,,,,,,,614.0,0.008,3m,1.0,1.5,1.6,770.0,0.1,5,COMPLETE
5,5,-4.503081992561548,2025-06-14 19:40:31.821630,2025-06-14 19:40:37.041096,0 days 00:00:05.219466,,,,,,,,,,,,,,,258.0,0.008,2m,2.0,3.5,1.7000000000000002,372.0,,,,,,,,928,0.001,3m,1.0,3.0,0.6,680,,,,,,,,148.0,0.006,2m,1.5,3.5,0.8,966.0,250,0.003,4m,3.0,2.0,1.8,974,,,,,,,,610.0,0.009000000000000001,3m,3.0,1.5,1.5,478.0,,,,,,,,878.0,0.006,3m,1.5,2.0,1.1,630.0,0.25,4,COMPLETE
6,6,0.631130298470135,2025-06-14 19:40:37.132617,2025-06-14 19:40:46.578034,0 days 00:00:09.445417,,,,,,,,632.0,0.003,2m,4.0,1.5,1.2000000000000002,656.0,480.0,0.001,1m,1.5,3.0,1.2000000000000002,740.0,,,,,,,,324,0.005,3m,3.0,1.5,1.8,164,612.0,0.009000000000000001,3m,2.5,1.0,1.8,634.0,170.0,0.007,1m,1.0,3.5,1.4,670.0,896,0.006,2m,4.0,3.0,1.0,226,474.0,0.005,2m,1.5,4.0,0.7,974.0,222.0,0.01,4m,3.5,2.5,1.4,410.0,966.0,0.009000000000000001,2m,2.5,4.0,1.3,622.0,662.0,0.003,1m,4.0,3.5,0.6,996.0,0.45,8,COMPLETE
7,7,-1.4500401816106836,2025-06-14 19:40:46.674159,2025-06-14 19:40:53.121518,0 days 00:00:06.447359,,,,,,,,,,,,,,,516.0,0.008,1m,2.0,3.0,1.0,694.0,,,,,,,,954,0.006,4m,2.5,3.0,1.0,756,390.0,0.004,3m,4.0,2.0,1.3,150.0,786.0,0.002,1m,4.0,2.5,0.9,524.0,588,0.003,3m,1.0,4.0,1.6,474,,,,,,,,496.0,0.003,4m,1.5,2.0,0.6,374.0,,,,,,,,124.0,0.003,1m,3.5,4.0,1.2000000000000002,206.0,0.4,5,COMPLETE
8,8,-0.4692254238325469,2025-06-14 19:40:53.206012,2025-06-14 19:41:00.598488,0 days 00:00:07.392476,,,,,,,,,,,,,,,796.0,0.001,2m,1.5,4.0,1.2000000000000002,768.0,,,,,,,,998,0.01,3m,2.5,3.0,1.5,100,288.0,0.006,4m,2.0,2.0,1.4,132.0,972.0,0.007,1m,3.0,3.0,1.0,108.0,366,0.007,3m,1.0,1.5,1.6,220,258.0,0.002,4m,4.0,2.0,0.9,288.0,468.0,0.007,3m,3.5,4.0,1.2000000000000002,326.0,,,,,,,,164.0,0.01,1m,4.0,3.0,0.8,32.0,0.3,6,COMPLETE
9,9,-2.21149036268616,2025-06-14 19:41:00.699302,2025-06-14 19:41:07.409250,0 days 00:00:06.709948,,,,,,,,,,,,,,,726.0,0.007,3m,3.0,3.0,0.7,368.0,,,,,,,,134,0.008,4m,3.5,2.5,0.6,228,254.0,0.004,2m,4.0,3.5,1.5,948.0,766.0,0.008,1m,3.0,2.0,0.7,776.0,856,0.01,1m,1.5,1.5,1.0,942,,,,,,,,336.0,0.002,4m,1.0,3.5,1.0,204.0,,,,,,,,152.0,0.005,1m,1.0,3.5,0.6,328.0,0.05,5,COMPLETE
