,number,value,datetime_start,datetime_complete,duration,params_COST_MU_beta_win,params_COST_MU_stop_loss,params_COST_MU_trade_freq,params_COST_MU_z_entry,params_COST_MU_z_exit,params_COST_MU_z_stop_scaler,params_COST_MU_z_win,params_CRWD_EXC_beta_win,params_CRWD_EXC_stop_loss,params_CRWD_EXC_trade_freq,params_CRWD_EXC_z_entry,params_CRWD_EXC_z_exit,params_CRWD_EXC_z_stop_scaler,params_CRWD_EXC_z_win,params_EXC_TEAM_beta_win,params_EXC_TEAM_stop_loss,params_EXC_TEAM_trade_freq,params_EXC_TEAM_z_entry,params_EXC_TEAM_z_exit,params_EXC_TEAM_z_stop_scaler,params_EXC_TEAM_z_win,params_INTC_CTAS_beta_win,params_INTC_CTAS_stop_loss,params_INTC_CTAS_trade_freq,params_INTC_CTAS_z_entry,params_INTC_CTAS_z_exit,params_INTC_CTAS_z_stop_scaler,params_INTC_CTAS_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_MSFT_TTWO_beta_win,params_MSFT_TTWO_stop_loss,params_MSFT_TTWO_trade_freq,params_MSFT_TTWO_z_entry,params_MSFT_TTWO_z_exit,params_MSFT_TTWO_z_stop_scaler,params_MSFT_TTWO_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_MU_EXC_beta_win,params_MU_EXC_stop_loss,params_MU_EXC_trade_freq,params_MU_EXC_z_entry,params_MU_EXC_z_exit,params_MU_EXC_z_stop_scaler,params_MU_EXC_z_win,params_WBA_WBD_beta_win,params_WBA_WBD_stop_loss,params_WBA_WBD_trade_freq,params_WBA_WBD_z_entry,params_WBA_WBD_z_exit,params_WBA_WBD_z_stop_scaler,params_WBA_WBD_z_win,params_ZS_EXC_beta_win,params_ZS_EXC_stop_loss,params_ZS_EXC_trade_freq,params_ZS_EXC_z_entry,params_ZS_EXC_z_exit,params_ZS_EXC_z_stop_scaler,params_ZS_EXC_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-2.2726614561786747,2025-06-14 19:45:10.245303,2025-06-14 19:45:13.305458,0 days 00:00:03.060155,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,0.5,3,COMPLETE
1,1,-2.5198438108645695,2025-06-14 19:45:13.379357,2025-06-14 19:45:16.088499,0 days 00:00:02.709142,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,0.3,3,COMPLETE
2,2,-2.0092817206101254,2025-06-14 19:45:16.200797,2025-06-14 19:45:23.773421,0 days 00:00:07.572624,920.0,0.003,3m,2.5,1.0,1.3,360.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,270,0.008,4m,1.0,1.5,0.5,50,,,,,,,,34.0,0.005,2m,3.0,3.5,0.8,230.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,0.2,9,COMPLETE
3,3,-0.39558010033318036,2025-06-14 19:45:23.875517,2025-06-14 19:45:28.577444,0 days 00:00:04.701927,,,,,,,,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,0.05,5,COMPLETE
4,4,-2.2716521780363905,2025-06-14 19:45:28.659628,2025-06-14 19:45:32.827876,0 days 00:00:04.168248,,,,,,,,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,0.2,5,COMPLETE
5,5,-4.317084738256067,2025-06-14 19:45:32.912341,2025-06-14 19:45:39.584108,0 days 00:00:06.671767,974.0,0.008,4m,3.0,4.0,1.8,922.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,430,0.001,4m,2.5,4.0,0.8,278,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,,,,,,,,0.15000000000000002,8,COMPLETE
6,6,-3.1644256912511537,2025-06-14 19:45:39.667048,2025-06-14 19:45:43.022240,0 days 00:00:03.355192,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,0.45,4,COMPLETE
7,7,-2.1928978572435676,2025-06-14 19:45:43.117753,2025-06-14 19:45:45.663170,0 days 00:00:02.545417,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,0.1,3,COMPLETE
8,8,-1.9309217656477082,2025-06-14 19:45:45.737719,2025-06-14 19:45:51.816215,0 days 00:00:06.078496,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,0.05,7,COMPLETE
9,9,-1.2176974246985885,2025-06-14 19:45:51.895899,2025-06-14 19:46:00.409779,0 days 00:00:08.513880,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,90,0.004,2m,4.0,1.5,0.9,844,432.0,0.007,4m,4.0,1.5,0.9,224.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,0.45,10,COMPLETE
