,number,value,datetime_start,datetime_complete,duration,params_AEP_MCHP_beta_win,params_AEP_MCHP_stop_loss,params_AEP_MCHP_trade_freq,params_AEP_MCHP_z_entry,params_AEP_MCHP_z_exit,params_AEP_MCHP_z_stop_scaler,params_AEP_MCHP_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_NFLX_beta_win,params_AMZN_NFLX_stop_loss,params_AMZN_NFLX_trade_freq,params_AMZN_NFLX_z_entry,params_AMZN_NFLX_z_exit,params_AMZN_NFLX_z_stop_scaler,params_AMZN_NFLX_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CCEP_MRVL_beta_win,params_CCEP_MRVL_stop_loss,params_CCEP_MRVL_trade_freq,params_CCEP_MRVL_z_entry,params_CCEP_MRVL_z_exit,params_CCEP_MRVL_z_stop_scaler,params_CCEP_MRVL_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_ISRG_MRVL_beta_win,params_ISRG_MRVL_stop_loss,params_ISRG_MRVL_trade_freq,params_ISRG_MRVL_z_entry,params_ISRG_MRVL_z_exit,params_ISRG_MRVL_z_stop_scaler,params_ISRG_MRVL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_LULU_TTD_beta_win,params_LULU_TTD_stop_loss,params_LULU_TTD_trade_freq,params_LULU_TTD_z_entry,params_LULU_TTD_z_exit,params_LULU_TTD_z_stop_scaler,params_LULU_TTD_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-4.684877000242696,2025-06-14 19:53:47.295294,2025-06-14 19:53:50.930309,0 days 00:00:03.635015,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,1.2000000000000002,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,0.6,502,546,0.002,4m,1.0,4.0,1.1,522,876.0,0.003,3m,1.0,3.0,1.3,394.0,0.45,3,COMPLETE
1,1,-2.548767375033289,2025-06-14 19:53:51.007565,2025-06-14 19:53:53.529308,0 days 00:00:02.521743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,0.01,4m,3.0,3.5,1.6,702,916,0.007,4m,2.5,3.5,1.9000000000000001,366,592.0,0.009000000000000001,2m,3.0,2.5,1.0,536.0,0.4,2,COMPLETE
2,2,-2.585567697684292,2025-06-14 19:53:53.599428,2025-06-14 19:54:02.236959,0 days 00:00:08.637531,388.0,0.001,2m,2.5,1.5,1.1,562.0,548.0,0.007,3m,2.5,1.0,0.7,330.0,156.0,0.004,1m,1.5,3.5,1.0,1014.0,230.0,0.001,1m,3.5,3.0,1.8,666.0,146.0,0.009000000000000001,3m,4.0,1.5,0.7,58.0,464.0,0.005,1m,2.0,1.5,1.5,544.0,828.0,0.001,3m,1.5,3.0,1.2000000000000002,612.0,360.0,0.007,2m,1.0,4.0,1.8,580.0,698,0.006,2m,4.0,4.0,2.0,284,876,0.008,1m,2.5,3.5,1.9000000000000001,844,386.0,0.001,4m,3.5,1.0,1.0,210.0,0.15000000000000002,10,COMPLETE
3,3,-0.7262095024748559,2025-06-14 19:54:02.277052,2025-06-14 19:54:08.593435,0 days 00:00:06.316383,,,,,,,,574.0,0.01,1m,2.0,4.0,1.7000000000000002,588.0,,,,,,,,580.0,0.004,1m,1.0,2.0,1.6,176.0,380.0,0.006,3m,2.5,3.5,0.9,274.0,,,,,,,,,,,,,,,268.0,0.01,2m,4.0,3.0,1.9000000000000001,604.0,180,0.006,2m,2.5,2.5,1.6,282,638,0.002,1m,1.5,4.0,1.1,462,852.0,0.006,4m,2.0,3.5,1.6,582.0,0.5,6,COMPLETE
4,4,-3.3760201098929965,2025-06-14 19:54:08.747920,2025-06-14 19:54:14.371722,0 days 00:00:05.623802,,,,,,,,,,,,,,,,,,,,,,384.0,0.007,3m,3.5,2.5,0.9,388.0,110.0,0.006,1m,3.0,1.0,1.5,746.0,,,,,,,,,,,,,,,248.0,0.002,2m,1.0,1.5,0.9,558.0,382,0.006,2m,2.0,1.5,2.0,754,132,0.002,2m,4.0,4.0,0.5,550,770.0,0.007,4m,1.5,1.0,1.6,18.0,0.1,5,COMPLETE
5,5,-3.133852644947539,2025-06-14 19:54:14.460237,2025-06-14 19:54:19.372197,0 days 00:00:04.911960,,,,,,,,,,,,,,,,,,,,,,878.0,0.006,3m,1.5,2.0,0.8,630.0,258.0,0.008,2m,2.0,3.5,1.7000000000000002,372.0,,,,,,,,,,,,,,,,,,,,,,250,0.003,4m,3.0,2.0,0.7,974,928,0.001,3m,1.0,3.0,0.8,680,610.0,0.009000000000000001,3m,3.0,1.5,2.0,478.0,0.45,4,COMPLETE
6,6,-1.6929937897278522,2025-06-14 19:54:19.453708,2025-06-14 19:54:24.315442,0 days 00:00:04.861734,,,,,,,,,,,,,,,,,,,,,,600.0,0.01,2m,2.0,3.5,1.4,222.0,954.0,0.008,2m,4.0,4.0,1.3,662.0,,,,,,,,,,,,,,,,,,,,,,758,0.005,2m,3.5,3.0,0.5,608,222,0.002,2m,3.5,1.5,0.6,480,754.0,0.004,1m,1.5,4.0,1.4,896.0,0.4,4,COMPLETE
7,7,-1.6288431786941107,2025-06-14 19:54:24.414952,2025-06-14 19:54:26.382812,0 days 00:00:01.967860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,0.01,3m,4.0,2.5,0.7,172,84,0.003,3m,2.0,4.0,0.6,150,,,,,,,,0.45,1,COMPLETE
8,8,-6.834827071868618,2025-06-14 19:54:26.468331,2025-06-14 19:54:34.081393,0 days 00:00:07.613062,,,,,,,,258.0,0.005,4m,2.5,2.0,1.0,314.0,,,,,,,,670.0,0.004,4m,3.5,3.5,1.0,112.0,600.0,0.006,4m,2.5,3.5,0.7,118.0,,,,,,,,832.0,0.01,3m,1.0,1.5,0.5,234.0,824.0,0.01,2m,2.5,2.5,1.9000000000000001,510.0,656,0.004,1m,1.5,2.5,0.8,894,164,0.01,3m,2.5,3.0,0.9,304,164.0,0.002,2m,1.5,1.0,1.6,656.0,0.35000000000000003,7,COMPLETE
9,9,0.6712359852246315,2025-06-14 19:54:34.184428,2025-06-14 19:54:37.207564,0 days 00:00:03.023136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.008,3m,3.5,2.5,1.3,954,178,0.008,2m,1.0,2.5,0.8,734,538.0,0.002,2m,2.5,4.0,1.0,786.0,0.1,2,COMPLETE
10,10,-5.307980658705691,2025-06-14 19:54:37.291570,2025-06-14 19:54:39.523352,0 days 00:00:02.231782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.001,3m,1.5,1.0,1.1,1018,370,0.005,2m,3.5,1.5,1.5,1004,,,,,,,,0.2,1,COMPLETE
11,11,-3.7003291040332145,2025-06-14 19:54:39.605869,2025-06-14 19:54:48.163094,0 days 00:00:08.557225,,,,,,,,926.0,0.01,1m,1.5,4.0,2.0,962.0,,,,,,,,46.0,0.004,1m,1.0,1.0,2.0,926.0,530.0,0.001,3m,1.0,2.5,1.0,1016.0,,,,,,,,56.0,0.005,1m,4.0,4.0,1.9000000000000001,966.0,76.0,0.01,4m,4.0,3.5,1.3,1008.0,106,0.008,1m,2.5,3.0,1.4,424,628,0.005,1m,1.5,2.0,1.3,740,998.0,0.006,4m,2.5,4.0,0.7,868.0,0.05,7,COMPLETE
12,12,-3.6712479161677023,2025-06-14 19:54:48.252605,2025-06-14 19:54:56.429880,0 days 00:00:08.177275,,,,,,,,620.0,0.002,1m,4.0,4.0,1.8,768.0,,,,,,,,748.0,0.009000000000000001,4m,1.0,1.0,1.6,50.0,804.0,0.002,3m,1.5,2.5,0.5,368.0,,,,,,,,164.0,0.01,4m,3.5,1.0,2.0,70.0,676.0,0.006,3m,4.0,2.5,1.4,122.0,478,0.007,3m,2.5,3.0,1.6,116,722,0.009000000000000001,1m,1.5,2.5,1.1,90,354.0,0.005,2m,2.5,3.0,0.5,720.0,0.25,7,COMPLETE
13,13,-2.3420522185105885,2025-06-14 19:54:56.540392,2025-06-14 19:55:06.580063,0 days 00:00:10.039671,1012.0,0.01,1m,1.0,4.0,2.0,44.0,60.0,0.01,2m,1.0,3.0,1.5,598.0,1016.0,0.008,2m,4.0,1.0,2.0,200.0,418.0,0.003,2m,2.5,2.0,0.5,270.0,354.0,0.004,4m,3.0,3.0,2.0,308.0,,,,,,,,470.0,0.001,2m,2.5,2.5,0.5,1014.0,1012.0,0.002,1m,3.0,1.0,2.0,914.0,214,0.008,2m,1.0,2.0,1.1,334,370,0.007,1m,1.5,2.5,1.5,882,100.0,0.007,1m,2.0,3.5,1.9000000000000001,750.0,0.3,9,COMPLETE
14,14,-4.122947010531935,2025-06-14 19:55:06.666087,2025-06-14 19:55:13.878529,0 days 00:00:07.212442,,,,,,,,852.0,0.007,1m,4.0,3.0,1.4,60.0,,,,,,,,246.0,0.007,1m,1.5,4.0,1.5,1014.0,374.0,0.004,1m,3.0,2.0,1.0,548.0,,,,,,,,,,,,,,,466.0,0.008,3m,3.0,3.0,0.5,226.0,520,0.007,3m,3.0,3.5,1.6,60,378,0.004,2m,1.0,1.0,0.9,672,440.0,0.004,4m,4.0,3.5,0.9,1002.0,0.5,6,COMPLETE
15,15,-3.1621048827044134,2025-06-14 19:55:13.966040,2025-06-14 19:55:20.329789,0 days 00:00:06.363749,,,,,,,,,,,,,,,,,,,,,,500.0,0.005,1m,4.0,1.5,2.0,770.0,744.0,0.01,3m,2.0,4.0,1.1,266.0,,,,,,,,,,,,,,,30.0,0.004,4m,2.0,2.0,1.6,794.0,182,0.004,2m,2.0,1.5,1.2000000000000002,808,732,0.007,1m,2.0,3.0,1.3,298,722.0,0.001,2m,2.0,2.5,1.6,580.0,0.05,5,COMPLETE
16,16,-0.8367870059270202,2025-06-14 19:55:20.413299,2025-06-14 19:55:24.441339,0 days 00:00:04.028040,,,,,,,,,,,,,,,,,,,,,,792.0,0.001,2m,2.0,2.5,1.2000000000000002,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.008,4m,3.5,2.5,1.4,244,16,0.006,2m,2.0,2.0,1.1,600,260.0,0.007,4m,2.0,3.5,1.2000000000000002,346.0,0.2,3,COMPLETE
17,17,-6.716546775124223,2025-06-14 19:55:24.563861,2025-06-14 19:55:33.690594,0 days 00:00:09.126733,28.0,0.005,4m,4.0,3.5,0.5,1000.0,338.0,0.001,2m,2.0,2.0,1.7000000000000002,578.0,882.0,0.001,4m,3.5,1.5,0.6,806.0,1020.0,0.008,4m,1.5,1.5,1.7000000000000002,138.0,26.0,0.004,3m,3.5,3.0,0.8,890.0,,,,,,,,1018.0,0.006,1m,2.5,4.0,1.3,538.0,236.0,0.004,1m,3.5,4.0,1.0,320.0,26,0.002,1m,2.0,1.5,1.8,430,286,0.01,4m,1.5,2.0,0.8,426,1016.0,0.005,2m,3.0,4.0,1.8,800.0,0.3,9,COMPLETE
