,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_CDW_PCAR_beta_win,params_CDW_PCAR_stop_loss,params_CDW_PCAR_trade_freq,params_CDW_PCAR_z_entry,params_CDW_PCAR_z_exit,params_CDW_PCAR_z_stop_scaler,params_CDW_PCAR_z_win,params_DASH_GEHC_beta_win,params_DASH_GEHC_stop_loss,params_DASH_GEHC_trade_freq,params_DASH_GEHC_z_entry,params_DASH_GEHC_z_exit,params_DASH_GEHC_z_stop_scaler,params_DASH_GEHC_z_win,params_FANG_WBD_beta_win,params_FANG_WBD_stop_loss,params_FANG_WBD_trade_freq,params_FANG_WBD_z_entry,params_FANG_WBD_z_exit,params_FANG_WBD_z_stop_scaler,params_FANG_WBD_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_HON_ROP_beta_win,params_HON_ROP_stop_loss,params_HON_ROP_trade_freq,params_HON_ROP_z_entry,params_HON_ROP_z_exit,params_HON_ROP_z_stop_scaler,params_HON_ROP_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_PAYX_PYPL_beta_win,params_PAYX_PYPL_stop_loss,params_PAYX_PYPL_trade_freq,params_PAYX_PYPL_z_entry,params_PAYX_PYPL_z_exit,params_PAYX_PYPL_z_stop_scaler,params_PAYX_PYPL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.6977491191519116,2025-06-14 20:00:21.654309,2025-06-14 20:00:24.360099,0 days 00:00:02.705790,1000.0,0.002,1m,2.5,2.0,0.6,468.0,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,0.5,3,COMPLETE
1,1,0.959001300038054,2025-06-14 20:00:24.463828,2025-06-14 20:00:27.043883,0 days 00:00:02.580055,984.0,0.006,3m,2.5,3.0,1.0,592.0,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,0.3,3,COMPLETE
2,2,0.7495662185007385,2025-06-14 20:00:27.098208,2025-06-14 20:00:34.376378,0 days 00:00:07.278170,572.0,0.008,4m,1.5,3.5,2.0,386.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,,,,,,,,110.0,0.003,4m,1.0,4.0,1.6,146.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,270,0.008,4m,1.0,1.5,0.5,50,0.2,9,COMPLETE
3,3,-0.15315174462141778,2025-06-14 20:00:34.439667,2025-06-14 20:00:38.624342,0 days 00:00:04.184675,352.0,0.007,2m,1.0,3.5,1.3,856.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,0.05,5,COMPLETE
4,4,-0.13612798268186188,2025-06-14 20:00:38.706348,2025-06-14 20:00:43.013413,0 days 00:00:04.307065,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,0.2,5,COMPLETE
5,5,-2.2147341574990627,2025-06-14 20:00:43.605492,2025-06-14 20:00:50.311578,0 days 00:00:06.706086,804.0,0.008,1m,2.5,3.5,0.6,550.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,,,,,,,,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,430,0.001,4m,2.5,4.0,0.8,278,0.15000000000000002,8,COMPLETE
6,6,1.2310846588313462,2025-06-14 20:00:50.369166,2025-06-14 20:00:53.441037,0 days 00:00:03.071871,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,0.45,4,COMPLETE
7,7,1.4707319237678291,2025-06-14 20:00:53.514419,2025-06-14 20:00:56.191851,0 days 00:00:02.677432,948.0,0.008,2m,4.0,3.0,1.6,760.0,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,0.1,3,COMPLETE
8,8,-3.130366408998659,2025-06-14 20:00:56.264433,2025-06-14 20:01:01.785851,0 days 00:00:05.521418,150.0,0.002,2m,4.0,3.0,1.4,444.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,0.05,7,COMPLETE
9,9,-2.89023446754189,2025-06-14 20:01:01.874973,2025-06-14 20:01:09.959935,0 days 00:00:08.084962,1010.0,0.007,3m,4.0,1.5,0.8,766.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,90,0.004,2m,4.0,1.5,0.9,844,0.45,10,COMPLETE
