date,time,PRICE_MDLZ_MDLZ_ON_ZM,PRICE_ZM_MDLZ_ON_ZM,BETA_MDLZ_ON_ZM,SPREAD_MDLZ_ON_ZM,Z_MDLZ_ON_ZM,Z_VOL_MDLZ_ON_ZM,market_close,SIGNAL_MDLZ_ON_ZM,POS_MDLZ_ON_ZM,POS_BETA_MDLZ_ON_ZM,PAIR_BASE_MDLZ_ON_ZM,PAIR_RET_MDLZ_ON_ZM,SL_MDLZ_ON_ZM,LOSS_MDLZ_ON_ZM,COOLDOWN_MDLZ_ON_ZM,CAPITAL_MDLZ_ON_ZM,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-09-18,13:29:00.000000000,72.35,70.7,0.5359204656550853,34.46042307818546,-0.4943065878468116,0.33828916678817966,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:30:00.000000000,72.27,70.83,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:31:00.000000000,72.08,70.85,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:32:00.000000000,72.05,70.98,0.5361169050927355,33.99642207651763,-0.7754244424004965,0.33172084640175953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:33:00.000000000,72.11,71.11,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:34:00.000000000,71.98,71.0535,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:35:00.000000000,72.07,71.015,0.5362746210766776,33.98645778423973,-0.7684255418320759,0.3251180130571117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:36:00.000000000,71.96,71.04,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:37:00.000000000,71.98,71.09,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:38:00.000000000,71.96,71.02,0.536388940546249,33.86565744240539,-0.8400457815172806,0.31761223523879406,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:39:00.000000000,72.03,70.81,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:40:00.000000000,72.04,70.74,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:41:00.000000000,72.055,70.68,0.5364218309840312,34.14070498604868,-0.6267459056546507,0.3148755842322733,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:42:00.000000000,72.005,70.54,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:43:00.000000000,71.935,70.52,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:44:00.000000000,72.02,70.63,0.536360013233287,34.13689226533294,-0.6157499326610055,0.3127968975982358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:45:00.000000000,72.05,70.58,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:46:00.000000000,72.045,70.5411,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:47:00.000000000,72.06,70.41,0.5359936920443064,34.32068414316039,-0.449422661850259,0.3156359011084026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:48:00.000000000,72.075,70.47,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-09-18,13:49:00.000000000,72.0,70.45,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
