,number,value,datetime_start,datetime_complete,duration,params_AMAT_TXN_beta_win,params_AMAT_TXN_stop_loss,params_AMAT_TXN_trade_freq,params_AMAT_TXN_z_entry,params_AMAT_TXN_z_exit,params_AMAT_TXN_z_stop_scaler,params_AMAT_TXN_z_win,params_ASML_CSCO_beta_win,params_ASML_CSCO_stop_loss,params_ASML_CSCO_trade_freq,params_ASML_CSCO_z_entry,params_ASML_CSCO_z_exit,params_ASML_CSCO_z_stop_scaler,params_ASML_CSCO_z_win,params_CHTR_CTAS_beta_win,params_CHTR_CTAS_stop_loss,params_CHTR_CTAS_trade_freq,params_CHTR_CTAS_z_entry,params_CHTR_CTAS_z_exit,params_CHTR_CTAS_z_stop_scaler,params_CHTR_CTAS_z_win,params_CMCSA_CSCO_beta_win,params_CMCSA_CSCO_stop_loss,params_CMCSA_CSCO_trade_freq,params_CMCSA_CSCO_z_entry,params_CMCSA_CSCO_z_exit,params_CMCSA_CSCO_z_stop_scaler,params_CMCSA_CSCO_z_win,params_CSCO_GOOGL_beta_win,params_CSCO_GOOGL_stop_loss,params_CSCO_GOOGL_trade_freq,params_CSCO_GOOGL_z_entry,params_CSCO_GOOGL_z_exit,params_CSCO_GOOGL_z_stop_scaler,params_CSCO_GOOGL_z_win,params_CSCO_GOOG_beta_win,params_CSCO_GOOG_stop_loss,params_CSCO_GOOG_trade_freq,params_CSCO_GOOG_z_entry,params_CSCO_GOOG_z_exit,params_CSCO_GOOG_z_stop_scaler,params_CSCO_GOOG_z_win,params_CSCO_NXPI_beta_win,params_CSCO_NXPI_stop_loss,params_CSCO_NXPI_trade_freq,params_CSCO_NXPI_z_entry,params_CSCO_NXPI_z_exit,params_CSCO_NXPI_z_stop_scaler,params_CSCO_NXPI_z_win,params_CSCO_SBUX_beta_win,params_CSCO_SBUX_stop_loss,params_CSCO_SBUX_trade_freq,params_CSCO_SBUX_z_entry,params_CSCO_SBUX_z_exit,params_CSCO_SBUX_z_stop_scaler,params_CSCO_SBUX_z_win,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_LRCX_TXN_beta_win,params_LRCX_TXN_stop_loss,params_LRCX_TXN_trade_freq,params_LRCX_TXN_z_entry,params_LRCX_TXN_z_exit,params_LRCX_TXN_z_stop_scaler,params_LRCX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.5394140857054243,2025-06-15 23:02:13.010502,2025-06-15 23:02:31.847545,0 days 00:00:18.837043,320.0,0.05,6m,1.4,0.6,1.1,320.0,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-1.3166810481024076,2025-06-15 23:02:31.945400,2025-06-15 23:02:40.924422,0 days 00:00:08.979022,576.0,0.025,10m,0.7,1.3,1.1,384.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,40.0,0.05,1m,0.6,0.6,1.1,416.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,,,,,,,,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,0.3,9,COMPLETE
2,2,-5.118571930089355,2025-06-15 23:02:40.993336,2025-06-15 23:02:49.824100,0 days 00:00:08.830764,496.0,0.05,7m,1.5,1.1,1.6,672.0,584,0.025,8m,1.3,0.6,1.6,376,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,,,,,,,,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,0.15000000000000002,9,COMPLETE
3,3,-2.453432539897948,2025-06-15 23:02:49.909829,2025-06-15 23:02:53.757440,0 days 00:00:03.847611,848.0,0.025,6m,0.9,1.3,1.1,672.0,264,0.05,10m,1.5,0.5,1.6,720,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-5.979853867147968,2025-06-15 23:02:53.847460,2025-06-15 23:03:01.527298,0 days 00:00:07.679838,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,,,,,,,,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,,,,,,,,864.0,0.05,2m,1.4,0.9,2.0,168.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,0.4,8,COMPLETE
5,5,-44.557807091259576,2025-06-15 23:03:01.655213,2025-06-15 23:03:07.500052,0 days 00:00:05.844839,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,792,0.025,5m,1.5,1.0,1.6,528,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,,,,,,,,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,0.35000000000000003,6,COMPLETE
6,6,-0.40442048444049566,2025-06-15 23:03:07.567194,2025-06-15 23:03:11.743476,0 days 00:00:04.176282,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,608,0.05,2m,1.4,1.5,1.3,472,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-0.11418586880975413,2025-06-15 23:03:11.833039,2025-06-15 23:03:15.753854,0 days 00:00:03.920815,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-0.7555712949184673,2025-06-15 23:03:15.838623,2025-06-15 23:03:17.983517,0 days 00:00:02.144894,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-23.0685813675293,2025-06-15 23:03:18.058281,2025-06-15 23:03:24.679895,0 days 00:00:06.621614,344.0,0.025,10m,0.7,1.0,1.5,40.0,560,0.025,4m,0.5,0.6,1.3,528,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,,,,,,,,,,,,,,,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,0.1,7,COMPLETE
