,number,value,datetime_start,datetime_complete,duration,params_AMAT_TXN_beta_win,params_AMAT_TXN_stop_loss,params_AMAT_TXN_trade_freq,params_AMAT_TXN_z_entry,params_AMAT_TXN_z_exit,params_AMAT_TXN_z_stop_scaler,params_AMAT_TXN_z_win,params_AMZN_SIRI_beta_win,params_AMZN_SIRI_stop_loss,params_AMZN_SIRI_trade_freq,params_AMZN_SIRI_z_entry,params_AMZN_SIRI_z_exit,params_AMZN_SIRI_z_stop_scaler,params_AMZN_SIRI_z_win,params_BKNG_ZM_beta_win,params_BKNG_ZM_stop_loss,params_BKNG_ZM_trade_freq,params_BKNG_ZM_z_entry,params_BKNG_ZM_z_exit,params_BKNG_ZM_z_stop_scaler,params_BKNG_ZM_z_win,params_COST_PCAR_beta_win,params_COST_PCAR_stop_loss,params_COST_PCAR_trade_freq,params_COST_PCAR_z_entry,params_COST_PCAR_z_exit,params_COST_PCAR_z_stop_scaler,params_COST_PCAR_z_win,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_CTAS_PCAR_beta_win,params_CTAS_PCAR_stop_loss,params_CTAS_PCAR_trade_freq,params_CTAS_PCAR_z_entry,params_CTAS_PCAR_z_exit,params_CTAS_PCAR_z_stop_scaler,params_CTAS_PCAR_z_win,params_JD_SIRI_beta_win,params_JD_SIRI_stop_loss,params_JD_SIRI_trade_freq,params_JD_SIRI_z_entry,params_JD_SIRI_z_exit,params_JD_SIRI_z_stop_scaler,params_JD_SIRI_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_MDLZ_SIRI_beta_win,params_MDLZ_SIRI_stop_loss,params_MDLZ_SIRI_trade_freq,params_MDLZ_SIRI_z_entry,params_MDLZ_SIRI_z_exit,params_MDLZ_SIRI_z_stop_scaler,params_MDLZ_SIRI_z_win,params_SGEN_SIRI_beta_win,params_SGEN_SIRI_stop_loss,params_SGEN_SIRI_trade_freq,params_SGEN_SIRI_z_entry,params_SGEN_SIRI_z_exit,params_SGEN_SIRI_z_stop_scaler,params_SGEN_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.2739998504648276,2025-06-15 23:02:12.972473,2025-06-15 23:02:31.760574,0 days 00:00:18.788101,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,0.2,3,COMPLETE
1,1,-3.0931781946658017,2025-06-15 23:02:31.822554,2025-06-15 23:02:41.196044,0 days 00:00:09.373490,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,,,,,,,,40.0,0.05,1m,0.6,0.6,1.1,416.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,576.0,0.025,10m,0.7,1.3,1.1,384.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,0.3,9,COMPLETE
2,2,-2.5334553852049986,2025-06-15 23:02:41.267465,2025-06-15 23:02:50.386715,0 days 00:00:09.119250,488.0,0.05,7m,0.6,1.4,1.3,352.0,,,,,,,,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,584,0.025,8m,1.3,0.6,1.6,376,496.0,0.05,7m,1.5,1.1,1.6,672.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,0.15000000000000002,9,COMPLETE
3,3,-1.3014949098691726,2025-06-15 23:02:50.467035,2025-06-15 23:02:54.447953,0 days 00:00:03.980918,,,,,,,,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,,,,,,,,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,0.05,4,COMPLETE
4,4,-1.8449137782317786,2025-06-15 23:02:54.512109,2025-06-15 23:03:02.700011,0 days 00:00:08.187902,,,,,,,,,,,,,,,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,0.4,8,COMPLETE
5,5,-13.812257419881341,2025-06-15 23:03:02.777661,2025-06-15 23:03:09.045773,0 days 00:00:06.268112,,,,,,,,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,792,0.025,5m,1.5,1.0,1.6,528,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,0.047924585599115326,2025-06-15 23:03:09.122956,2025-06-15 23:03:13.515304,0 days 00:00:04.392348,,,,,,,,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,0.4,4,COMPLETE
7,7,0.14318521291673747,2025-06-15 23:03:13.596698,2025-06-15 23:03:17.765394,0 days 00:00:04.168696,,,,,,,,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,0.3,4,COMPLETE
8,8,-0.9983779516817922,2025-06-15 23:03:17.850917,2025-06-15 23:03:19.873958,0 days 00:00:02.023041,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,0.016265185079594072,2025-06-15 23:03:19.952707,2025-06-15 23:03:27.040985,0 days 00:00:07.088278,,,,,,,,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,,,,,,,,584.0,0.025,1m,1.3,0.8,1.1,744.0,560,0.025,4m,0.5,0.6,1.3,528,344.0,0.025,10m,0.7,1.0,1.5,40.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,0.1,7,COMPLETE
10,10,-0.19309115300884047,2025-06-15 23:03:27.132813,2025-06-15 23:03:36.992998,0 days 00:00:09.860185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,7m,0.8,1.3,1.1,48,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,-1.452507188206057,2025-06-15 23:03:37.068841,2025-06-15 23:03:41.503595,0 days 00:00:04.434754,,,,,,,,,,,,,,,352.0,0.025,2m,1.2000000000000002,1.5,1.3,912.0,624.0,0.025,5m,1.1,0.5,1.1,832.0,1008.0,0.025,9m,1.5,1.5,2.0,48.0,,,,,,,,,,,,,,,416,0.05,2m,0.8,1.5,1.3,984,1016.0,0.025,4m,1.2000000000000002,1.5,1.4000000000000001,912.0,,,,,,,,0.45,5,COMPLETE
12,12,-7.368046109809766,2025-06-15 23:03:41.577242,2025-06-15 23:03:45.122980,0 days 00:00:03.545738,,,,,,,,,,,,,,,72.0,0.025,7m,0.9,1.0,1.1,680.0,576.0,0.025,6m,1.2000000000000002,0.5,1.3,752.0,,,,,,,,,,,,,,,,,,,,,,768,0.05,1m,0.8,1.5,1.3,64,776.0,0.05,2m,1.0,1.5,1.3,752.0,,,,,,,,0.25,4,COMPLETE
13,13,-3.733828307408042,2025-06-15 23:03:45.211115,2025-06-15 23:03:49.851892,0 days 00:00:04.640777,,,,,,,,,,,,,,,392.0,0.025,4m,1.2000000000000002,1.2000000000000002,1.3,1008.0,400.0,0.025,9m,1.3,1.5,1.7000000000000002,16.0,32.0,0.025,2m,1.2000000000000002,0.5,1.1,752.0,,,,,,,,,,,,,,,488,0.05,2m,1.0,1.2000000000000002,1.2000000000000002,240,968.0,0.025,1m,1.2000000000000002,1.3,1.7000000000000002,792.0,,,,,,,,0.4,5,COMPLETE
