,number,value,datetime_start,datetime_complete,duration,params_AEP_HON_beta_win,params_AEP_HON_stop_loss,params_AEP_HON_trade_freq,params_AEP_HON_z_entry,params_AEP_HON_z_exit,params_AEP_HON_z_stop_scaler,params_AEP_HON_z_win,params_ATVI_ROST_beta_win,params_ATVI_ROST_stop_loss,params_ATVI_ROST_trade_freq,params_ATVI_ROST_z_entry,params_ATVI_ROST_z_exit,params_ATVI_ROST_z_stop_scaler,params_ATVI_ROST_z_win,params_BIDU_SIRI_beta_win,params_BIDU_SIRI_stop_loss,params_BIDU_SIRI_trade_freq,params_BIDU_SIRI_z_entry,params_BIDU_SIRI_z_exit,params_BIDU_SIRI_z_stop_scaler,params_BIDU_SIRI_z_win,params_FOXA_MAR_beta_win,params_FOXA_MAR_stop_loss,params_FOXA_MAR_trade_freq,params_FOXA_MAR_z_entry,params_FOXA_MAR_z_exit,params_FOXA_MAR_z_stop_scaler,params_FOXA_MAR_z_win,params_FOX_MAR_beta_win,params_FOX_MAR_stop_loss,params_FOX_MAR_trade_freq,params_FOX_MAR_z_entry,params_FOX_MAR_z_exit,params_FOX_MAR_z_stop_scaler,params_FOX_MAR_z_win,params_GOOGL_VRTX_beta_win,params_GOOGL_VRTX_stop_loss,params_GOOGL_VRTX_trade_freq,params_GOOGL_VRTX_z_entry,params_GOOGL_VRTX_z_exit,params_GOOGL_VRTX_z_stop_scaler,params_GOOGL_VRTX_z_win,params_GOOG_VRTX_beta_win,params_GOOG_VRTX_stop_loss,params_GOOG_VRTX_trade_freq,params_GOOG_VRTX_z_entry,params_GOOG_VRTX_z_exit,params_GOOG_VRTX_z_stop_scaler,params_GOOG_VRTX_z_win,params_HON_JD_beta_win,params_HON_JD_stop_loss,params_HON_JD_trade_freq,params_HON_JD_z_entry,params_HON_JD_z_exit,params_HON_JD_z_stop_scaler,params_HON_JD_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_KHC_ROST_beta_win,params_KHC_ROST_stop_loss,params_KHC_ROST_trade_freq,params_KHC_ROST_z_entry,params_KHC_ROST_z_exit,params_KHC_ROST_z_stop_scaler,params_KHC_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.1458702567283323,2025-06-15 23:02:12.976489,2025-06-15 23:02:31.633872,0 days 00:00:18.657383,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-10.299867046355555,2025-06-15 23:02:31.697138,2025-06-15 23:02:41.251785,0 days 00:00:09.554647,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,,,,,,,,216.0,0.025,8m,0.8,1.0,2.0,712.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,0.3,9,COMPLETE
2,2,-6.033342275939787,2025-06-15 23:02:41.347022,2025-06-15 23:02:50.631216,0 days 00:00:09.284194,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,,,,,,,,384.0,0.05,9m,1.3,1.0,1.5,384.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,584,0.025,8m,1.3,0.6,1.6,376,96.0,0.05,9m,0.7,1.0,1.1,560.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,0.15000000000000002,9,COMPLETE
3,3,-1.507992310203581,2025-06-15 23:02:50.737318,2025-06-15 23:02:54.798440,0 days 00:00:04.061122,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,848.0,0.025,6m,0.9,1.3,1.1,672.0,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,0.35180436721752495,2025-06-15 23:02:54.887562,2025-06-15 23:03:03.124285,0 days 00:00:08.236723,864.0,0.05,2m,1.4,0.9,2.0,168.0,,,,,,,,,,,,,,,88.0,0.025,8m,1.5,0.7,1.3,848.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,816.0,0.05,7m,1.5,1.3,2.0,1008.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,0.4,8,COMPLETE
5,5,-18.954802846929386,2025-06-15 23:03:03.201677,2025-06-15 23:03:09.517705,0 days 00:00:06.316028,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,,,,,,,,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,0.35000000000000003,6,COMPLETE
6,6,-3.413450223543062,2025-06-15 23:03:09.646625,2025-06-15 23:03:14.014663,0 days 00:00:04.368038,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-0.7474976944926611,2025-06-15 23:03:14.098324,2025-06-15 23:03:18.383336,0 days 00:00:04.285012,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-0.027230888583562388,2025-06-15 23:03:18.473355,2025-06-15 23:03:20.557260,0 days 00:00:02.083905,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-9.269997349184495,2025-06-15 23:03:20.630324,2025-06-15 23:03:27.726530,0 days 00:00:07.096206,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,,,,,,,,,,,,,,,584.0,0.025,1m,1.3,0.8,1.1,744.0,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,344.0,0.025,10m,0.7,1.0,1.5,40.0,560,0.025,4m,0.5,0.6,1.3,528,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,0.1,7,COMPLETE
