,number,value,datetime_start,datetime_complete,duration,params_ADBE_SIRI_beta_win,params_ADBE_SIRI_stop_loss,params_ADBE_SIRI_trade_freq,params_ADBE_SIRI_z_entry,params_ADBE_SIRI_z_exit,params_ADBE_SIRI_z_stop_scaler,params_ADBE_SIRI_z_win,params_AMAT_SIRI_beta_win,params_AMAT_SIRI_stop_loss,params_AMAT_SIRI_trade_freq,params_AMAT_SIRI_z_entry,params_AMAT_SIRI_z_exit,params_AMAT_SIRI_z_stop_scaler,params_AMAT_SIRI_z_win,params_BIDU_SIRI_beta_win,params_BIDU_SIRI_stop_loss,params_BIDU_SIRI_trade_freq,params_BIDU_SIRI_z_entry,params_BIDU_SIRI_z_exit,params_BIDU_SIRI_z_stop_scaler,params_BIDU_SIRI_z_win,params_DDOG_ZS_beta_win,params_DDOG_ZS_stop_loss,params_DDOG_ZS_trade_freq,params_DDOG_ZS_z_entry,params_DDOG_ZS_z_exit,params_DDOG_ZS_z_stop_scaler,params_DDOG_ZS_z_win,params_FB_SIRI_beta_win,params_FB_SIRI_stop_loss,params_FB_SIRI_trade_freq,params_FB_SIRI_z_entry,params_FB_SIRI_z_exit,params_FB_SIRI_z_stop_scaler,params_FB_SIRI_z_win,params_JD_SIRI_beta_win,params_JD_SIRI_stop_loss,params_JD_SIRI_trade_freq,params_JD_SIRI_z_entry,params_JD_SIRI_z_exit,params_JD_SIRI_z_stop_scaler,params_JD_SIRI_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_stop_loss,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_stop_scaler,params_NVDA_SIRI_z_win,params_PDD_ORLY_beta_win,params_PDD_ORLY_stop_loss,params_PDD_ORLY_trade_freq,params_PDD_ORLY_z_entry,params_PDD_ORLY_z_exit,params_PDD_ORLY_z_stop_scaler,params_PDD_ORLY_z_win,params_PDD_SIRI_beta_win,params_PDD_SIRI_stop_loss,params_PDD_SIRI_trade_freq,params_PDD_SIRI_z_entry,params_PDD_SIRI_z_exit,params_PDD_SIRI_z_stop_scaler,params_PDD_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.029954690826811448,2025-06-15 23:02:12.968717,2025-06-15 23:02:31.787917,0 days 00:00:18.819200,,,,,,,,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,0.2,3,COMPLETE
1,1,-5.60870014315408,2025-06-15 23:02:31.849553,2025-06-15 23:02:41.221381,0 days 00:00:09.371828,,,,,,,,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,576.0,0.025,10m,0.7,1.3,1.1,384.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,0.3,9,COMPLETE
2,2,-2.2322048666404464,2025-06-15 23:02:41.303310,2025-06-15 23:02:50.570447,0 days 00:00:09.267137,,,,,,,,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,584,0.025,8m,1.3,0.6,1.6,376,496.0,0.05,7m,1.5,1.1,1.6,672.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,0.15000000000000002,9,COMPLETE
3,3,-2.3814206163966722,2025-06-15 23:02:50.642817,2025-06-15 23:02:54.691244,0 days 00:00:04.048427,,,,,,,,,,,,,,,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,848.0,0.025,6m,0.9,1.3,1.1,672.0,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,0.05,4,COMPLETE
4,4,-1.5656160686729,2025-06-15 23:02:54.766603,2025-06-15 23:03:02.747498,0 days 00:00:07.980895,,,,,,,,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,,,,,,,,864.0,0.05,2m,1.4,0.9,2.0,168.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,0.4,8,COMPLETE
5,5,-3.764128324224181,2025-06-15 23:03:02.815248,2025-06-15 23:03:09.081357,0 days 00:00:06.266109,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,792,0.025,5m,1.5,1.0,1.6,528,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,,,,,,,,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,-0.7398031664643787,2025-06-15 23:03:09.160706,2025-06-15 23:03:13.621698,0 days 00:00:04.460992,,,,,,,,,,,,,,,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,0.4,4,COMPLETE
7,7,-1.3538358687754135,2025-06-15 23:03:13.717724,2025-06-15 23:03:17.997540,0 days 00:00:04.279816,,,,,,,,,,,,,,,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,0.3,4,COMPLETE
8,8,0.06992463553921008,2025-06-15 23:03:18.071280,2025-06-15 23:03:20.184802,0 days 00:00:02.113522,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,0.3,2,COMPLETE
9,9,-3.5096854582029,2025-06-15 23:03:20.240415,2025-06-15 23:03:27.228317,0 days 00:00:06.987902,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,560,0.025,4m,0.5,0.6,1.3,528,344.0,0.025,10m,0.7,1.0,1.5,40.0,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,,,,,,,,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,,,,,,,,0.1,7,COMPLETE
