,number,value,datetime_start,datetime_complete,duration,params_ADP_AMAT_beta_win,params_ADP_AMAT_stop_loss,params_ADP_AMAT_trade_freq,params_ADP_AMAT_z_entry,params_ADP_AMAT_z_exit,params_ADP_AMAT_z_stop_scaler,params_ADP_AMAT_z_win,params_ADP_NXPI_beta_win,params_ADP_NXPI_stop_loss,params_ADP_NXPI_trade_freq,params_ADP_NXPI_z_entry,params_ADP_NXPI_z_exit,params_ADP_NXPI_z_stop_scaler,params_ADP_NXPI_z_win,params_ATVI_NXPI_beta_win,params_ATVI_NXPI_stop_loss,params_ATVI_NXPI_trade_freq,params_ATVI_NXPI_z_entry,params_ATVI_NXPI_z_exit,params_ATVI_NXPI_z_stop_scaler,params_ATVI_NXPI_z_win,params_ATVI_ODFL_beta_win,params_ATVI_ODFL_stop_loss,params_ATVI_ODFL_trade_freq,params_ATVI_ODFL_z_entry,params_ATVI_ODFL_z_exit,params_ATVI_ODFL_z_stop_scaler,params_ATVI_ODFL_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FAST_NXPI_beta_win,params_FAST_NXPI_stop_loss,params_FAST_NXPI_trade_freq,params_FAST_NXPI_z_entry,params_FAST_NXPI_z_exit,params_FAST_NXPI_z_stop_scaler,params_FAST_NXPI_z_win,params_GOOGL_FTNT_beta_win,params_GOOGL_FTNT_stop_loss,params_GOOGL_FTNT_trade_freq,params_GOOGL_FTNT_z_entry,params_GOOGL_FTNT_z_exit,params_GOOGL_FTNT_z_stop_scaler,params_GOOGL_FTNT_z_win,params_MRNA_PCAR_beta_win,params_MRNA_PCAR_stop_loss,params_MRNA_PCAR_trade_freq,params_MRNA_PCAR_z_entry,params_MRNA_PCAR_z_exit,params_MRNA_PCAR_z_stop_scaler,params_MRNA_PCAR_z_win,params_PCAR_TXN_beta_win,params_PCAR_TXN_stop_loss,params_PCAR_TXN_trade_freq,params_PCAR_TXN_z_entry,params_PCAR_TXN_z_exit,params_PCAR_TXN_z_stop_scaler,params_PCAR_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.5580446746983291,2025-06-15 23:02:13.628021,2025-06-15 23:02:32.559915,0 days 00:00:18.931894,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,0.2,3,COMPLETE
1,1,-6.396681963460423,2025-06-15 23:02:32.643627,2025-06-15 23:02:41.981248,0 days 00:00:09.337621,576.0,0.025,10m,0.7,1.3,1.1,384.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,,,,,,,,40.0,0.05,1m,0.6,0.6,1.1,416.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,0.3,9,COMPLETE
2,2,-2.6308316750343153,2025-06-15 23:02:42.089007,2025-06-15 23:02:51.513991,0 days 00:00:09.424984,496.0,0.05,7m,1.5,1.1,1.6,672.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,,,,,,,,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,584,0.025,8m,1.3,0.6,1.6,376,96.0,0.05,9m,0.7,1.0,1.1,560.0,0.15000000000000002,9,COMPLETE
3,3,1.4580052047447756,2025-06-15 23:02:51.605323,2025-06-15 23:02:55.606112,0 days 00:00:04.000789,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,,,,,,,,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,0.05,4,COMPLETE
4,4,0.10470276003204804,2025-06-15 23:02:55.665116,2025-06-15 23:03:03.896929,0 days 00:00:08.231813,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,,,,,,,,88.0,0.025,8m,1.5,0.7,1.3,848.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,,,,,,,,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,816.0,0.05,7m,1.5,1.3,2.0,1008.0,0.4,8,COMPLETE
5,5,-7.9550618209042705,2025-06-15 23:03:03.976060,2025-06-15 23:03:10.274666,0 days 00:00:06.298606,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,-3.363004030786138,2025-06-15 23:03:10.354173,2025-06-15 23:03:14.665028,0 days 00:00:04.310855,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,,,,,,,,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,0.4,4,COMPLETE
7,7,2.916915572364492,2025-06-15 23:03:14.748438,2025-06-15 23:03:18.925459,0 days 00:00:04.177021,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,,,,,,,,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,0.3,4,COMPLETE
8,8,0.18457088223621923,2025-06-15 23:03:18.993797,2025-06-15 23:03:21.063682,0 days 00:00:02.069885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,0.3,2,COMPLETE
9,9,-3.2765206229072374,2025-06-15 23:03:21.130040,2025-06-15 23:03:28.307819,0 days 00:00:07.177779,344.0,0.025,10m,0.7,1.0,1.5,40.0,,,,,,,,584.0,0.025,1m,1.3,0.8,1.1,744.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,560,0.025,4m,0.5,0.6,1.3,528,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,0.1,7,COMPLETE
