,number,value,datetime_start,datetime_complete,duration,params_AAPL_BIDU_beta_win,params_AAPL_BIDU_stop_loss,params_AAPL_BIDU_trade_freq,params_AAPL_BIDU_z_entry,params_AAPL_BIDU_z_exit,params_AAPL_BIDU_z_stop_scaler,params_AAPL_BIDU_z_win,params_ALGN_KDP_beta_win,params_ALGN_KDP_stop_loss,params_ALGN_KDP_trade_freq,params_ALGN_KDP_z_entry,params_ALGN_KDP_z_exit,params_ALGN_KDP_z_stop_scaler,params_ALGN_KDP_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_SBUX_KDP_beta_win,params_SBUX_KDP_stop_loss,params_SBUX_KDP_trade_freq,params_SBUX_KDP_z_entry,params_SBUX_KDP_z_exit,params_SBUX_KDP_z_stop_scaler,params_SBUX_KDP_z_win,params_ZS_ADI_beta_win,params_ZS_ADI_stop_loss,params_ZS_ADI_trade_freq,params_ZS_ADI_z_entry,params_ZS_ADI_z_exit,params_ZS_ADI_z_stop_scaler,params_ZS_ADI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.29256423078919563,2025-06-15 23:13:02.795566,2025-06-15 23:13:06.387207,0 days 00:00:03.591641,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,1.267640081270637,2025-06-15 23:13:06.460716,2025-06-15 23:13:15.104429,0 days 00:00:08.643713,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,576.0,0.025,10m,0.7,1.3,1.1,384.0,,,,,,,,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,0.3,9,COMPLETE
2,2,-0.7098629651166588,2025-06-15 23:13:15.197769,2025-06-15 23:13:24.126029,0 days 00:00:08.928260,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,584,0.025,8m,1.3,0.6,1.6,376,496.0,0.05,7m,1.5,1.1,1.6,672.0,,,,,,,,96.0,0.05,9m,0.7,1.0,1.1,560.0,0.15000000000000002,9,COMPLETE
3,3,-2.010562320372208,2025-06-15 23:13:24.204465,2025-06-15 23:13:28.221560,0 days 00:00:04.017095,,,,,,,,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-1.2954475118999957,2025-06-15 23:13:28.323338,2025-06-15 23:13:36.034965,0 days 00:00:07.711627,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,,,,,,,,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,,,,,,,,816.0,0.05,7m,1.5,1.3,2.0,1008.0,0.4,8,COMPLETE
5,5,-20.358146433868935,2025-06-15 23:13:36.146610,2025-06-15 23:13:41.871876,0 days 00:00:05.725266,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,792,0.025,5m,1.5,1.0,1.6,528,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,-0.7880223191195792,2025-06-15 23:13:41.988886,2025-06-15 23:13:45.840733,0 days 00:00:03.851847,,,,,,,,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,1.589029638843122,2025-06-15 23:13:45.918674,2025-06-15 23:13:49.690739,0 days 00:00:03.772065,,,,,,,,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,2.488011775036945,2025-06-15 23:13:49.771272,2025-06-15 23:13:51.668329,0 days 00:00:01.897057,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-7.082837760878194,2025-06-15 23:13:51.739314,2025-06-15 23:13:58.813498,0 days 00:00:07.074184,264.0,0.025,6m,0.8,0.9,1.1,536.0,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,,,,,,,,560,0.025,4m,0.5,0.6,1.3,528,344.0,0.025,10m,0.7,1.0,1.5,40.0,,,,,,,,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,0.1,7,COMPLETE
