,number,value,datetime_start,datetime_complete,duration,params_CHTR_SWKS_beta_win,params_CHTR_SWKS_stop_loss,params_CHTR_SWKS_trade_freq,params_CHTR_SWKS_z_entry,params_CHTR_SWKS_z_exit,params_CHTR_SWKS_z_stop_scaler,params_CHTR_SWKS_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_CMCSA_SWKS_beta_win,params_CMCSA_SWKS_stop_loss,params_CMCSA_SWKS_trade_freq,params_CMCSA_SWKS_z_entry,params_CMCSA_SWKS_z_exit,params_CMCSA_SWKS_z_stop_scaler,params_CMCSA_SWKS_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_MAR_beta_win,params_FISV_MAR_stop_loss,params_FISV_MAR_trade_freq,params_FISV_MAR_z_entry,params_FISV_MAR_z_exit,params_FISV_MAR_z_stop_scaler,params_FISV_MAR_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_OKTA_SBUX_beta_win,params_OKTA_SBUX_stop_loss,params_OKTA_SBUX_trade_freq,params_OKTA_SBUX_z_entry,params_OKTA_SBUX_z_exit,params_OKTA_SBUX_z_stop_scaler,params_OKTA_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.5266622953907293,2025-06-15 23:16:54.002010,2025-06-15 23:16:56.923658,0 days 00:00:02.921648,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-8.21908726749139,2025-06-15 23:16:57.000344,2025-06-15 23:17:05.096370,0 days 00:00:08.096026,40.0,0.05,1m,0.6,0.6,1.1,416.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,488.0,0.05,7m,1.4,1.4,1.6,512.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,,,,,,,,0.3,9,COMPLETE
2,2,0.8538099677581091,2025-06-15 23:17:05.164774,2025-06-15 23:17:12.963318,0 days 00:00:07.798544,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,584,0.025,8m,1.3,0.6,1.6,376,920.0,0.025,9m,0.7,0.7,2.0,608.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,,,,,,,,0.15000000000000002,9,COMPLETE
3,3,-1.9267988314441327,2025-06-15 23:17:13.038607,2025-06-15 23:17:16.421857,0 days 00:00:03.383250,600.0,0.05,10m,0.9,1.3,1.5,224.0,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-1.7196585838038225,2025-06-15 23:17:16.500179,2025-06-15 23:17:23.781069,0 days 00:00:07.280890,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,392.0,0.025,5m,1.4,0.8,1.1,144.0,,,,,,,,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,,,,,,,,0.4,8,COMPLETE
5,5,-8.547307805534242,2025-06-15 23:17:23.876480,2025-06-15 23:17:29.493690,0 days 00:00:05.617210,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,2.3245846351573745,2025-06-15 23:17:29.654775,2025-06-15 23:17:33.670163,0 days 00:00:04.015388,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-0.0876115978838166,2025-06-15 23:17:33.761765,2025-06-15 23:17:37.760357,0 days 00:00:03.998592,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-1.725047472231303,2025-06-15 23:17:37.888789,2025-06-15 23:17:39.966397,0 days 00:00:02.077608,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-0.9345659496101641,2025-06-15 23:17:40.060542,2025-06-15 23:17:46.760487,0 days 00:00:06.699945,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,344.0,0.025,10m,0.7,1.0,1.5,40.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,560,0.025,4m,0.5,0.6,1.3,528,,,,,,,,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,,,,,,,,0.1,7,COMPLETE
