,number,value,datetime_start,datetime_complete,duration,params_ADBE_BIIB_beta_win,params_ADBE_BIIB_stop_loss,params_ADBE_BIIB_trade_freq,params_ADBE_BIIB_z_entry,params_ADBE_BIIB_z_exit,params_ADBE_BIIB_z_stop_scaler,params_ADBE_BIIB_z_win,params_AEP_JD_beta_win,params_AEP_JD_stop_loss,params_AEP_JD_trade_freq,params_AEP_JD_z_entry,params_AEP_JD_z_exit,params_AEP_JD_z_stop_scaler,params_AEP_JD_z_win,params_AMZN_SIRI_beta_win,params_AMZN_SIRI_stop_loss,params_AMZN_SIRI_trade_freq,params_AMZN_SIRI_z_entry,params_AMZN_SIRI_z_exit,params_AMZN_SIRI_z_stop_scaler,params_AMZN_SIRI_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_COST_ORLY_beta_win,params_COST_ORLY_stop_loss,params_COST_ORLY_trade_freq,params_COST_ORLY_z_entry,params_COST_ORLY_z_exit,params_COST_ORLY_z_stop_scaler,params_COST_ORLY_z_win,params_GOOG_SIRI_beta_win,params_GOOG_SIRI_stop_loss,params_GOOG_SIRI_trade_freq,params_GOOG_SIRI_z_entry,params_GOOG_SIRI_z_exit,params_GOOG_SIRI_z_stop_scaler,params_GOOG_SIRI_z_win,params_IDXX_SIRI_beta_win,params_IDXX_SIRI_stop_loss,params_IDXX_SIRI_trade_freq,params_IDXX_SIRI_z_entry,params_IDXX_SIRI_z_exit,params_IDXX_SIRI_z_stop_scaler,params_IDXX_SIRI_z_win,params_NTES_SIRI_beta_win,params_NTES_SIRI_stop_loss,params_NTES_SIRI_trade_freq,params_NTES_SIRI_z_entry,params_NTES_SIRI_z_exit,params_NTES_SIRI_z_stop_scaler,params_NTES_SIRI_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_stop_loss,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_stop_scaler,params_NVDA_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.29726904711056107,2025-06-15 23:17:32.606340,2025-06-15 23:17:35.741314,0 days 00:00:03.134974,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,0.2,3,COMPLETE
1,1,-19.679222729879257,2025-06-15 23:17:35.810428,2025-06-15 23:17:44.292167,0 days 00:00:08.481739,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,,,,,,,,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,0.3,9,COMPLETE
2,2,-4.220028119475074,2025-06-15 23:17:44.411556,2025-06-15 23:17:52.867275,0 days 00:00:08.455719,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,584,0.025,8m,1.3,0.6,1.6,376,96.0,0.05,9m,0.7,1.0,1.1,560.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,,,,,,,,488.0,0.05,7m,0.6,1.4,1.3,352.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,0.15000000000000002,9,COMPLETE
3,3,-0.8866840430428816,2025-06-15 23:17:52.936795,2025-06-15 23:17:56.959474,0 days 00:00:04.022679,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,0.05,4,COMPLETE
4,4,-6.1049215218161255,2025-06-15 23:17:57.027725,2025-06-15 23:18:04.964437,0 days 00:00:07.936712,864.0,0.05,2m,1.4,0.9,2.0,168.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,816.0,0.05,7m,1.5,1.3,2.0,1008.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,,,,,,,,,,,,,,,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,0.4,8,COMPLETE
5,5,-13.661245019661632,2025-06-15 23:18:05.033228,2025-06-15 23:18:10.607399,0 days 00:00:05.574171,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,,,,,,,,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,-1.7762041987504584,2025-06-15 23:18:10.680552,2025-06-15 23:18:14.708156,0 days 00:00:04.027604,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,0.4,4,COMPLETE
7,7,-2.6451128262884227,2025-06-15 23:18:14.755213,2025-06-15 23:18:18.721415,0 days 00:00:03.966202,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,0.3,4,COMPLETE
8,8,0.0879075903498225,2025-06-15 23:18:18.787268,2025-06-15 23:18:20.875699,0 days 00:00:02.088431,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-3.720488015130152,2025-06-15 23:18:20.936290,2025-06-15 23:18:27.917382,0 days 00:00:06.981092,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,560,0.025,4m,0.5,0.6,1.3,528,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,,,,,,,,344.0,0.025,10m,0.7,1.0,1.5,40.0,,,,,,,,0.1,7,COMPLETE
